"","human","cell_type1","total_features","log10_total_features","total_counts","log10_total_counts","pct_counts_top_50_features","pct_counts_top_100_features","pct_counts_top_200_features","pct_counts_top_500_features","total_features_endogenous","log10_total_features_endogenous","total_counts_endogenous","log10_total_counts_endogenous","pct_counts_endogenous","pct_counts_top_50_features_endogenous","pct_counts_top_100_features_endogenous","pct_counts_top_200_features_endogenous","pct_counts_top_500_features_endogenous","total_features_feature_control","log10_total_features_feature_control","total_counts_feature_control","log10_total_counts_feature_control","pct_counts_feature_control","total_features_ERCC","log10_total_features_ERCC","total_counts_ERCC","log10_total_counts_ERCC","pct_counts_ERCC","is_cell_control"
"human1_lib1.final_cell_0015",1,"beta",3547,3.54998361115969,13633,4.13462328966244,37.2992004694491,44.6710188513167,52.4976160786327,64.4465634856598,3547,3.54998361115969,13633,4.13462328966244,100,37.2992004694491,44.6710188513167,52.4976160786327,64.4465634856598,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0016",1,"activated_stellate",3585,3.55461028522616,13092,4.11703916787768,22.2731439046746,31.4543232508402,42.0714940421632,58.0430797433547,3585,3.55461028522616,13092,4.11703916787768,100,22.2731439046746,31.4543232508402,42.0714940421632,58.0430797433547,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0017",1,"beta",2946,3.46938013584993,10064,4.00281377922467,38.2551669316375,45.5882352941176,53.2988871224165,65.6299682034976,2946,3.46938013584993,10064,4.00281377922467,100,38.2551669316375,45.5882352941176,53.2988871224165,65.6299682034976,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0018",1,"acinar",2755,3.44027921323559,15966,4.20322332529091,53.1253914568458,62.2197168984091,70.2618063384692,79.5941375422773,2755,3.44027921323559,15966,4.20322332529091,100,53.1253914568458,62.2197168984091,70.2618063384692,79.5941375422773,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0019",1,"ductal",3841,3.58455736052567,13597,4.13347503683809,19.1145105537986,28.5651246598514,39.4645877767155,55.4166360226521,3841,3.58455736052567,13597,4.13347503683809,100,19.1145105537986,28.5651246598514,39.4645877767155,55.4166360226521,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0020",1,"beta",2463,3.39164070349239,8558,3.93242302637674,40.26641738724,47.5695255900911,56.2748305678897,69.4087403598972,2463,3.39164070349239,8558,3.93242302637674,100,40.26641738724,47.5695255900911,56.2748305678897,69.4087403598972,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0021",1,"beta",3256,3.51281775856487,10764,4.03201403415951,35.2006688963211,41.7967298402081,49.8234856930509,62.9041248606466,3256,3.51281775856487,10764,4.03201403415951,100,35.2006688963211,41.7967298402081,49.8234856930509,62.9041248606466,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0022",1,"alpha",2729,3.43616264704076,7265,3.8612953935267,27.2539573296628,34.5216792842395,43.4962147281487,58.8024776324845,2729,3.43616264704076,7265,3.8612953935267,100,27.2539573296628,34.5216792842395,43.4962147281487,58.8024776324845,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0023",1,"ductal",3581,3.55412558151301,11068,4.04410838744612,27.0690278279725,34.9204915070473,43.8200216841344,57.3545355981207,3581,3.55412558151301,11068,4.04410838744612,100,27.0690278279725,34.9204915070473,43.8200216841344,57.3545355981207,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0024",1,"beta",3523,3.54703589974001,12394,4.09324653110384,34.7990963369372,42.1252218815556,50.5405841536227,63.3855091173148,3523,3.54703589974001,12394,4.09324653110384,100,34.7990963369372,42.1252218815556,50.5405841536227,63.3855091173148,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0025",1,"delta",2550,3.40671045860979,9168,3.96232197272958,46.1496509598604,52.3014834205934,59.7076788830716,71.4768760907504,2550,3.40671045860979,9168,3.96232197272958,100,46.1496509598604,52.3014834205934,59.7076788830716,71.4768760907504,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0026",1,"alpha",2523,3.4020893505721,7946,3.90020321301689,32.5950163604329,40.9010823055625,51.0193808205386,66.4862824062421,2523,3.4020893505721,7946,3.90020321301689,100,32.5950163604329,40.9010823055625,51.0193808205386,66.4862824062421,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0027",1,"beta",2405,3.38129562300383,9083,3.9582771255477,44.3686006825939,51.6018936474733,59.8370582406694,72.1347572387977,2405,3.38129562300383,9083,3.9582771255477,100,44.3686006825939,51.6018936474733,59.8370582406694,72.1347572387977,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0028",1,"acinar",2908,3.46374372124706,12577,4.09961159039253,36.4554345233363,48.3183589091198,59.895046513477,72.1634730062813,2908,3.46374372124706,12577,4.09961159039253,100,36.4554345233363,48.3183589091198,59.895046513477,72.1634730062813,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0029",1,"acinar",1370,3.13703745478951,9191,3.96341001568023,65.5314982047655,74.7470351430748,82.2870199107823,90.04460885649,1370,3.13703745478951,9191,3.96341001568023,100,65.5314982047655,74.7470351430748,82.2870199107823,90.04460885649,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0030",1,"beta",2812,3.4491697321652,9574,3.98113878264066,36.8915813662001,44.3179444328389,52.6947984123668,66.064340923334,2812,3.4491697321652,9574,3.98113878264066,100,36.8915813662001,44.3179444328389,52.6947984123668,66.064340923334,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0031",1,"delta",1976,3.29600666931367,7618,3.88189797357301,56.6815437122604,61.8666316618535,68.1018640063009,78.0519821475453,1976,3.29600666931367,7618,3.88189797357301,100,56.6815437122604,61.8666316618535,68.1018640063009,78.0519821475453,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0032",1,"delta",2002,3.30168094929358,7051,3.84831230362728,50.9431286342363,56.6160828251312,63.5796340944547,74.8688129343356,2002,3.30168094929358,7051,3.84831230362728,100,50.9431286342363,56.6160828251312,63.5796340944547,74.8688129343356,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0033",1,"delta",2062,3.31449922797315,7284,3.86242955610601,50.6452498627128,56.6858868753432,63.4404173531027,74.5881383855025,2062,3.31449922797315,7284,3.86242955610601,100,50.6452498627128,56.6858868753432,63.4404173531027,74.5881383855025,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0034",1,"delta",1698,3.23019337886905,6475,3.81130684008134,54.5173745173745,59.8764478764479,67.027027027027,78.5945945945946,1698,3.23019337886905,6475,3.81130684008134,100,54.5173745173745,59.8764478764479,67.027027027027,78.5945945945946,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0035",1,"beta",2214,3.34537373055909,6951,3.84210976344061,39.3324701481801,47.0867501078981,55.8768522514746,69.7597467990217,2214,3.34537373055909,6951,3.84210976344061,100,39.3324701481801,47.0867501078981,55.8768522514746,69.7597467990217,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0036",1,"acinar",2954,3.47055748521727,14969,4.17522180034305,45.7746008417396,56.5368428084708,66.3704990313314,76.3177232948093,2954,3.47055748521727,14969,4.17522180034305,100,45.7746008417396,56.5368428084708,66.3704990313314,76.3177232948093,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0037",1,"beta",2557,3.40790054014264,8376,3.9230885154424,38.8610315186246,45.1289398280802,53.1041069723018,66.5830945558739,2557,3.40790054014264,8376,3.9230885154424,100,38.8610315186246,45.1289398280802,53.1041069723018,66.5830945558739,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0038",1,"beta",2898,3.462248215355,9520,3.97868256515694,40.7983193277311,47.6470588235294,55.3361344537815,66.796218487395,2898,3.462248215355,9520,3.97868256515694,100,40.7983193277311,47.6470588235294,55.3361344537815,66.796218487395,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0039",1,"beta",2759,3.44090908206522,9503,3.97790642763712,43.723034831106,49.573818794065,56.4979480164159,68.3678838261602,2759,3.44090908206522,9503,3.97790642763712,100,43.723034831106,49.573818794065,56.4979480164159,68.3678838261602,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0040",1,"delta",2225,3.34752515999869,7749,3.88930170250631,49.0385856239515,54.7425474254742,61.6853787585495,73.3126855078075,2225,3.34752515999869,7749,3.88930170250631,100,49.0385856239515,54.7425474254742,61.6853787585495,73.3126855078075,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0041",1,"activated_stellate",3377,3.52865964523499,12169,4.08529057823007,26.3209795381708,35.2946010354179,45.7638261155395,61.5251869504479,3377,3.52865964523499,12169,4.08529057823007,100,26.3209795381708,35.2946010354179,45.7638261155395,61.5251869504479,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0042",1,"beta",2342,3.36977228859696,7326,3.86492619153901,37.974337974338,45.7002457002457,54.2997542997543,68.6322686322686,2342,3.36977228859696,7326,3.86492619153901,100,37.974337974338,45.7002457002457,54.2997542997543,68.6322686322686,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0043",1,"delta",2186,3.33984878303764,7470,3.87337873640914,46.4926372155288,53.1994645247657,60.6827309236948,72.516733601071,2186,3.33984878303764,7470,3.87337873640914,100,46.4926372155288,53.1994645247657,60.6827309236948,72.516733601071,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0044",1,"activated_stellate",3316,3.52074547151948,10089,4.00389116623691,21.1021905045099,29.7849142630588,39.9147586480325,56.4575280007929,3316,3.52074547151948,10089,4.00389116623691,100,21.1021905045099,29.7849142630588,39.9147586480325,56.4575280007929,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0045",1,"activated_stellate",2866,3.45742769294648,8920,3.95041353936938,24.5739910313901,33.1614349775785,43.6434977578475,60.0448430493274,2866,3.45742769294648,8920,3.95041353936938,100,24.5739910313901,33.1614349775785,43.6434977578475,60.0448430493274,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0046",1,"activated_stellate",2943,3.46893780566546,9972,3.99882581904029,26.8451664661051,36.5222623345367,47.6935419173686,63.23706377858,2943,3.46893780566546,9972,3.99882581904029,100,26.8451664661051,36.5222623345367,47.6935419173686,63.23706377858,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0047",1,"acinar",2639,3.42160392686983,12514,4.09743085394424,44.4462202333387,54.9544510148633,64.7594693942784,75.898993127697,2639,3.42160392686983,12514,4.09743085394424,100,44.4462202333387,54.9544510148633,64.7594693942784,75.898993127697,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0048",1,"activated_stellate",3041,3.48315920971698,10320,4.01372177805106,28.4496124031008,36.9186046511628,47.296511627907,62.781007751938,3041,3.48315920971698,10320,4.01372177805106,100,28.4496124031008,36.9186046511628,47.296511627907,62.781007751938,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0049",1,"delta",1840,3.26505378850401,6970,3.84329508273651,56.1979913916786,61.3055954088953,67.8479196556671,78.364418938307,1840,3.26505378850401,6970,3.84329508273651,100,56.1979913916786,61.3055954088953,67.8479196556671,78.364418938307,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0050",1,"beta",2212,3.34498141392726,7250,3.86039790512731,38.7448275862069,47.2413793103448,56.3310344827586,70.5655172413793,2212,3.34498141392726,7250,3.86039790512731,100,38.7448275862069,47.2413793103448,56.3310344827586,70.5655172413793,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0051",1,"delta",1734,3.23929947912689,5919,3.77232170672292,52.4919749957763,57.9658726136172,65.1292448048657,77.1076195303261,1734,3.23929947912689,5919,3.77232170672292,100,52.4919749957763,57.9658726136172,65.1292448048657,77.1076195303261,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0052",1,"beta",2672,3.42699895875654,8623,3.93570874784266,36.8781166647339,43.5695233677374,51.9888669836484,65.7775716108083,2672,3.42699895875654,8623,3.93570874784266,100,36.8781166647339,43.5695233677374,51.9888669836484,65.7775716108083,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0053",1,"acinar",2728,3.4360035356699,13231,4.12162549220847,43.5492404202252,54.8484619454312,65.0290983296803,76.0562315773562,2728,3.4360035356699,13231,4.12162549220847,100,43.5492404202252,54.8484619454312,65.0290983296803,76.0562315773562,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0054",1,"beta",2650,3.42340972773309,9133,3.96066100727098,41.7278002846819,48.4506733822402,56.5312602649732,69.2543523486259,2650,3.42340972773309,9133,3.96066100727098,100,41.7278002846819,48.4506733822402,56.5312602649732,69.2543523486259,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0055",1,"beta",3141,3.49720618070395,10895,4.03726709456871,38.8618632400184,45.3418999541074,52.9876089949518,65.2684717760441,3141,3.49720618070395,10895,4.03726709456871,100,38.8618632400184,45.3418999541074,52.9876089949518,65.2684717760441,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0056",1,"activated_stellate",3105,3.49220145139254,10030,4.0013442304116,22.0139581256231,31.4257228315055,43.0508474576271,59.5712861415753,3105,3.49220145139254,10030,4.0013442304116,100,22.0139581256231,31.4257228315055,43.0508474576271,59.5712861415753,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0057",1,"beta",2870,3.45803319249651,9445,3.97524794124068,38.9730015881419,45.918475383801,53.7427210164108,65.9078877713076,2870,3.45803319249651,9445,3.97524794124068,100,38.9730015881419,45.918475383801,53.7427210164108,65.9078877713076,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0058",1,"beta",2624,3.41912930774198,8597,3.93439744078099,38.1528440153542,45.7601488891474,53.9141561009654,67.093172036757,2624,3.41912930774198,8597,3.93439744078099,100,38.1528440153542,45.7601488891474,53.9141561009654,67.093172036757,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0059",1,"beta",2413,3.38273726576133,6807,3.83301954707653,34.2588511826061,41.0900543558102,49.5813133539004,64.7862494490965,2413,3.38273726576133,6807,3.83301954707653,100,34.2588511826061,41.0900543558102,49.5813133539004,64.7862494490965,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0060",1,"beta",2388,3.37821614974988,7255,3.86069727405204,33.6733287388008,41.4059269469331,50.2963473466575,65.2377670572019,2388,3.37821614974988,7255,3.86069727405204,100,33.6733287388008,41.4059269469331,50.2963473466575,65.2377670572019,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0061",1,"ductal",3020,3.48015072527328,8625,3.93580945380993,19.3971014492754,29.6231884057971,41.5652173913044,57.6347826086957,3020,3.48015072527328,8625,3.93580945380993,100,19.3971014492754,29.6231884057971,41.5652173913044,57.6347826086957,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0062",1,"alpha",2698,3.43120288455652,7484,3.87419180467907,25.4943880277926,33.9524318546232,44.0539818278995,60.2218065205772,2698,3.43120288455652,7484,3.87419180467907,100,25.4943880277926,33.9524318546232,44.0539818278995,60.2218065205772,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0063",1,"beta",2873,3.45848676379821,7907,3.89806666064163,28.6328569621854,35.3357784241811,43.6828126976097,58.7833565195397,2873,3.45848676379821,7907,3.89806666064163,100,28.6328569621854,35.3357784241811,43.6828126976097,58.7833565195397,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0064",1,"ductal",3156,3.49927458189222,9598,3.98222599167467,19.264430089602,28.6622212961034,40.1541987914149,56.740987705772,3156,3.49927458189222,9598,3.98222599167467,100,19.264430089602,28.6622212961034,40.1541987914149,56.740987705772,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0065",1,"ductal",3268,3.51441492058037,9953,3.997997636408,29.4283130714357,37.013965638501,45.8454737265146,60.0120566663318,3268,3.51441492058037,9953,3.997997636408,100,29.4283130714357,37.013965638501,45.8454737265146,60.0120566663318,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0066",1,"acinar",1799,3.25527250510331,10386,4.01649013162083,58.6077411900635,68.4767956865011,77.0556518390141,85.7693048334296,1799,3.25527250510331,10386,4.01649013162083,100,58.6077411900635,68.4767956865011,77.0556518390141,85.7693048334296,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0067",1,"alpha",2923,3.46597736828582,8084,3.90768002424242,25.779317169718,33.5230084116774,43.0603661553686,58.3869371598219,2923,3.46597736828582,8084,3.90768002424242,100,25.779317169718,33.5230084116774,43.0603661553686,58.3869371598219,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0068",1,"beta",2559,3.40823996531185,7577,3.87955460093897,31.7803880163653,40.438168140425,50.0329945888874,64.247063481589,2559,3.40823996531185,7577,3.87955460093897,100,31.7803880163653,40.438168140425,50.0329945888874,64.247063481589,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0069",1,"delta",2039,3.3096301674259,6787,3.83174183364564,45.8081626639163,52.541623692353,59.9823191395315,72.6536024753205,2039,3.3096301674259,6787,3.83174183364564,100,45.8081626639163,52.541623692353,59.9823191395315,72.6536024753205,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0070",1,"alpha",2831,3.45209324901773,7148,3.85424529706612,22.188024622272,29.770565193061,39.2557358701735,55.2322327923895,2831,3.45209324901773,7148,3.85424529706612,100,22.188024622272,29.770565193061,39.2557358701735,55.2322327923895,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0071",1,"beta",2518,3.40122816749811,8693,3.93921963585482,38.4217186241804,46.8537904060739,55.3203727136777,68.5033935350282,2518,3.40122816749811,8693,3.93921963585482,100,38.4217186241804,46.8537904060739,55.3203727136777,68.5033935350282,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0072",1,"beta",2454,3.39005149645899,6710,3.82678723881629,28.1371087928465,36.795827123696,46.6616989567809,63.1445603576751,2454,3.39005149645899,6710,3.82678723881629,100,28.1371087928465,36.795827123696,46.6616989567809,63.1445603576751,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0073",1,"beta",2020,3.3055663135153,7146,3.85412378210117,48.6006157290792,55.4715924993003,62.986286034145,74.9370277078086,2020,3.3055663135153,7146,3.85412378210117,100,48.6006157290792,55.4715924993003,62.986286034145,74.9370277078086,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0074",1,"delta",1822,3.26078666865498,5902,3.77107278322119,50.643849542528,55.7607590647238,62.3009149440867,74.364622161979,1822,3.26078666865498,5902,3.77107278322119,100,50.643849542528,55.7607590647238,62.3009149440867,74.364622161979,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0075",1,"beta",2166,3.33585891131982,7089,3.85064623518307,42.9961912822683,49.8377768373537,58.0899985893638,71.406404288334,2166,3.33585891131982,7089,3.85064623518307,100,42.9961912822683,49.8377768373537,58.0899985893638,71.406404288334,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0076",1,"beta",2467,3.3923451553612,7165,3.85527680383009,34.1939986043266,41.8283321702722,50.5931612002791,65.2337752965806,2467,3.3923451553612,7165,3.85527680383009,100,34.1939986043266,41.8283321702722,50.5931612002791,65.2337752965806,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0077",1,"delta",1936,3.28712962071911,6240,3.79525418258088,48.7980769230769,54.2628205128205,61.4262820512821,73.2852564102564,1936,3.28712962071911,6240,3.79525418258088,100,48.7980769230769,54.2628205128205,61.4262820512821,73.2852564102564,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0078",1,"beta",2898,3.462248215355,8881,3.94851076883766,36.4260781443531,44.420673347596,52.3927485643509,64.9589010246594,2898,3.462248215355,8881,3.94851076883766,100,36.4260781443531,44.420673347596,52.3927485643509,64.9589010246594,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0079",1,"beta",2295,3.36097188372594,7697,3.88637790675857,44.0301416136157,51.3446797453553,59.1918929453034,71.5083798882682,2295,3.36097188372594,7697,3.88637790675857,100,44.0301416136157,51.3446797453553,59.1918929453034,71.5083798882682,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0080",1,"beta",2252,3.35276119172383,6381,3.80495679985749,39.3511988716502,45.7451810061119,53.2361698793293,66.3845792195581,2252,3.35276119172383,6381,3.80495679985749,100,39.3511988716502,45.7451810061119,53.2361698793293,66.3845792195581,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0081",1,"beta",2887,3.4605971888976,9416,3.9739125704197,41.2383177570093,47.8334749362787,55.0127442650807,66.5463041631266,2887,3.4605971888976,9416,3.9739125704197,100,41.2383177570093,47.8334749362787,55.0127442650807,66.5463041631266,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0082",1,"beta",2388,3.37821614974988,6926,3.84054518763684,37.7995957262489,45.307536817788,53.4940802772163,66.8784291077101,2388,3.37821614974988,6926,3.84054518763684,100,37.7995957262489,45.307536817788,53.4940802772163,66.8784291077101,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0083",1,"beta",2489,3.39619934709574,8122,3.90971645323434,39.7192809652795,47.2666830829845,55.3927604038414,68.5299187392268,2489,3.39619934709574,8122,3.90971645323434,100,39.7192809652795,47.2666830829845,55.3927604038414,68.5299187392268,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0084",1,"acinar",1484,3.17172645365323,8152,3.91131744232403,58.8935230618253,69.5534838076546,77.8827281648675,86.9111874386654,1484,3.17172645365323,8152,3.91131744232403,100,58.8935230618253,69.5534838076546,77.8827281648675,86.9111874386654,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0085",1,"activated_stellate",2974,3.47348697006457,8707,3.93991842036906,21.293212357873,30.4237969449868,41.4379235098197,58.3898013092914,2974,3.47348697006457,8707,3.93991842036906,100,21.293212357873,30.4237969449868,41.4379235098197,58.3898013092914,0,0,0,0,0,0,0,0,0,0,FALSE
