sc3.sc3_33,sc3.sc3_32,sc3.sc3_31,sc3.sc3_30,sc3.sc3_29,sc3.sc3_28,sc3.sc3_27,sc3.sc3_26,sc3.sc3_25,sc3.sc3_24,sc3.sc3_23,sc3.sc3_22,sc3.sc3_21,sc3.sc3_20,sc3.sc3_19,sc3.sc3_18,sc3.sc3_17,sc3.sc3_16,sc3.sc3_15,sc3.sc3_14,sc3.sc3_13,sc3.sc3_12,sc3.sc3_11,sc3.sc3_10,sc3.sc3_9,sc3.sc3_8,sc3.sc3_7,sc3.sc3_6,sc3.sc3_5,sc3.sc3_4,sc3.sc3_3,sc3.sc3_2,sc3.sc3_1,sc3.sc3_0,Monocle.Monocle_24,Monocle.Monocle_23,Monocle.Monocle_22,Monocle.Monocle_21,Monocle.Monocle_20,Monocle.Monocle_19,Monocle.Monocle_18,Monocle.Monocle_17,Monocle.Monocle_16,Monocle.Monocle_15,Monocle.Monocle_14,Monocle.Monocle_13,Monocle.Monocle_12,Monocle.Monocle_11,Monocle.Monocle_10,Monocle.Monocle_9,Monocle.Monocle_8,Monocle.Monocle_7,Monocle.Monocle_6,Monocle.Monocle_5,Monocle.Monocle_4,Monocle.Monocle_3,Monocle.Monocle_2,Monocle.Monocle_1,Monocle.Monocle_0,Seurat.Seurat_19,Seurat.Seurat_18,Seurat.Seurat_17,Seurat.Seurat_16,Seurat.Seurat_15,Seurat.Seurat_14,Seurat.Seurat_13,Seurat.Seurat_12,Seurat.Seurat_11,Seurat.Seurat_10,Seurat.Seurat_9,Seurat.Seurat_8,Seurat.Seurat_7,Seurat.Seurat_6,Seurat.Seurat_5,Seurat.Seurat_4,Seurat.Seurat_3,Seurat.Seurat_2,Seurat.Seurat_1,Seurat.Seurat_0,cells
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0017
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,human1_lib1.final_cell_0018
1,1,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,1,1,1,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,human1_lib1.final_cell_0019
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0020
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0021
1,1,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,human1_lib1.final_cell_0022
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,1,1,1,5,5,5,5,5,5,5,5,6,6,6,6,6,8,8,8,8,human1_lib1.final_cell_0023
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,10,10,10,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0024
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0025
4,4,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,human1_lib1.final_cell_0026
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,10,10,10,10,10,11,11,11,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0027
1,1,1,1,1,1,1,1,1,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,9,9,9,9,human1_lib1.final_cell_0028
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,human1_lib1.final_cell_0029
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,10,10,10,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0030
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0031
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0032
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0033
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0034
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0035
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,human1_lib1.final_cell_0036
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0037
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,10,10,10,10,10,11,11,11,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0038
2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,human1_lib1.final_cell_0039
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0040
1,1,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,human1_lib1.final_cell_0041
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0042
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,11,11,11,11,12,12,12,12,12,13,13,13,13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0043
1,1,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,human1_lib1.final_cell_0044
1,1,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,human1_lib1.final_cell_0045
1,1,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,human1_lib1.final_cell_0046
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,human1_lib1.final_cell_0047
1,1,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,human1_lib1.final_cell_0048
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0049
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0050
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0051
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,10,10,10,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0052
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,human1_lib1.final_cell_0053
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0054
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0055
1,1,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,human1_lib1.final_cell_0056
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0057
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0058
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0059
2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,human1_lib1.final_cell_0060
1,1,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,14,14,14,1,1,1,5,5,5,5,5,5,5,5,6,6,6,6,6,8,8,8,8,human1_lib1.final_cell_0061
4,4,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,6,7,8,9,9,9,9,10,10,10,11,12,12,12,12,13,13,13,13,13,14,15,15,15,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,human1_lib1.final_cell_0062
2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,human1_lib1.final_cell_0063
1,1,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,1,1,1,5,5,5,5,5,5,5,5,6,6,6,6,6,8,8,8,8,human1_lib1.final_cell_0064
1,1,1,4,4,4,5,5,5,5,5,5,5,5,5,9,9,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,6,14,14,14,14,15,16,16,16,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0065
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,human1_lib1.final_cell_0066
1,1,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,human1_lib1.final_cell_0067
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,10,10,10,10,10,11,11,11,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0068
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0069
1,1,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,17,17,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,human1_lib1.final_cell_0070
