cells,sc3-Initial,Monocle-Initial,Seurat-Initial,sc3-33,Monocle-33,Seurat-33,sc3-66,Monocle-66,Seurat-66,sc3-90,Monocle-90,Seurat-90,sc3-Final,Monocle-Final,Seurat-Final
AZ_C1,25,2,25,25,2,25,25,2,25,25,2,25,25,2,25
AZ_C10,10,1,21,10,1,21,10,1,21,10,1,21,10,1,19
AZ_C11,31,1,6,31,1,6,31,1,6,31,1,6,26,1,6
AZ_C12,19,21,6,19,21,6,19,21,6,19,21,6,19,21,6
AZ_C2,25,2,2,25,2,2,25,2,2,25,2,2,25,2,2
AZ_C3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3
AZ_C4,10,1,19,10,1,19,10,1,19,10,1,19,10,1,19
AZ_C5,25,2,2,25,2,2,25,2,2,25,2,2,25,2,2
AZ_C6,19,2,25,19,2,25,19,2,25,19,2,25,19,2,25
AZ_C7,25,39,6,25,39,6,25,39,6,25,39,6,25,39,6
AZ_C8,25,2,2,25,2,2,25,2,2,25,2,2,25,2,2
AZ_C9,4,5,4,4,5,4,4,5,3,4,5,3,4,5,3
AZ_D1,19,2,6,19,2,6,19,2,6,19,2,6,19,2,6
AZ_D10,20,21,6,20,21,6,20,21,6,20,21,6,20,21,6
AZ_D11,20,39,6,20,39,6,20,39,6,20,39,6,20,39,6
AZ_D12,31,1,10,31,1,10,31,1,10,31,1,10,26,1,10
AZ_D2,10,1,21,10,1,21,10,1,21,10,1,21,10,1,19
AZ_D3,25,2,25,25,2,25,25,2,25,25,2,25,25,2,25
AZ_D4,25,2,25,25,2,25,25,2,25,25,2,25,25,2,25
AZ_D5,31,1,13,31,1,13,31,1,13,31,1,13,26,1,13
AZ_D6,10,1,25,10,1,25,10,1,25,10,1,25,10,1,25
AZ_D7,25,2,25,25,2,25,25,2,25,25,2,25,25,2,25
AZ_D8,31,1,10,31,1,10,31,1,10,31,1,10,26,1,10
AZ_D9,25,2,25,25,2,25,25,2,25,25,2,25,25,2,25
AZ_E1,20,32,19,20,32,19,20,32,19,20,32,19,20,32,19
AZ_E10,19,2,25,19,2,25,19,2,25,19,2,25,19,2,25
AZ_E11,20,39,6,20,39,6,20,39,6,20,39,6,20,39,6
AZ_E12,25,2,25,25,2,25,25,2,25,25,2,25,25,2,25
AZ_E2,25,2,25,25,2,25,25,2,25,25,2,25,25,2,25
AZ_E3,17,23,23,17,23,23,17,23,23,17,23,23,17,23,20
AZ_E4,25,2,2,25,2,2,25,2,2,25,2,2,25,2,2
AZ_E5,25,2,25,25,2,25,25,2,25,25,2,25,25,2,25
AZ_E6,19,32,6,19,32,6,19,32,6,19,32,6,19,32,6
AZ_E7,10,1,19,10,1,19,10,1,19,10,1,19,10,1,19
AZ_E8,25,2,25,25,2,25,25,2,25,25,2,25,25,2,25
AZ_E9,25,2,25,25,2,25,25,2,25,25,2,25,25,2,25
AZ_F1,10,1,19,10,1,19,10,1,19,10,1,19,10,1,19
AZ_F10,20,2,6,20,2,6,20,2,6,20,2,6,20,2,6
AZ_F11,20,21,6,20,21,6,20,21,6,20,21,6,20,21,6
AZ_F12,19,2,6,19,2,6,19,2,6,19,2,6,19,2,6
AZ_F2,10,1,21,10,1,21,10,1,21,10,1,21,10,1,19
AZ_F3,20,3,6,20,3,6,20,3,6,20,3,6,20,3,6
AZ_F4,25,2,25,25,2,25,25,2,25,25,2,25,25,2,25
AZ_F5,17,23,20,17,23,20,17,23,20,17,23,20,17,23,20
AZ_F6,12,5,7,12,5,7,12,5,7,12,5,7,6,5,7
AZ_F7,11,2,8,11,2,8,11,2,8,11,2,8,11,2,8
AZ_F8,25,2,25,25,2,25,25,2,25,25,2,25,25,2,25
AZ_F9,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3
AZ_G1,25,2,25,25,2,25,25,2,25,25,2,25,25,2,25
AZ_G10,25,2,25,25,2,25,25,2,25,25,2,25,25,2,25
AZ_G11,18,21,6,18,21,6,18,21,6,18,21,6,18,21,6
AZ_G12,20,21,6,20,21,6,20,21,6,20,21,6,20,21,6
AZ_G2,10,1,21,10,1,21,10,1,21,10,1,21,10,1,19
AZ_G3,25,2,25,25,2,25,25,2,25,25,2,25,25,2,25
AZ_G4,25,2,25,25,2,25,25,2,25,25,2,25,25,2,25
AZ_G5,31,1,10,31,1,10,31,1,10,31,1,10,26,1,10
AZ_G6,11,2,11,11,2,11,11,2,11,11,2,11,11,2,11
AZ_G7,20,21,6,20,21,6,20,21,6,20,21,6,20,21,6
AZ_G8,20,2,6,20,2,6,20,2,6,20,2,6,20,2,6
AZ_G9,20,21,6,20,21,6,20,21,6,20,21,6,20,21,6
AZ_H1,31,1,6,31,1,6,31,1,6,31,1,6,26,1,6
AZ_H10,12,5,7,12,5,7,12,5,7,12,5,7,6,5,7
AZ_H11,10,1,21,10,1,21,10,1,21,10,1,21,10,1,19
AZ_H12,31,1,10,31,1,10,31,1,10,31,1,10,26,1,10
AZ_H2,10,1,21,10,1,21,10,1,21,10,1,21,10,1,19
AZ_H3,31,1,10,31,1,10,31,1,10,31,1,10,26,1,10
AZ_H4,17,23,24,17,23,24,17,23,24,17,23,24,17,23,20
AZ_H5,31,1,10,31,1,10,31,1,10,31,1,10,26,1,10
AZ_H6,10,1,21,10,1,21,10,1,21,10,1,21,10,1,19
AZ_H7,19,21,6,19,21,6,19,21,6,19,21,6,19,21,6
AZ_H8,20,21,6,20,21,6,20,21,6,20,21,6,20,21,6
AZ_H9,25,2,25,25,2,25,25,2,25,25,2,25,25,2,25
HP1502401_A1,20,4,13,20,4,13,20,4,13,20,4,13,20,4,13
HP1502401_A10,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_A11,15,21,8,15,21,8,15,21,8,15,21,8,15,21,8
HP1502401_A12,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_A14,12,5,7,12,5,7,12,5,7,12,5,7,6,5,7
HP1502401_A15,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_A16,15,27,8,15,27,8,15,27,8,15,27,8,15,27,8
HP1502401_A17,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_A18,31,7,13,31,7,13,31,7,13,31,7,13,26,7,13
HP1502401_A19,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_A2,31,7,13,31,7,13,31,7,13,31,7,13,26,7,13
HP1502401_A20,15,21,8,15,21,8,15,21,8,15,21,8,15,21,8
HP1502401_A21,15,21,8,15,21,8,15,21,8,15,21,8,15,21,8
HP1502401_A22,12,5,7,12,5,7,12,5,7,12,5,7,6,5,7
HP1502401_A23,15,21,11,15,21,11,15,21,11,15,21,11,15,21,11
HP1502401_A24,11,7,8,11,7,8,11,7,8,11,7,8,11,7,8
HP1502401_A3,20,3,8,20,3,8,20,3,8,20,3,8,20,3,8
HP1502401_A4,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_A5,15,21,8,15,21,8,15,21,8,15,21,8,15,21,8
HP1502401_A6,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_A7,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_A8,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_A9,15,21,8,15,21,8,15,21,8,15,21,8,15,21,8
HP1502401_B1,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_B10,24,4,23,24,4,23,24,4,23,24,4,23,24,4,20
HP1502401_B11,30,7,10,30,7,10,30,7,10,30,7,10,26,7,10
HP1502401_B12,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_B13,12,5,7,12,5,7,12,5,7,12,5,7,6,5,7
HP1502401_B14,10,8,16,10,8,16,10,8,16,10,8,16,10,8,16
HP1502401_B15,30,7,10,30,7,10,30,7,10,30,7,10,26,7,10
HP1502401_B16,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_B17,12,5,7,12,5,7,12,5,7,12,5,7,6,5,7
HP1502401_B18,30,7,10,30,7,10,30,7,10,30,7,10,26,7,10
HP1502401_B19,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_B2,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_B20,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_B21,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_B22,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11
HP1502401_B23,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_B24,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_B3,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_B4,20,21,8,20,21,8,20,21,8,20,21,8,20,21,8
HP1502401_B5,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_B6,15,21,8,15,21,8,15,21,8,15,21,8,15,21,8
HP1502401_B7,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_B8,31,7,8,31,7,8,31,7,8,31,7,8,26,7,8
HP1502401_B9,15,21,8,15,21,8,15,21,8,15,21,8,15,21,8
HP1502401_C1,6,5,7,6,5,7,6,5,7,6,5,7,6,5,7
HP1502401_C10,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_C11,15,21,8,15,21,8,15,21,8,15,21,8,15,21,8
HP1502401_C12,4,25,4,4,25,4,4,25,3,4,17,3,4,17,3
HP1502401_C14,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_C15,18,32,12,18,32,12,18,32,12,18,32,12,18,32,12
HP1502401_C16,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_C17,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_C18,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_C19,20,4,6,20,4,6,20,4,6,20,4,6,20,4,6
HP1502401_C2,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_C20,11,7,13,11,7,13,11,7,13,11,7,13,11,7,13
HP1502401_C21,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_C22,20,21,12,20,21,12,20,21,12,20,21,12,20,21,12
HP1502401_C23,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_C24,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_C3,15,6,12,15,6,12,15,6,12,15,6,12,15,6,12
HP1502401_C4,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_C5,31,7,8,31,7,8,31,7,8,31,7,8,26,7,8
HP1502401_C6,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_C7,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_C8,31,7,13,31,7,13,31,7,13,31,7,13,26,7,13
HP1502401_C9,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_D1,18,21,12,18,21,12,18,21,12,18,21,12,18,21,12
HP1502401_D10,12,5,7,12,5,7,12,5,7,12,5,7,6,5,7
HP1502401_D11,12,5,7,12,5,7,12,5,7,12,5,7,6,5,7
HP1502401_D12,31,7,13,31,7,13,31,7,13,31,7,13,26,7,13
HP1502401_D13,10,8,16,10,8,16,10,8,16,10,8,16,10,8,16
HP1502401_D14,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_D15,15,21,8,15,21,8,15,21,8,15,21,8,15,21,8
HP1502401_D16,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_D17,11,7,11,11,7,11,11,7,11,11,7,11,11,7,11
HP1502401_D18,4,25,4,4,25,4,4,25,3,4,17,3,4,17,3
HP1502401_D19,15,39,8,15,39,8,15,39,8,15,39,8,15,39,8
HP1502401_D2,12,5,7,12,5,7,12,5,7,12,5,7,6,5,7
HP1502401_D20,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_D21,15,21,8,15,21,8,15,21,8,15,21,8,15,21,8
HP1502401_D22,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_D23,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_D24,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_D3,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_D4,4,25,3,4,25,3,4,25,3,4,17,3,4,17,3
HP1502401_D5,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_D6,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_D7,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_D8,25,24,13,25,24,13,25,24,13,25,24,13,25,24,13
HP1502401_D9,15,21,8,15,21,8,15,21,8,15,21,8,15,21,8
HP1502401_E1,25,6,5,25,6,5,25,6,5,25,6,5,25,6,5
HP1502401_E10,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_E11,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_E12,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_E14,30,7,10,30,7,10,30,7,10,30,7,10,26,7,10
HP1502401_E15,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_E16,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_E17,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_E18,15,21,8,15,21,8,15,21,8,15,21,8,15,21,8
HP1502401_E19,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_E2,12,5,7,12,5,7,12,5,7,12,5,7,6,5,7
HP1502401_E20,12,5,7,12,5,7,12,5,7,12,5,7,6,5,7
HP1502401_E21,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_E22,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_E23,12,5,5,12,5,5,12,5,5,12,5,5,6,5,5
HP1502401_E24,12,5,7,12,5,7,12,5,7,12,5,7,6,5,7
HP1502401_E3,11,7,8,11,7,8,11,7,8,11,7,8,11,7,8
HP1502401_E4,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_E5,30,7,10,30,7,10,30,7,10,30,7,10,26,7,10
HP1502401_E6,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_E7,30,7,10,30,7,10,30,7,10,30,7,10,26,7,10
HP1502401_E8,15,21,8,15,21,8,15,21,8,15,21,8,15,21,8
HP1502401_E9,31,7,13,31,7,13,31,7,13,31,7,13,26,7,13
HP1502401_F1,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_F10,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_F11,11,7,13,11,7,13,11,7,13,11,7,13,11,7,13
HP1502401_F12,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_F13,12,5,7,12,5,7,12,5,7,12,5,7,6,5,7
HP1502401_F14,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_F15,30,9,10,30,9,10,30,9,10,30,9,10,26,7,10
HP1502401_F16,10,39,19,10,39,19,10,39,19,10,39,19,10,39,19
HP1502401_F17,30,39,10,30,39,10,30,39,10,30,39,10,26,39,10
HP1502401_F18,30,7,10,30,7,10,30,7,10,30,7,10,26,7,10
HP1502401_F19,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_F2,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_F20,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_F21,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_F22,10,8,11,10,8,11,10,8,11,10,8,11,10,8,11
HP1502401_F23,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_F24,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_F3,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_F4,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_F5,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_F6,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_F7,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_F8,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_F9,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_G1,20,10,6,20,10,6,20,10,6,20,10,6,20,7,6
HP1502401_G10,24,4,23,24,4,23,24,4,23,24,4,23,24,4,20
HP1502401_G11,30,7,10,30,7,10,30,7,10,30,7,10,26,7,10
HP1502401_G12,30,7,10,30,7,10,30,7,10,30,7,10,26,7,10
HP1502401_G14,10,8,16,10,8,16,10,8,16,10,8,16,10,8,16
HP1502401_G15,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_G16,15,39,8,15,39,8,15,39,8,15,39,8,15,39,8
HP1502401_G17,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_G18,12,5,7,12,5,7,12,5,7,12,5,7,6,5,7
HP1502401_G19,15,21,8,15,21,8,15,21,8,15,21,8,15,21,8
HP1502401_G2,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_G20,11,7,13,11,7,13,11,7,13,11,7,13,11,7,13
HP1502401_G21,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_G22,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_G23,4,25,3,4,25,3,4,25,3,4,17,3,4,17,3
HP1502401_G24,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_G3,31,7,13,31,7,13,31,7,13,31,7,13,26,7,13
HP1502401_G4,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_G5,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_G6,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_G7,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_G8,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_G9,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_H1,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_H10,19,39,12,19,39,12,19,39,12,19,39,12,19,39,12
HP1502401_H11,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_H12,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_H13,30,7,10,30,7,10,30,7,10,30,7,10,26,7,10
HP1502401_H14,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_H15,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_H16,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_H17,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_H18,17,23,20,17,23,20,17,23,20,17,23,20,17,23,20
HP1502401_H19,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_H2,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_H20,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_H21,24,4,4,24,4,4,24,4,3,24,4,3,24,4,3
HP1502401_H22,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_H23,4,25,4,4,25,4,4,25,3,4,17,3,4,17,3
HP1502401_H24,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_H3,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_H4,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_H5,19,4,12,19,4,12,19,4,12,19,4,12,19,4,12
HP1502401_H6,31,7,13,31,7,13,31,7,13,31,7,13,26,7,13
HP1502401_H7,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_H8,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_H9,15,21,8,15,21,8,15,21,8,15,21,8,15,21,8
HP1502401_I1,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_I10,20,3,6,20,3,6,20,3,6,20,3,6,20,3,6
HP1502401_I11,14,36,5,14,36,5,14,36,5,14,36,5,14,36,5
HP1502401_I12,17,23,24,17,23,24,17,23,24,17,23,24,17,23,20
HP1502401_I14,12,5,7,12,5,7,12,5,7,12,5,7,6,5,7
HP1502401_I15,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_I16,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_I17,15,21,8,15,21,8,15,21,8,15,21,8,15,21,8
HP1502401_I18,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_I19,25,29,6,25,29,6,25,29,6,25,29,6,25,29,6
HP1502401_I2,4,25,4,4,25,4,4,25,3,4,17,3,4,17,3
HP1502401_I20,15,6,15,15,6,15,15,6,15,15,6,15,15,6,15
HP1502401_I21,5,26,3,5,26,3,5,17,3,4,17,3,4,17,3
HP1502401_I22,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_I23,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_I24,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_I3,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_I4,24,4,5,24,4,5,24,4,5,24,4,5,24,4,5
HP1502401_I5,15,21,8,15,21,8,15,21,8,15,21,8,15,21,8
HP1502401_I6,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_I7,31,7,13,31,7,13,31,7,13,31,7,13,26,7,13
HP1502401_I8,30,7,10,30,7,10,30,7,10,30,7,10,26,7,10
HP1502401_I9,31,7,13,31,7,13,31,7,13,31,7,13,26,7,13
HP1502401_J1,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_J10,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_J11,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_J12,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_J13,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_J14,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_J15,4,25,4,4,25,4,4,25,3,4,17,3,4,17,3
HP1502401_J16,20,27,23,20,27,23,20,27,23,20,27,23,20,27,20
HP1502401_J17,4,25,4,4,25,4,4,25,3,4,17,3,4,17,3
HP1502401_J18,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_J19,4,25,4,4,25,4,4,25,3,4,17,3,4,17,3
HP1502401_J2,12,5,7,12,5,7,12,5,7,12,5,7,6,5,7
HP1502401_J20,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_J21,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_J22,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_J23,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_J24,4,25,4,4,25,4,4,25,3,4,17,3,4,17,3
HP1502401_J3,25,4,2,25,4,2,25,4,2,25,4,2,25,4,2
HP1502401_J4,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_J5,15,6,8,15,6,8,15,6,8,15,6,8,15,6,8
HP1502401_J6,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_J7,17,23,23,17,23,23,17,23,23,17,23,23,17,23,20
HP1502401_J8,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_J9,25,4,2,25,4,2,25,4,2,25,4,2,25,4,2
HP1502401_K1,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_K10,12,5,7,12,5,7,12,5,7,12,5,7,6,5,7
HP1502401_K11,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_K12,12,5,7,12,5,7,12,5,7,12,5,7,6,5,7
HP1502401_K14,30,7,10,30,7,10,30,7,10,30,7,10,26,7,10
HP1502401_K15,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_K16,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_K17,19,24,6,19,24,6,19,24,6,19,24,6,19,24,6
HP1502401_K18,15,39,8,15,39,8,15,39,8,15,39,8,15,39,8
HP1502401_K19,10,12,11,10,12,11,10,12,11,10,12,11,10,8,11
HP1502401_K2,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_K20,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_K21,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_K22,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_K23,30,7,11,30,7,11,30,7,11,30,7,11,26,7,11
HP1502401_K24,30,7,10,30,7,10,30,7,10,30,7,10,26,7,10
HP1502401_K3,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_K4,15,27,8,15,27,8,15,27,8,15,27,8,15,27,8
HP1502401_K5,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_K6,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_K7,15,39,8,15,39,8,15,39,8,15,39,8,15,39,8
HP1502401_K8,15,21,8,15,21,8,15,21,8,15,21,8,15,21,8
HP1502401_K9,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_L1,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_L10,10,8,19,10,8,19,10,8,19,10,8,19,10,8,19
HP1502401_L11,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
HP1502401_L12,24,4,2,24,4,2,24,4,2,24,4,2,24,4,2
