sc3.sc3_18,sc3.sc3_17,sc3.sc3_16,sc3.sc3_15,sc3.sc3_14,sc3.sc3_13,sc3.sc3_12,sc3.sc3_11,sc3.sc3_10,sc3.sc3_9,sc3.sc3_8,sc3.sc3_7,sc3.sc3_6,sc3.sc3_5,sc3.sc3_4,sc3.sc3_3,sc3.sc3_2,sc3.sc3_1,sc3.sc3_0,Monocle.Monocle_14,Monocle.Monocle_13,Monocle.Monocle_12,Monocle.Monocle_11,Monocle.Monocle_10,Monocle.Monocle_9,Monocle.Monocle_8,Monocle.Monocle_7,Monocle.Monocle_6,Monocle.Monocle_5,Monocle.Monocle_4,Monocle.Monocle_3,Monocle.Monocle_2,Monocle.Monocle_1,Monocle.Monocle_0,Seurat.Seurat_10,Seurat.Seurat_9,Seurat.Seurat_8,Seurat.Seurat_7,Seurat.Seurat_6,Seurat.Seurat_5,Seurat.Seurat_4,Seurat.Seurat_3,Seurat.Seurat_2,Seurat.Seurat_1,Seurat.Seurat_0,cells
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0054
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0055
5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,human1_lib1.final_cell_0056
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0057
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0058
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,8,9,9,9,9,9,9,9,10,10,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0059
4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,human1_lib1.final_cell_0060
5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,10,10,10,4,4,4,4,4,4,5,5,5,5,5,10,10,11,11,5,5,5,5,5,6,6,6,6,8,8,human1_lib1.final_cell_0061
6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,9,9,9,9,8,8,8,8,8,9,10,10,10,10,10,11,11,12,12,6,6,6,6,6,7,7,7,7,7,7,human1_lib1.final_cell_0062
4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,human1_lib1.final_cell_0063
5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,10,10,10,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,5,5,5,5,5,6,6,6,6,8,8,human1_lib1.final_cell_0064
5,5,5,5,5,7,8,8,9,9,9,9,9,9,9,10,11,11,11,4,4,4,4,4,4,5,5,5,5,5,10,10,11,11,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0065
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,human1_lib1.final_cell_0066
6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,6,6,6,6,6,7,7,7,7,7,7,human1_lib1.final_cell_0067
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0068
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0069
6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,7,7,7,7,7,7,7,8,13,6,6,6,6,6,7,7,7,7,7,7,human1_lib1.final_cell_0070
4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,human1_lib1.final_cell_0071
4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,human1_lib1.final_cell_0072
4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0073
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0074
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0075
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,8,9,9,9,9,9,9,9,10,10,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0076
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0077
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0078
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0079
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0080
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0081
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0082
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0083
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,human1_lib1.final_cell_0084
5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,human1_lib1.final_cell_0085
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0086
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0087
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0088
4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,human1_lib1.final_cell_0089
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0090
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0091
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0092
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0093
7,7,7,7,7,8,9,9,10,10,10,10,10,10,10,11,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0094
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0095
4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,human1_lib1.final_cell_0096
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0097
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0098
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0099
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0100
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0101
6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,7,7,7,7,7,7,7,8,13,6,6,6,6,6,7,7,7,7,7,7,human1_lib1.final_cell_0102
6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,9,9,9,9,8,9,9,9,9,10,11,11,11,11,11,12,12,13,14,6,6,6,6,6,7,7,7,7,7,7,human1_lib1.final_cell_0103
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0104
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,7,8,8,8,8,8,8,8,9,9,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0105
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0106
4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,human1_lib1.final_cell_0107
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0108
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,8,8,8,9,9,human1_lib1.final_cell_0109
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0110
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,7,8,8,8,8,8,8,8,9,9,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0111
4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,human1_lib1.final_cell_0112
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0113
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0114
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0115
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0116
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0117
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0118
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0119
7,7,7,7,7,8,9,9,10,10,10,10,10,10,10,11,12,12,12,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0120
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0121
2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,human1_lib1.final_cell_0122
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,human1_lib1.final_cell_0123
