cells,sc3-Initial,Monocle-Initial,Seurat-Initial,sc3-33,Monocle-33,Seurat-33,sc3-66,Monocle-66,Seurat-66,sc3-90,Monocle-90,Seurat-90,sc3-Final,Monocle-Final,Seurat-Final
human1_lib1.final_cell_0063,59,2,20,59,2,20,59,2,20,59,2,20,59,2,20
human1_lib1.final_cell_0064,46,26,8,46,26,8,46,26,8,16,26,8,16,26,8
human1_lib1.final_cell_0065,11,3,4,11,3,4,11,3,4,11,1,4,9,1,4
human1_lib1.final_cell_0066,4,28,2,4,28,2,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0067,50,22,7,50,18,7,50,18,7,50,18,7,28,18,7
human1_lib1.final_cell_0068,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0069,41,11,5,41,11,5,41,11,5,41,11,5,41,11,5
human1_lib1.final_cell_0070,50,22,7,50,18,7,50,18,7,50,18,7,28,18,7
human1_lib1.final_cell_0071,55,2,20,55,2,20,55,2,20,55,2,20,55,2,20
human1_lib1.final_cell_0072,59,2,20,59,2,20,59,2,20,59,2,20,59,2,20
human1_lib1.final_cell_0073,55,1,20,55,1,20,55,1,20,55,1,20,55,1,20
human1_lib1.final_cell_0074,41,8,5,41,8,5,41,8,5,41,8,5,41,8,5
human1_lib1.final_cell_0075,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0076,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0077,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0078,9,3,4,9,3,4,9,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0079,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0080,10,6,4,10,6,4,10,6,4,9,6,4,9,6,4
human1_lib1.final_cell_0081,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0082,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0083,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0084,4,28,2,4,28,2,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0085,33,20,13,33,20,13,33,20,13,33,20,13,2,15,13
human1_lib1.final_cell_0086,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0087,42,4,5,42,4,5,42,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0088,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0089,59,2,20,59,2,20,59,2,20,59,2,20,59,2,20
human1_lib1.final_cell_0090,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0091,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0092,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0093,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0094,9,1,4,9,1,4,9,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0095,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0096,59,2,20,59,2,20,59,2,20,59,2,20,59,2,20
human1_lib1.final_cell_0097,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0098,43,4,5,43,4,5,43,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0099,43,8,5,43,8,5,43,8,5,41,8,5,41,8,5
human1_lib1.final_cell_0100,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0101,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0102,50,23,7,50,23,7,50,23,7,50,23,7,28,23,7
human1_lib1.final_cell_0103,50,23,7,50,23,7,50,23,7,50,23,7,28,23,7
human1_lib1.final_cell_0104,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0105,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0106,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0107,59,1,20,59,1,20,59,1,20,59,1,20,59,1,20
human1_lib1.final_cell_0108,9,1,4,9,1,4,9,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0109,4,21,2,4,21,2,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0110,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0111,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0112,9,1,4,9,1,4,9,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0113,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0114,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0115,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0116,10,6,4,10,6,4,10,6,4,9,6,4,9,6,4
human1_lib1.final_cell_0117,41,11,5,41,11,5,41,11,5,41,11,5,41,11,5
human1_lib1.final_cell_0118,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0119,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0120,10,6,4,10,6,4,10,6,4,9,6,4,9,6,4
human1_lib1.final_cell_0121,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0122,55,1,4,55,1,4,55,1,4,55,1,4,55,1,4
human1_lib1.final_cell_0123,42,4,5,42,4,5,42,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0124,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0125,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0126,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0127,50,4,7,50,4,7,50,4,7,50,4,7,28,4,7
human1_lib1.final_cell_0128,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0129,43,4,5,43,4,5,43,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0130,10,6,4,10,6,4,10,6,4,9,6,4,9,6,4
human1_lib1.final_cell_0131,50,23,7,50,23,7,50,23,7,50,23,7,28,23,7
human1_lib1.final_cell_0132,50,22,7,50,18,7,50,18,7,50,18,7,28,18,7
human1_lib1.final_cell_0133,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0134,4,28,2,4,28,2,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0135,50,22,7,50,18,7,50,18,7,50,18,7,28,18,7
human1_lib1.final_cell_0136,10,6,4,10,6,4,10,6,4,9,6,4,9,6,4
human1_lib1.final_cell_0137,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0138,50,23,7,50,23,7,50,23,7,50,23,7,28,23,7
human1_lib1.final_cell_0139,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0140,42,4,5,42,4,5,42,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0141,59,2,20,59,2,20,59,2,20,59,2,20,59,2,20
human1_lib1.final_cell_0142,10,6,4,10,6,4,10,6,4,9,6,4,9,6,4
human1_lib1.final_cell_0143,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0144,9,4,4,9,4,4,9,4,4,9,4,4,9,4,4
human1_lib1.final_cell_0145,11,3,4,11,3,4,11,3,4,11,1,4,9,1,4
human1_lib1.final_cell_0146,56,4,14,56,4,14,56,4,14,56,4,14,56,4,14
human1_lib1.final_cell_0147,9,1,20,9,1,20,9,1,20,9,1,20,9,1,20
human1_lib1.final_cell_0148,46,26,8,46,26,8,46,26,8,16,26,8,16,26,8
human1_lib1.final_cell_0149,46,26,8,46,26,8,46,26,8,16,26,8,16,26,8
human1_lib1.final_cell_0150,9,1,4,9,1,4,9,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0151,55,13,20,55,13,20,55,13,20,55,13,20,55,12,20
human1_lib1.final_cell_0152,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0153,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0154,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0155,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0156,32,20,13,32,20,13,32,20,13,32,20,13,2,15,13
human1_lib1.final_cell_0157,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0158,9,13,4,9,13,4,9,13,4,9,13,4,9,12,4
human1_lib1.final_cell_0159,50,23,7,50,23,7,50,23,7,50,23,7,28,23,7
human1_lib1.final_cell_0160,9,3,4,9,3,4,9,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0161,50,23,7,50,23,7,50,23,7,50,23,7,28,23,7
human1_lib1.final_cell_0162,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0163,44,8,16,44,8,16,44,8,16,44,8,16,44,8,16
human1_lib1.final_cell_0164,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0165,11,8,4,11,8,4,11,8,4,11,8,4,9,8,4
human1_lib1.final_cell_0166,55,13,20,55,13,20,55,13,20,55,13,20,55,12,20
human1_lib1.final_cell_0167,59,13,20,59,13,20,59,13,20,59,13,20,59,12,20
human1_lib1.final_cell_0168,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0169,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0170,9,1,4,9,1,4,9,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0171,4,28,2,4,28,2,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0172,59,2,20,59,2,20,59,2,20,59,2,20,59,2,20
human1_lib1.final_cell_0173,4,28,2,4,28,2,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0174,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0175,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0176,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0177,4,28,2,4,28,2,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0178,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0179,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0180,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0181,10,6,4,10,6,4,10,6,4,9,6,4,9,6,4
human1_lib1.final_cell_0182,6,28,2,6,28,2,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0183,50,23,7,50,23,7,50,23,7,50,23,7,28,23,7
human1_lib1.final_cell_0184,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0185,50,23,7,50,23,7,50,23,7,50,23,7,28,23,7
human1_lib1.final_cell_0186,10,6,4,10,6,4,10,6,4,9,6,4,9,6,4
human1_lib1.final_cell_0187,29,23,7,29,23,7,29,23,7,29,23,7,28,23,7
human1_lib1.final_cell_0188,51,16,15,51,16,15,51,16,15,51,16,15,51,16,15
human1_lib1.final_cell_0189,38,3,6,38,3,6,38,3,6,38,1,6,36,1,6
human1_lib1.final_cell_0190,10,6,4,10,6,4,10,6,4,9,6,4,9,6,4
human1_lib1.final_cell_0191,29,27,7,29,27,7,29,27,7,29,27,7,28,23,7
human1_lib1.final_cell_0192,43,4,5,43,4,5,43,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0193,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0194,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0195,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0196,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0197,44,8,16,44,8,16,44,8,16,44,8,16,44,8,16
human1_lib1.final_cell_0198,50,23,7,50,23,7,50,23,7,50,23,7,28,23,7
human1_lib1.final_cell_0199,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0200,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0201,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0202,50,23,7,50,23,7,50,23,7,50,23,7,28,23,7
human1_lib1.final_cell_0203,16,26,8,16,26,8,16,26,8,16,26,8,16,26,8
human1_lib1.final_cell_0204,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0205,50,19,7,50,18,7,50,18,7,50,18,7,28,18,7
human1_lib1.final_cell_0206,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0207,16,26,8,16,26,8,16,26,8,16,26,8,16,26,8
human1_lib1.final_cell_0208,50,23,7,50,23,7,50,23,7,50,23,7,28,23,7
human1_lib1.final_cell_0209,17,26,8,17,26,8,17,26,8,16,26,8,16,26,8
human1_lib1.final_cell_0210,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0211,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0212,50,23,7,50,23,7,50,23,7,50,23,7,28,23,7
human1_lib1.final_cell_0213,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0214,9,3,4,9,3,4,9,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0215,52,15,19,52,15,19,52,15,19,52,15,19,2,15,13
human1_lib1.final_cell_0216,16,26,8,16,26,8,16,26,8,16,26,8,16,26,8
human1_lib1.final_cell_0217,49,14,21,49,14,21,49,14,21,49,14,21,49,14,21
human1_lib1.final_cell_0218,52,15,15,52,15,15,52,15,15,52,15,15,2,15,15
human1_lib1.final_cell_0219,33,20,13,33,20,13,33,20,13,33,20,13,2,15,13
human1_lib1.final_cell_0220,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0221,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0222,44,11,16,44,11,16,44,11,16,44,11,16,44,11,16
human1_lib1.final_cell_0223,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0224,9,1,4,9,1,4,9,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0225,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0226,28,27,7,28,27,7,28,27,7,28,27,7,28,23,7
human1_lib1.final_cell_0227,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0228,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0229,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0230,46,14,10,46,14,10,46,14,10,16,14,10,16,14,10
human1_lib1.final_cell_0231,55,1,4,55,1,4,55,1,4,55,1,4,55,1,4
human1_lib1.final_cell_0232,43,4,5,43,4,5,43,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0233,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0234,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0235,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0236,9,1,4,9,1,4,9,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0237,32,20,13,32,20,13,32,20,13,32,20,13,2,15,13
human1_lib1.final_cell_0238,9,13,4,9,13,4,9,13,4,9,13,4,9,12,4
human1_lib1.final_cell_0239,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0240,43,4,5,43,4,5,43,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0241,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0242,52,15,19,52,15,19,52,15,19,52,15,19,2,15,13
human1_lib1.final_cell_0243,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0244,4,28,2,4,28,2,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0245,50,23,7,50,23,7,50,23,7,50,23,7,28,23,7
human1_lib1.final_cell_0246,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0247,11,3,4,11,3,4,11,3,4,11,1,4,9,1,4
human1_lib1.final_cell_0248,50,4,7,50,4,7,50,4,7,50,4,7,28,4,7
human1_lib1.final_cell_0249,10,6,4,10,6,4,10,6,4,9,6,4,9,6,4
human1_lib1.final_cell_0250,51,16,15,51,16,15,51,16,15,51,16,15,51,16,15
human1_lib1.final_cell_0251,43,4,5,43,4,5,43,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0252,61,4,14,53,4,14,53,4,14,53,4,14,53,4,14
human1_lib1.final_cell_0253,40,8,4,40,8,4,40,8,4,38,8,4,36,8,4
human1_lib1.final_cell_0254,11,6,14,11,6,14,11,6,14,11,6,14,9,6,14
human1_lib1.final_cell_0255,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0256,44,11,16,44,11,16,44,11,16,44,11,16,44,11,16
human1_lib1.final_cell_0257,50,22,7,50,18,7,50,18,7,50,18,7,28,18,7
human1_lib1.final_cell_0258,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0259,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0260,9,1,4,9,1,4,9,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0261,46,26,10,46,26,10,46,26,10,16,26,10,16,26,10
human1_lib1.final_cell_0262,43,4,5,43,4,5,43,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0263,50,23,7,50,23,7,50,23,7,50,23,7,28,23,7
human1_lib1.final_cell_0264,10,13,4,10,13,4,10,13,4,9,13,4,9,12,4
human1_lib1.final_cell_0265,44,4,7,44,4,7,44,4,7,44,4,7,44,4,7
human1_lib1.final_cell_0266,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0267,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0268,10,6,4,10,6,4,10,6,4,9,6,4,9,6,4
human1_lib1.final_cell_0269,52,15,19,52,15,19,52,15,19,52,15,19,2,15,13
human1_lib1.final_cell_0270,50,23,7,50,23,7,50,23,7,50,23,7,28,23,7
human1_lib1.final_cell_0271,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0272,61,8,7,53,8,7,53,8,7,53,8,7,53,8,7
human1_lib1.final_cell_0273,44,16,15,44,16,15,44,16,15,44,16,15,44,16,15
human1_lib1.final_cell_0274,50,22,7,50,18,7,50,18,7,50,18,7,28,18,7
human1_lib1.final_cell_0275,56,11,14,56,11,14,56,11,14,56,11,14,56,11,14
human1_lib1.final_cell_0276,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0277,44,11,16,44,11,16,44,11,16,44,11,16,44,11,16
human1_lib1.final_cell_0278,17,14,8,17,14,8,17,14,8,16,14,8,16,14,8
human1_lib1.final_cell_0279,50,23,7,50,23,7,50,23,7,50,23,7,28,23,7
human1_lib1.final_cell_0280,50,23,7,50,23,7,50,23,7,50,23,7,28,23,7
human1_lib1.final_cell_0281,43,11,5,43,11,5,43,11,5,41,11,5,41,11,5
human1_lib1.final_cell_0282,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0283,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0284,46,26,8,46,26,8,46,26,8,16,26,8,16,26,8
human1_lib1.final_cell_0285,50,23,7,50,23,7,50,23,7,50,23,7,28,23,7
human1_lib1.final_cell_0286,9,1,4,9,1,4,9,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0287,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0288,60,10,22,60,10,22,60,10,22,60,10,22,60,10,22
human1_lib1.final_cell_0289,51,16,15,51,16,15,51,16,15,51,16,15,51,16,15
human1_lib1.final_cell_0290,10,6,4,10,6,4,10,6,4,9,6,4,9,6,4
human1_lib1.final_cell_0291,11,6,4,11,6,4,11,6,4,11,6,4,9,6,4
human1_lib1.final_cell_0292,55,1,20,55,1,20,55,1,20,55,1,20,55,1,20
human1_lib1.final_cell_0293,59,2,20,59,2,20,59,2,20,59,2,20,59,2,20
human1_lib1.final_cell_0294,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0295,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0296,10,6,4,10,6,4,10,6,4,9,6,4,9,6,4
human1_lib1.final_cell_0297,55,2,20,55,2,20,55,2,20,55,2,20,55,2,20
human1_lib1.final_cell_0298,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0299,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0300,55,1,20,55,1,20,55,1,20,55,1,20,55,1,20
human1_lib1.final_cell_0301,44,4,16,44,4,16,44,4,16,44,4,16,44,4,16
human1_lib1.final_cell_0302,51,16,15,51,16,15,51,16,15,51,16,15,51,16,15
human1_lib1.final_cell_0303,11,6,4,11,6,4,11,6,4,11,6,4,9,6,4
human1_lib1.final_cell_0304,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0305,55,2,20,55,2,20,55,2,20,55,2,20,55,2,20
human1_lib1.final_cell_0306,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
