cells,sc3-00,Monocle-00,Seurat-00,sc3-05,Monocle-05,Seurat-05,sc3-10,Monocle-10,Seurat-10,sc3-15,Monocle-15,Seurat-15,sc3-20,Monocle-20,Seurat-20,sc3-25,Monocle-25,Seurat-25,sc3-30,Monocle-30,Seurat-30,sc3-35,Monocle-35,Seurat-35,sc3-40,Monocle-40,Seurat-40,sc3-45,Monocle-45,Seurat-45,sc3-50,Monocle-50,Seurat-50,sc3-55,Monocle-55,Seurat-55,sc3-60,Monocle-60,Seurat-60,sc3-65,Monocle-65,Seurat-65,sc3-70,Monocle-70,Seurat-70,sc3-75,Monocle-75,Seurat-75,sc3-80,Monocle-80,Seurat-80,sc3-85,Monocle-85,Seurat-85,sc3-90,Monocle-90,Seurat-90,sc3-95,Monocle-95,Seurat-95,sc3-100,Monocle-100,Seurat-100
human1_lib1.final_cell_0013,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5
human1_lib1.final_cell_0014,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5
human1_lib1.final_cell_0015,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,5,1,6,5,1,6,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0016,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8
human1_lib1.final_cell_0017,7,10,3,7,10,3,7,10,3,7,10,3,7,10,3,7,10,3,7,10,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0018,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,27,6,14,27,6,14,27,6,14,27,6,14,27,6,14,27,6,14
human1_lib1.final_cell_0019,16,7,11,16,7,11,16,7,11,16,7,11,16,7,11,16,7,11,16,7,11,16,7,11,16,7,11,16,7,11,16,7,11,16,7,11,16,7,11,16,7,11,16,7,11,16,7,11,16,7,11,16,7,11,16,7,11,16,7,11,16,7,11
human1_lib1.final_cell_0020,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0021,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0022,6,11,7,6,11,7,6,11,7,6,11,7,6,11,7,6,11,4,6,11,4,6,11,4,6,11,4,4,11,4,2,11,4,2,11,4,2,11,4,2,11,4,2,11,4,2,11,4,2,11,4,2,11,4,2,11,4,2,11,4,2,11,4
human1_lib1.final_cell_0023,7,7,9,7,7,9,7,7,9,7,7,9,7,7,9,7,7,9,7,7,9,7,7,9,7,7,9,7,7,9,7,7,9,7,7,9,7,7,9,7,7,9,7,7,9,7,7,9,5,7,9,5,7,9,5,7,9,5,7,9,5,7,9
human1_lib1.final_cell_0024,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0025,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5
human1_lib1.final_cell_0026,3,11,7,3,11,7,3,11,7,3,11,7,3,11,7,3,11,4,3,11,4,3,11,4,3,11,4,1,11,4,1,11,4,1,11,4,1,11,4,1,11,4,1,11,4,1,11,4,1,11,4,1,11,4,1,11,4,1,11,4,1,11,4
human1_lib1.final_cell_0027,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0028,28,6,2,28,6,2,28,6,2,28,6,2,28,6,2,28,6,2,28,6,2,28,6,2,28,6,2,28,6,2,28,6,2,28,6,2,28,6,2,28,6,2,28,6,2,27,6,2,27,6,2,27,6,2,27,6,2,27,6,2,27,6,2
human1_lib1.final_cell_0029,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,27,6,14,27,6,14,27,6,14,27,6,14,27,6,14,27,6,14
human1_lib1.final_cell_0030,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0031,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5
human1_lib1.final_cell_0032,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5
human1_lib1.final_cell_0033,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5
human1_lib1.final_cell_0034,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5
human1_lib1.final_cell_0035,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0036,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,27,6,14,27,6,14,27,6,14,27,6,14,27,6,14,27,6,14
human1_lib1.final_cell_0037,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0038,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0039,21,10,17,21,10,17,21,10,17,21,10,17,21,10,17,21,10,17,21,10,17,21,5,17,21,5,17,21,5,17,21,5,17,21,5,17,21,5,17,21,5,17,5,5,6,5,1,6,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0040,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5
human1_lib1.final_cell_0041,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8
human1_lib1.final_cell_0042,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0043,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5
human1_lib1.final_cell_0044,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8
human1_lib1.final_cell_0045,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8
human1_lib1.final_cell_0046,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8
human1_lib1.final_cell_0047,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,27,6,14,27,6,14,27,6,14,27,6,14,27,6,14,27,6,14
human1_lib1.final_cell_0048,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8
human1_lib1.final_cell_0049,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5
human1_lib1.final_cell_0050,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0051,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5
human1_lib1.final_cell_0052,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0053,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,27,6,14,27,6,14,27,6,14,27,6,14,27,6,14,27,6,14
human1_lib1.final_cell_0054,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0055,7,10,3,7,10,3,7,10,3,7,10,3,7,10,3,7,10,3,7,10,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0056,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8
human1_lib1.final_cell_0057,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0058,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0059,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0060,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,5,1,6,5,1,6,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0061,17,19,9,17,19,9,17,19,9,17,19,9,17,19,9,17,19,9,17,19,9,17,19,9,17,19,9,17,19,9,17,19,9,17,19,9,17,19,9,17,19,9,17,19,9,17,19,9,17,19,9,17,19,9,17,19,9,17,19,9,17,19,9
human1_lib1.final_cell_0062,3,11,7,3,11,7,3,11,7,3,11,7,3,11,7,3,11,4,3,11,4,3,11,4,3,11,4,1,11,4,1,11,4,1,11,4,1,11,4,1,11,4,1,11,4,1,11,4,1,11,4,1,11,4,1,11,4,1,11,4,1,11,4
human1_lib1.final_cell_0063,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,5,1,6,5,1,6,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0064,17,7,9,17,7,9,17,7,9,17,7,9,17,7,9,17,7,9,17,7,9,17,7,9,17,7,9,17,7,9,17,7,9,17,7,9,17,7,9,17,7,9,17,7,9,17,7,9,17,7,9,17,7,9,17,7,9,17,7,9,17,7,9
human1_lib1.final_cell_0065,25,19,3,25,19,3,25,19,3,25,19,3,25,19,3,25,19,3,25,19,3,25,19,3,25,19,3,25,19,3,23,19,3,23,19,3,23,19,3,22,19,3,22,19,3,22,19,3,22,19,3,22,19,3,22,19,3,22,19,3,22,19,3
human1_lib1.final_cell_0066,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,27,6,14,27,6,14,27,6,14,27,6,14,27,6,14,27,6,14
human1_lib1.final_cell_0067,6,11,7,6,11,7,6,11,7,6,11,7,6,11,7,6,11,4,6,11,4,6,11,4,6,11,4,4,11,4,2,11,4,2,11,4,2,11,4,2,11,4,2,11,4,2,11,4,2,11,4,2,11,4,2,11,4,2,11,4,2,11,4
human1_lib1.final_cell_0068,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0069,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5
human1_lib1.final_cell_0070,6,12,7,6,11,7,6,11,7,6,11,7,6,11,7,6,11,4,6,11,4,6,11,4,6,11,4,4,11,4,2,11,4,2,11,4,2,11,4,2,11,4,2,11,4,2,11,4,2,11,4,2,11,4,2,11,4,2,11,4,2,11,4
human1_lib1.final_cell_0071,21,10,17,21,10,17,21,10,17,21,10,17,21,10,17,21,10,17,21,10,17,21,5,17,21,5,17,21,5,17,21,5,17,21,5,17,21,5,17,21,5,17,5,5,6,5,1,6,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0072,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,21,1,17,5,1,6,5,1,6,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0073,21,10,3,21,10,3,21,10,3,21,10,3,21,10,3,21,10,3,21,10,3,21,5,3,21,5,3,21,5,3,21,5,3,21,5,3,21,5,3,21,5,3,5,5,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0074,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5
human1_lib1.final_cell_0075,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0076,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0077,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5
human1_lib1.final_cell_0078,7,10,3,7,10,3,7,10,3,7,10,3,7,10,3,7,10,3,7,10,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0079,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0080,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0081,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0082,7,10,3,7,10,3,7,10,3,7,10,3,7,10,3,7,10,3,7,10,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0083,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0084,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,28,6,14,27,6,14,27,6,14,27,6,14,27,6,14,27,6,14,27,6,14
human1_lib1.final_cell_0085,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,23,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8,22,16,8
human1_lib1.final_cell_0086,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5
human1_lib1.final_cell_0087,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5,26,14,5
human1_lib1.final_cell_0088,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0089,21,10,17,21,10,17,21,10,17,21,10,17,21,10,17,21,10,17,21,10,17,21,5,17,21,5,17,21,5,17,21,5,17,21,5,17,21,5,17,21,5,17,5,5,6,5,1,6,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0090,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0091,7,10,3,7,10,3,7,10,3,7,10,3,7,10,3,7,10,3,7,10,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0092,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
human1_lib1.final_cell_0093,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,18,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3
