cells,sc3-Initial,Monocle-Initial,Seurat-Initial,garbage1-Initial,garbage2-Initial,sc3-33,Monocle-33,Seurat-33,garbage1-33,garbage2-33,sc3-66,Monocle-66,Seurat-66,garbage1-66,garbage2-66,sc3-90,Monocle-90,Seurat-90,garbage1-90,garbage2-90,sc3-Final,Monocle-Final,Seurat-Final,garbage1-Final,garbage2-Final
human1_lib1.final_cell_0027,7,2,3,21,8,7,2,3,21,8,7,2,3,21,8,7,2,3,1,8,7,2,3,1,8
human1_lib1.final_cell_0028,28,13,2,11,24,28,13,2,11,24,27,13,2,11,24,27,13,2,11,2,27,13,2,11,2
human1_lib1.final_cell_0029,28,13,14,10,1,28,13,14,10,1,27,13,14,10,1,27,13,14,10,1,27,13,14,10,1
human1_lib1.final_cell_0030,7,2,3,6,8,7,2,3,6,8,7,2,3,6,8,7,2,3,6,8,7,2,3,6,8
human1_lib1.final_cell_0031,26,4,5,6,27,26,4,5,6,27,26,4,5,6,27,26,4,5,6,2,26,4,5,6,2
human1_lib1.final_cell_0032,26,4,5,13,6,26,4,5,13,6,26,4,5,13,6,26,4,5,13,6,26,4,5,13,6
human1_lib1.final_cell_0033,26,4,5,28,26,26,4,5,28,26,26,4,5,28,26,26,4,5,1,2,26,4,5,1,2
human1_lib1.final_cell_0034,26,4,5,6,7,26,4,5,6,7,26,4,5,6,7,26,4,5,6,2,26,4,5,6,2
human1_lib1.final_cell_0035,7,2,3,2,22,7,2,3,2,22,7,2,3,2,22,7,2,3,2,2,7,2,3,2,2
human1_lib1.final_cell_0036,28,13,14,15,24,28,13,14,15,24,27,13,14,15,24,27,13,14,1,2,27,13,14,1,2
human1_lib1.final_cell_0037,7,21,3,28,11,7,21,3,28,11,7,21,3,28,11,7,16,3,1,11,7,16,3,1,11
human1_lib1.final_cell_0038,7,2,3,4,17,7,2,3,4,17,7,2,3,4,17,7,2,3,4,17,7,2,3,4,17
human1_lib1.final_cell_0039,21,20,17,4,10,21,20,17,4,10,21,20,17,4,10,21,20,17,4,10,21,20,17,4,10
human1_lib1.final_cell_0040,26,4,5,7,23,26,4,5,7,23,26,4,5,7,23,26,4,5,7,2,26,4,5,7,2
human1_lib1.final_cell_0041,23,9,8,5,17,23,9,8,5,17,23,9,8,5,17,23,3,8,1,17,23,3,8,1,17
human1_lib1.final_cell_0042,7,2,3,8,25,7,2,3,8,25,7,2,3,8,25,7,2,3,1,2,7,2,3,1,2
human1_lib1.final_cell_0043,26,4,5,3,11,26,4,5,3,11,26,4,5,3,11,26,4,5,3,11,26,4,5,3,11
human1_lib1.final_cell_0044,23,9,8,28,3,23,9,8,28,3,23,9,8,28,3,23,3,8,1,2,23,3,8,1,2
human1_lib1.final_cell_0045,23,9,8,20,14,23,9,8,20,14,23,9,8,20,14,23,3,8,20,14,23,3,8,20,14
human1_lib1.final_cell_0046,23,9,8,18,7,23,9,8,18,7,23,9,8,18,7,23,3,8,1,2,23,3,8,1,2
human1_lib1.final_cell_0047,28,13,14,24,4,28,13,14,24,4,27,13,14,24,4,27,13,14,1,4,27,13,14,1,4
human1_lib1.final_cell_0048,23,9,8,12,25,23,9,8,12,25,23,9,8,12,25,23,3,8,12,2,23,3,8,12,2
human1_lib1.final_cell_0049,26,4,5,25,3,26,4,5,25,3,26,4,5,25,3,26,4,5,1,2,26,4,5,1,2
human1_lib1.final_cell_0050,7,2,3,3,3,7,2,3,3,3,7,2,3,3,3,7,2,3,3,2,7,2,3,3,2
human1_lib1.final_cell_0051,26,4,5,24,13,26,4,5,24,13,26,4,5,24,13,26,4,5,1,2,26,4,5,1,2
human1_lib1.final_cell_0052,7,2,3,18,8,7,2,3,18,8,7,2,3,18,8,7,2,3,1,8,7,2,3,1,8
human1_lib1.final_cell_0053,28,13,14,21,28,28,13,14,21,28,27,13,14,21,28,27,13,14,1,2,27,13,14,1,2
human1_lib1.final_cell_0054,7,2,3,20,16,7,2,3,20,16,7,2,3,20,16,7,2,3,20,16,7,2,3,20,16
human1_lib1.final_cell_0055,7,20,3,15,14,7,20,3,15,14,7,20,3,15,14,7,20,3,1,14,7,20,3,1,14
human1_lib1.final_cell_0056,23,9,8,23,26,23,9,8,23,26,23,9,8,23,26,23,3,8,23,2,23,3,8,23,2
human1_lib1.final_cell_0057,7,2,3,13,18,7,2,3,13,18,7,2,3,13,18,7,2,3,13,18,7,2,3,13,18
human1_lib1.final_cell_0058,7,2,3,27,11,7,2,3,27,11,7,2,3,27,11,7,2,3,1,11,7,2,3,1,11
human1_lib1.final_cell_0059,7,16,3,12,4,7,16,3,12,4,7,16,3,12,4,7,16,3,12,4,7,16,3,12,4
human1_lib1.final_cell_0060,21,1,17,14,19,21,1,17,14,19,21,1,17,14,19,21,1,17,1,19,21,1,17,1,19
human1_lib1.final_cell_0061,17,22,9,25,15,17,22,9,25,15,17,22,9,25,15,17,22,9,1,2,17,22,9,1,2
human1_lib1.final_cell_0062,3,18,7,15,1,3,12,7,15,1,3,12,4,15,1,1,12,4,1,1,1,12,4,1,1
human1_lib1.final_cell_0063,21,1,17,15,11,21,1,17,15,11,21,1,17,15,11,21,1,17,1,11,21,1,17,1,11
human1_lib1.final_cell_0064,17,15,9,18,22,17,15,9,18,22,17,15,9,18,22,17,15,9,1,2,17,15,9,1,2
human1_lib1.final_cell_0065,25,22,3,24,2,25,22,3,24,2,25,22,3,24,2,23,22,3,1,2,23,22,3,1,2
human1_lib1.final_cell_0066,28,13,14,5,21,28,13,14,5,21,27,13,14,5,21,27,13,14,1,21,27,13,14,1,21
human1_lib1.final_cell_0067,6,12,7,4,5,6,12,7,4,5,4,12,4,4,5,2,12,4,4,2,2,12,4,4,2
human1_lib1.final_cell_0068,7,2,3,13,21,7,2,3,13,21,7,2,3,13,21,7,2,3,13,21,7,2,3,13,21
human1_lib1.final_cell_0069,26,4,5,12,21,26,4,5,12,21,26,4,5,12,21,26,4,5,12,21,26,4,5,12,21
human1_lib1.final_cell_0070,6,12,7,3,21,6,12,7,3,21,4,12,4,3,21,2,12,4,3,21,2,12,4,3,21
human1_lib1.final_cell_0071,21,20,17,6,16,21,20,17,6,16,21,20,17,6,16,21,20,17,6,16,21,20,17,6,16
human1_lib1.final_cell_0072,21,1,17,2,24,21,1,17,2,24,21,1,17,2,24,21,1,17,2,2,21,1,17,2,2
human1_lib1.final_cell_0073,21,20,3,13,5,21,20,3,13,5,21,20,3,13,5,21,20,3,13,2,21,20,3,13,2
human1_lib1.final_cell_0074,26,4,5,25,19,26,4,5,25,19,26,4,5,25,19,26,4,5,1,19,26,4,5,1,19
human1_lib1.final_cell_0075,7,2,3,22,15,7,2,3,22,15,7,2,3,22,15,7,2,3,1,2,7,2,3,1,2
human1_lib1.final_cell_0076,7,21,3,28,11,7,21,3,28,11,7,21,3,28,11,7,16,3,1,11,7,16,3,1,11
human1_lib1.final_cell_0077,26,4,5,27,4,26,4,5,27,4,26,4,5,27,4,26,4,5,1,4,26,4,5,1,4
human1_lib1.final_cell_0078,7,20,3,8,2,7,20,3,8,2,7,20,3,8,2,7,20,3,1,2,7,20,3,1,2
human1_lib1.final_cell_0079,7,2,3,28,3,7,2,3,28,3,7,2,3,28,3,7,2,3,1,2,7,2,3,1,2
human1_lib1.final_cell_0080,7,21,3,12,2,7,21,3,12,2,7,21,3,12,2,7,16,3,12,2,7,16,3,12,2
human1_lib1.final_cell_0081,7,2,3,5,5,7,2,3,5,5,7,2,3,5,5,7,2,3,1,2,7,2,3,1,2
human1_lib1.final_cell_0082,7,20,3,15,15,7,20,3,15,15,7,20,3,15,15,7,20,3,1,2,7,20,3,1,2
human1_lib1.final_cell_0083,7,2,3,12,6,7,2,3,12,6,7,2,3,12,6,7,2,3,12,6,7,2,3,12,6
human1_lib1.final_cell_0084,28,13,14,4,1,28,13,14,4,1,27,13,14,4,1,27,13,14,4,1,27,13,14,4,1
human1_lib1.final_cell_0085,23,9,8,26,27,23,9,8,26,27,23,9,8,26,27,23,3,8,1,2,23,3,8,1,2
human1_lib1.final_cell_0086,26,4,5,14,10,26,4,5,14,10,26,4,5,14,10,26,4,5,1,10,26,4,5,1,10
human1_lib1.final_cell_0087,26,4,5,1,8,26,4,5,1,8,26,4,5,1,8,26,4,5,1,8,26,4,5,1,8
human1_lib1.final_cell_0088,7,2,3,5,22,7,2,3,5,22,7,2,3,5,22,7,2,3,1,2,7,2,3,1,2
human1_lib1.final_cell_0089,21,20,17,15,7,21,20,17,15,7,21,20,17,15,7,21,20,17,1,2,21,20,17,1,2
human1_lib1.final_cell_0090,7,2,3,5,23,7,2,3,5,23,7,2,3,5,23,7,2,3,1,2,7,2,3,1,2
human1_lib1.final_cell_0091,7,20,3,27,17,7,20,3,27,17,7,20,3,27,17,7,20,3,1,17,7,20,3,1,17
human1_lib1.final_cell_0092,7,2,3,3,6,7,2,3,3,6,7,2,3,3,6,7,2,3,3,6,7,2,3,3,6
human1_lib1.final_cell_0093,7,2,3,7,7,7,2,3,7,7,7,2,3,7,7,7,2,3,7,2,7,2,3,7,2
human1_lib1.final_cell_0094,8,16,3,7,14,8,16,3,7,14,8,16,3,7,14,8,16,3,7,14,8,16,3,7,14
human1_lib1.final_cell_0095,7,21,3,8,21,7,21,3,8,21,7,21,3,8,21,7,16,3,1,21,7,16,3,1,21
human1_lib1.final_cell_0096,21,1,17,3,22,21,1,17,3,22,21,1,17,3,22,21,1,17,3,2,21,1,17,3,2
human1_lib1.final_cell_0097,7,2,3,1,3,7,2,3,1,3,7,2,3,1,3,7,2,3,1,2,7,2,3,1,2
human1_lib1.final_cell_0098,26,4,5,14,20,26,4,5,14,20,26,4,5,14,20,26,4,5,1,20,26,4,5,1,20
human1_lib1.final_cell_0099,26,4,5,28,26,26,4,5,28,26,26,4,5,28,26,26,4,5,1,2,26,4,5,1,2
human1_lib1.final_cell_0100,7,2,3,22,27,7,2,3,22,27,7,2,3,22,27,7,2,3,1,2,7,2,3,1,2
human1_lib1.final_cell_0101,26,4,5,21,10,26,4,5,21,10,26,4,5,21,10,26,4,5,1,10,26,4,5,1,10
human1_lib1.final_cell_0102,6,12,7,25,3,6,12,7,25,3,4,12,4,25,3,2,12,4,1,2,2,12,4,1,2
human1_lib1.final_cell_0103,3,14,7,28,14,3,14,7,28,14,3,7,4,28,14,1,7,4,1,14,1,7,4,1,14
human1_lib1.final_cell_0104,26,4,5,1,7,26,4,5,1,7,26,4,5,1,7,26,4,5,1,2,26,4,5,1,2
human1_lib1.final_cell_0105,7,2,3,25,18,7,2,3,25,18,7,2,3,25,18,7,2,3,1,18,7,2,3,1,18
human1_lib1.final_cell_0106,7,2,3,11,18,7,2,3,11,18,7,2,3,11,18,7,2,3,11,18,7,2,3,11,18
human1_lib1.final_cell_0107,21,20,17,18,6,21,20,17,18,6,21,20,17,18,6,21,20,17,1,6,21,20,17,1,6
human1_lib1.final_cell_0108,7,20,3,1,2,7,20,3,1,2,7,20,3,1,2,7,20,3,1,2,7,20,3,1,2
human1_lib1.final_cell_0109,28,13,2,10,2,28,13,2,10,2,27,13,2,10,2,27,13,2,10,2,27,13,2,10,2
human1_lib1.final_cell_0110,26,4,5,14,25,26,4,5,14,25,26,4,5,14,25,26,4,5,1,2,26,4,5,1,2
human1_lib1.final_cell_0111,7,23,3,16,14,7,23,3,16,14,7,23,3,16,14,7,23,3,16,14,7,23,3,16,14
human1_lib1.final_cell_0112,21,1,17,25,15,21,1,17,25,15,21,1,17,25,15,21,1,17,1,2,21,1,17,1,2
human1_lib1.final_cell_0113,26,4,5,5,1,26,4,5,5,1,26,4,5,5,1,26,4,5,1,1,26,4,5,1,1
human1_lib1.final_cell_0114,7,21,3,7,25,7,21,3,7,25,7,21,3,7,25,7,16,3,7,2,7,16,3,7,2
human1_lib1.final_cell_0115,7,21,3,5,15,7,21,3,5,15,7,21,3,5,15,7,16,3,1,2,7,16,3,1,2
human1_lib1.final_cell_0116,7,21,3,24,18,7,21,3,24,18,7,21,3,24,18,7,16,3,1,18,7,16,3,1,18
human1_lib1.final_cell_0117,26,4,5,23,19,26,4,5,23,19,26,4,5,23,19,26,4,5,23,19,26,4,5,23,19
human1_lib1.final_cell_0118,7,21,3,9,23,7,21,3,9,23,7,21,3,9,23,7,16,3,1,2,7,16,3,1,2
human1_lib1.final_cell_0119,26,4,5,15,19,26,4,5,15,19,26,4,5,15,19,26,4,5,1,19,26,4,5,1,19
human1_lib1.final_cell_0120,8,2,3,12,6,8,2,3,12,6,8,2,3,12,6,8,2,3,12,6,8,2,3,12,6
human1_lib1.final_cell_0121,7,2,3,6,20,7,2,3,6,20,7,2,3,6,20,7,2,3,6,20,7,2,3,6,20
human1_lib1.final_cell_0122,7,20,3,26,20,7,20,3,26,20,7,20,3,26,20,7,20,3,1,20,7,20,3,1,20
human1_lib1.final_cell_0123,26,4,5,24,22,26,4,5,24,22,26,4,5,24,22,26,4,5,1,2,26,4,5,1,2
human1_lib1.final_cell_0124,7,21,3,15,25,7,21,3,15,25,7,21,3,15,25,7,16,3,1,2,7,16,3,1,2
human1_lib1.final_cell_0125,7,20,3,28,21,7,20,3,28,21,7,20,3,28,21,7,20,3,1,21,7,20,3,1,21
human1_lib1.final_cell_0126,7,2,3,26,12,7,2,3,26,12,7,2,3,26,12,7,2,3,1,12,7,2,3,1,12
human1_lib1.final_cell_0127,6,12,1,7,27,6,12,1,7,27,4,12,1,7,27,2,12,1,7,2,2,12,1,7,2
human1_lib1.final_cell_0128,7,2,3,13,27,7,2,3,13,27,7,2,3,13,27,7,2,3,13,2,7,2,3,13,2
human1_lib1.final_cell_0129,26,4,5,19,21,26,4,5,19,21,26,4,5,19,21,26,4,5,19,21,26,4,5,19,21
human1_lib1.final_cell_0130,7,2,3,10,15,7,2,3,10,15,7,2,3,10,15,7,2,3,10,2,7,2,3,10,2
human1_lib1.final_cell_0131,1,18,7,2,16,1,12,7,2,16,1,12,4,2,16,1,12,4,2,16,1,12,4,2,16
human1_lib1.final_cell_0132,6,12,7,21,14,6,12,7,21,14,4,12,4,21,14,2,12,4,1,14,2,12,4,1,14
human1_lib1.final_cell_0133,7,2,3,19,9,7,2,3,19,9,7,2,3,19,9,7,2,3,19,2,7,2,3,19,2
human1_lib1.final_cell_0134,28,13,14,7,9,28,13,14,7,9,27,13,14,7,9,27,13,14,7,2,27,13,14,7,2
human1_lib1.final_cell_0135,6,12,7,9,22,6,12,7,9,22,4,12,4,9,22,2,12,4,1,2,2,12,4,1,2
human1_lib1.final_cell_0136,7,2,3,15,2,7,2,3,15,2,7,2,3,15,2,7,2,3,1,2,7,2,3,1,2
human1_lib1.final_cell_0137,7,21,3,18,19,7,21,3,18,19,7,21,3,18,19,7,16,3,1,19,7,16,3,1,19
human1_lib1.final_cell_0138,3,14,7,27,6,3,14,7,27,6,3,7,4,27,6,1,7,4,1,6,1,7,4,1,6
human1_lib1.final_cell_0139,7,2,3,22,17,7,2,3,22,17,7,2,3,22,17,7,2,3,1,17,7,2,3,1,17
human1_lib1.final_cell_0140,26,4,5,26,26,26,4,5,26,26,26,4,5,26,26,26,4,5,1,2,26,4,5,1,2
human1_lib1.final_cell_0141,21,1,17,9,17,21,1,17,9,17,21,1,17,9,17,21,1,17,1,17,21,1,17,1,17
human1_lib1.final_cell_0142,7,2,3,5,24,7,2,3,5,24,7,2,3,5,24,7,2,3,1,2,7,2,3,1,2
human1_lib1.final_cell_0143,7,2,3,26,15,7,2,3,26,15,7,2,3,26,15,7,2,3,1,2,7,2,3,1,2
human1_lib1.final_cell_0144,8,20,3,13,14,8,20,3,13,14,8,20,3,13,14,8,20,3,13,14,8,20,3,13,14
human1_lib1.final_cell_0145,7,2,3,10,2,7,2,3,10,2,7,2,3,10,2,7,2,3,10,2,7,2,3,10,2
human1_lib1.final_cell_0146,25,6,5,1,17,25,6,5,1,17,25,6,5,1,17,23,6,5,1,17,23,6,5,1,17
human1_lib1.final_cell_0147,8,1,3,1,22,8,1,3,1,22,8,1,3,1,22,8,1,3,1,2,8,1,3,1,2
human1_lib1.final_cell_0148,16,22,9,23,26,16,22,9,23,26,16,22,9,23,26,16,22,9,23,2,16,22,9,23,2
human1_lib1.final_cell_0149,16,15,11,20,10,16,15,11,20,10,16,15,11,20,10,16,15,11,20,10,16,15,11,20,10
human1_lib1.final_cell_0150,7,20,3,22,27,7,20,3,22,27,7,20,3,22,27,7,20,3,1,2,7,20,3,1,2
human1_lib1.final_cell_0151,21,20,17,24,18,21,20,17,24,18,21,20,17,24,18,21,20,17,1,18,21,20,17,1,18
human1_lib1.final_cell_0152,7,2,3,18,15,7,2,3,18,15,7,2,3,18,15,7,2,3,1,2,7,2,3,1,2
human1_lib1.final_cell_0153,7,2,3,4,22,7,2,3,4,22,7,2,3,4,22,7,2,3,4,2,7,2,3,4,2
human1_lib1.final_cell_0154,26,4,5,28,2,26,4,5,28,2,26,4,5,28,2,26,4,5,1,2,26,4,5,1,2
human1_lib1.final_cell_0155,7,2,3,24,28,7,2,3,24,28,7,2,3,24,28,7,2,3,1,2,7,2,3,1,2
human1_lib1.final_cell_0156,23,9,8,6,12,23,9,8,6,12,23,9,8,6,12,23,3,8,6,12,23,3,8,6,12
human1_lib1.final_cell_0157,7,23,3,25,4,7,23,3,25,4,7,23,3,25,4,7,23,3,1,4,7,23,3,1,4
human1_lib1.final_cell_0158,7,19,3,22,16,7,19,3,22,16,7,19,3,22,16,7,19,3,1,16,7,19,3,1,16
human1_lib1.final_cell_0159,6,12,7,9,18,6,12,7,9,18,4,12,4,9,18,2,12,4,1,18,2,12,4,1,18
human1_lib1.final_cell_0160,7,20,3,24,2,7,20,3,24,2,7,20,3,24,2,7,20,3,1,2,7,20,3,1,2
human1_lib1.final_cell_0161,3,18,7,5,19,3,12,7,5,19,3,12,4,5,19,1,12,4,1,19,1,12,4,1,19
human1_lib1.final_cell_0162,7,2,3,27,4,7,2,3,27,4,7,2,3,27,4,7,2,3,1,4,7,2,3,1,4
human1_lib1.final_cell_0163,18,24,16,16,20,18,24,16,16,20,18,24,16,16,20,18,24,16,16,20,18,24,16,16,20
human1_lib1.final_cell_0164,7,20,3,5,23,7,20,3,5,23,7,20,3,5,23,7,20,3,1,2,7,20,3,1,2
human1_lib1.final_cell_0165,7,21,3,3,23,7,21,3,3,23,7,21,3,3,23,7,16,3,3,2,7,16,3,3,2
human1_lib1.final_cell_0166,21,20,17,26,26,21,20,17,26,26,21,20,17,26,26,21,20,17,1,2,21,20,17,1,2
human1_lib1.final_cell_0167,21,1,17,5,26,21,1,17,5,26,21,1,17,5,26,21,1,17,1,2,21,1,17,1,2
human1_lib1.final_cell_0168,7,2,3,15,8,7,2,3,15,8,7,2,3,15,8,7,2,3,1,8,7,2,3,1,8
human1_lib1.final_cell_0169,7,2,3,23,15,7,2,3,23,15,7,2,3,23,15,7,2,3,23,2,7,2,3,23,2
human1_lib1.final_cell_0170,7,20,3,17,25,7,20,3,17,25,7,20,3,17,25,7,20,3,17,2,7,20,3,17,2
human1_lib1.final_cell_0171,28,13,14,8,10,28,13,14,8,10,27,13,14,8,10,27,13,14,1,10,27,13,14,1,10
human1_lib1.final_cell_0172,21,1,17,5,20,21,1,17,5,20,21,1,17,5,20,21,1,17,1,20,21,1,17,1,20
human1_lib1.final_cell_0173,28,13,14,5,15,28,13,14,5,15,27,13,14,5,15,27,13,14,1,2,27,13,14,1,2
human1_lib1.final_cell_0174,7,2,3,22,28,7,2,3,22,28,7,2,3,22,28,7,2,3,1,2,7,2,3,1,2
human1_lib1.final_cell_0175,7,2,3,21,10,7,2,3,21,10,7,2,3,21,10,7,2,3,1,10,7,2,3,1,10
human1_lib1.final_cell_0176,7,21,3,3,15,7,21,3,3,15,7,21,3,3,15,7,16,3,3,2,7,16,3,3,2
human1_lib1.final_cell_0177,28,13,14,13,23,28,13,14,13,23,27,13,14,13,23,27,13,14,13,2,27,13,14,13,2
human1_lib1.final_cell_0178,26,4,5,24,24,26,4,5,24,24,26,4,5,24,24,26,4,5,1,2,26,4,5,1,2
human1_lib1.final_cell_0179,7,2,3,20,1,7,2,3,20,1,7,2,3,20,1,7,2,3,20,1,7,2,3,20,1
human1_lib1.final_cell_0180,26,4,5,25,10,26,4,5,25,10,26,4,5,25,10,26,4,5,1,10,26,4,5,1,10
human1_lib1.final_cell_0181,7,23,3,25,17,7,23,3,25,17,7,23,3,25,17,7,23,3,1,17,7,23,3,1,17
human1_lib1.final_cell_0182,28,13,14,17,3,28,13,14,17,3,27,13,14,17,3,27,13,14,17,2,27,13,14,17,2
human1_lib1.final_cell_0183,6,12,7,7,15,6,12,7,7,15,4,12,4,7,15,2,12,4,7,2,2,12,4,7,2
human1_lib1.final_cell_0184,7,2,3,2,17,7,2,3,2,17,7,2,3,2,17,7,2,3,2,17,7,2,3,2,17
human1_lib1.final_cell_0185,6,12,7,28,7,6,12,7,28,7,4,12,4,28,7,2,12,4,1,2,2,12,4,1,2
human1_lib1.final_cell_0186,7,2,3,5,22,7,2,3,5,22,7,2,3,5,22,7,2,3,1,2,7,2,3,1,2
human1_lib1.final_cell_0187,3,18,7,2,6,3,12,7,2,6,3,12,4,2,6,1,12,4,2,6,1,12,4,2,6
human1_lib1.final_cell_0188,22,3,15,6,19,22,3,15,6,19,22,3,15,6,19,22,3,8,6,19,22,3,8,6,19
human1_lib1.final_cell_0189,8,1,3,17,4,8,1,3,17,4,8,1,3,17,4,8,1,3,17,4,8,1,3,17,4
human1_lib1.final_cell_0190,7,2,3,23,8,7,2,3,23,8,7,2,3,23,8,7,2,3,23,8,7,2,3,23,8
human1_lib1.final_cell_0191,3,14,7,28,23,3,14,7,28,23,3,7,4,28,23,1,7,4,1,2,1,7,4,1,2
human1_lib1.final_cell_0192,26,4,5,2,28,26,4,5,2,28,26,4,5,2,28,26,4,5,2,2,26,4,5,2,2
human1_lib1.final_cell_0193,7,2,3,28,21,7,2,3,28,21,7,2,3,28,21,7,2,3,1,21,7,2,3,1,21
human1_lib1.final_cell_0194,7,2,3,1,10,7,2,3,1,10,7,2,3,1,10,7,2,3,1,10,7,2,3,1,10
human1_lib1.final_cell_0195,26,4,5,2,16,26,4,5,2,16,26,4,5,2,16,26,4,5,2,16,26,4,5,2,16
human1_lib1.final_cell_0196,7,2,3,22,7,7,2,3,22,7,7,2,3,22,7,7,2,3,1,2,7,2,3,1,2
human1_lib1.final_cell_0197,18,24,16,22,6,18,24,16,22,6,18,24,16,22,6,18,24,16,1,6,18,24,16,1,6
human1_lib1.final_cell_0198,6,12,7,1,3,6,12,7,1,3,4,12,4,1,3,2,12,4,1,2,2,12,4,1,2
human1_lib1.final_cell_0199,7,2,3,25,26,7,2,3,25,26,7,2,3,25,26,7,2,3,1,2,7,2,3,1,2
human1_lib1.final_cell_0200,7,2,3,5,16,7,2,3,5,16,7,2,3,5,16,7,2,3,1,16,7,2,3,1,16
human1_lib1.final_cell_0201,26,4,5,1,13,26,4,5,1,13,26,4,5,1,13,26,4,5,1,2,26,4,5,1,2
human1_lib1.final_cell_0202,6,12,7,11,11,6,12,7,11,11,4,12,4,11,11,2,12,4,11,11,2,12,4,11,11
human1_lib1.final_cell_0203,17,22,9,17,6,17,22,9,17,6,17,22,9,17,6,17,22,9,17,6,17,22,9,17,6
human1_lib1.final_cell_0204,7,21,3,10,14,7,21,3,10,14,7,21,3,10,14,7,16,3,10,14,7,16,3,10,14
human1_lib1.final_cell_0205,6,12,7,10,25,6,12,7,10,25,4,12,4,10,25,2,12,4,10,2,2,12,4,10,2
human1_lib1.final_cell_0206,7,2,3,6,6,7,2,3,6,6,7,2,3,6,6,7,2,3,6,6,7,2,3,6,6
human1_lib1.final_cell_0207,17,22,9,24,12,17,22,9,24,12,17,22,9,24,12,17,22,9,1,12,17,22,9,1,12
human1_lib1.final_cell_0208,6,12,7,3,28,6,12,7,3,28,4,12,4,3,28,2,12,4,3,2,2,12,4,3,2
human1_lib1.final_cell_0209,17,22,9,1,12,17,22,9,1,12,17,22,9,1,12,17,22,9,1,12,17,22,9,1,12
