cells,sc3-00,Monocle-00,Seurat-00,Garbage1-00,sc3-05,Monocle-05,Seurat-05,Garbage1-05,sc3-10,Monocle-10,Seurat-10,Garbage1-10,sc3-15,Monocle-15,Seurat-15,Garbage1-15,sc3-20,Monocle-20,Seurat-20,Garbage1-20,sc3-25,Monocle-25,Seurat-25,Garbage1-25,sc3-30,Monocle-30,Seurat-30,Garbage1-30,sc3-35,Monocle-35,Seurat-35,Garbage1-35,sc3-40,Monocle-40,Seurat-40,Garbage1-40,sc3-45,Monocle-45,Seurat-45,Garbage1-45,sc3-50,Monocle-50,Seurat-50,Garbage1-50,sc3-55,Monocle-55,Seurat-55,Garbage1-55,sc3-60,Monocle-60,Seurat-60,Garbage1-60,sc3-65,Monocle-65,Seurat-65,Garbage1-65,sc3-70,Monocle-70,Seurat-70,Garbage1-70,sc3-75,Monocle-75,Seurat-75,Garbage1-75,sc3-80,Monocle-80,Seurat-80,Garbage1-80,sc3-85,Monocle-85,Seurat-85,Garbage1-85,sc3-90,Monocle-90,Seurat-90,Garbage1-90,sc3-95,Monocle-95,Seurat-95,Garbage1-95,sc3-100,Monocle-100,Seurat-100,Garbage1-100
HP1502401_A7,16,2,19,4,16,2,19,4,16,2,19,4,16,2,19,4,16,2,19,4,16,2,19,4,16,2,19,4,16,2,19,4,16,2,19,4,16,2,19,4,16,2,19,4,16,2,19,4,16,2,19,4,16,2,19,4,16,2,19,4,16,2,19,4,16,2,19,4,16,2,19,4,16,2,19,4,16,2,19,4,16,2,19,1
HP1502401_B1,16,2,20,17,16,2,20,17,16,2,20,17,16,2,20,17,16,2,20,17,16,2,20,17,16,2,20,17,16,2,20,17,16,2,20,17,16,2,20,17,16,2,20,17,16,2,20,17,16,2,20,17,16,2,20,17,16,2,20,17,16,2,20,17,16,2,20,17,16,2,20,17,16,2,20,17,16,2,20,17,16,2,20,17
HP1502401_B10,7,22,27,8,7,22,27,8,7,22,27,8,7,22,27,8,7,22,27,8,7,22,27,8,7,22,27,8,7,22,27,8,7,22,27,8,7,22,27,8,7,22,27,8,7,22,27,8,7,22,27,8,7,22,27,8,7,22,27,8,7,22,27,8,7,22,27,8,7,22,27,8,7,22,27,8,7,22,27,8,7,22,27,8
HP1502401_B11,9,6,13,19,9,6,13,19,9,6,13,19,9,6,13,19,9,6,13,19,9,6,13,19,9,6,13,19,9,6,13,19,9,6,13,19,9,6,13,19,9,6,13,19,9,6,13,19,9,6,13,19,9,3,13,19,9,3,13,19,9,3,13,19,9,3,13,19,9,3,13,19,9,3,13,19,9,3,13,19,9,3,13,19
HP1502401_B14,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8
HP1502401_B15,9,6,13,16,9,6,13,16,9,6,13,16,9,6,13,16,9,6,13,16,9,6,13,16,9,6,13,16,9,6,13,16,9,6,13,16,9,6,13,16,9,6,13,16,9,6,13,16,9,6,13,16,9,3,13,16,9,3,13,16,9,3,13,16,9,3,13,16,9,3,13,16,9,3,13,16,9,3,13,16,9,3,13,16
HP1502401_B16,7,5,3,11,7,5,3,11,7,5,3,11,7,5,3,11,7,5,3,11,7,5,3,11,7,5,3,11,7,5,3,11,7,5,3,11,7,5,3,11,7,5,3,11,7,5,3,11,7,5,3,11,7,5,3,11,7,5,3,11,7,5,3,11,7,5,3,11,7,5,3,11,7,5,3,11,7,5,3,11,7,5,3,1
HP1502401_B17,12,8,18,6,12,8,18,6,12,8,18,6,12,8,18,6,12,8,18,6,12,8,18,6,12,8,18,6,12,8,18,6,12,8,18,6,12,8,18,6,12,8,18,6,12,8,18,6,12,8,18,6,12,8,18,6,12,8,18,6,12,8,18,6,12,8,18,6,12,8,4,6,11,8,4,6,11,8,4,6,3,8,4,6
HP1502401_B18,9,3,13,23,9,3,13,23,9,3,13,23,9,3,13,23,9,3,13,23,9,3,13,23,9,3,13,23,9,3,13,23,9,3,13,23,9,3,13,23,9,3,13,23,9,3,13,23,9,3,13,23,9,3,13,23,9,3,13,23,9,3,13,23,9,3,13,23,9,3,13,23,9,3,13,23,9,3,13,23,9,3,13,1
HP1502401_B20,7,22,3,20,7,22,3,20,7,22,3,20,7,22,3,20,7,22,3,20,7,22,3,20,7,22,3,20,7,22,3,20,7,22,3,20,7,22,3,20,7,22,3,20,7,22,3,20,7,22,3,20,7,22,3,20,7,22,3,20,7,22,3,20,7,22,3,20,7,22,3,20,7,22,3,20,7,22,3,20,7,22,3,1
HP1502401_B21,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,1
HP1502401_B22,18,2,22,15,18,2,22,15,18,2,22,15,18,2,22,15,18,2,22,15,18,2,22,15,18,2,22,15,18,2,22,15,18,2,22,15,18,2,22,15,18,2,22,15,18,2,22,15,18,2,22,15,18,2,22,15,18,2,22,15,18,2,22,15,18,2,22,15,18,2,22,15,18,2,22,15,18,2,22,15,18,2,22,15
HP1502401_B23,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3
HP1502401_B24,16,2,20,6,16,2,20,6,16,2,20,6,16,2,20,6,16,2,20,6,16,2,20,6,16,2,20,6,16,2,20,6,16,2,20,6,16,2,20,6,16,2,20,6,16,2,20,6,16,2,20,6,16,2,20,6,16,2,20,6,16,2,20,6,16,2,20,6,16,2,20,6,16,2,20,6,16,2,20,6,16,2,20,6
HP1502401_B5,7,16,3,18,7,16,3,18,7,16,3,18,7,16,3,18,7,16,3,18,7,16,3,18,7,16,3,18,7,16,3,18,7,16,3,18,7,16,3,18,7,16,3,18,7,16,3,18,7,16,3,18,7,16,3,18,7,16,3,18,7,16,3,18,7,16,3,18,7,16,3,18,7,16,3,18,7,16,3,18,7,16,3,18
HP1502401_B7,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10
HP1502401_B8,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,1
HP1502401_C1,12,8,18,20,12,8,18,20,12,8,18,20,12,8,18,20,12,8,18,20,12,8,18,20,12,8,18,20,12,8,18,20,12,8,18,20,12,8,18,20,12,8,18,20,12,8,18,20,12,8,18,20,12,8,18,20,12,8,18,20,12,8,18,20,12,8,18,20,12,8,4,20,11,8,4,20,11,8,4,20,3,8,4,1
HP1502401_C10,16,2,20,23,16,2,20,23,16,2,20,23,16,2,20,23,16,2,20,23,16,2,20,23,16,2,20,23,16,2,20,23,16,2,20,23,16,2,20,23,16,2,20,23,16,2,20,23,16,2,20,23,16,2,20,23,16,2,20,23,16,2,20,23,16,2,20,23,16,2,20,23,16,2,20,23,16,2,20,23,16,2,20,1
HP1502401_C12,2,1,26,10,2,1,26,10,2,1,26,10,2,1,26,10,2,1,26,10,2,1,26,10,2,1,26,10,2,1,26,10,2,1,26,10,2,1,26,10,2,1,26,10,2,1,26,10,2,1,26,10,2,1,26,10,2,1,26,10,2,1,26,10,2,1,26,10,2,1,26,10,2,1,26,10,2,1,26,10,2,1,26,10
HP1502401_C14,7,5,3,24,7,5,3,24,7,5,3,24,7,5,3,24,7,5,3,24,7,5,3,24,7,5,3,24,7,5,3,24,7,5,3,24,7,5,3,24,7,5,3,24,7,5,3,24,7,5,3,24,7,5,3,24,7,5,3,24,7,5,3,24,7,5,3,24,7,5,3,24,7,5,3,24,7,5,3,24,7,5,3,24
HP1502401_C16,7,16,3,11,7,16,3,11,7,16,3,11,7,16,3,11,7,16,3,11,7,16,3,11,7,16,3,11,7,16,3,11,7,16,3,11,7,16,3,11,7,16,3,11,7,16,3,11,7,16,3,11,7,16,3,11,7,16,3,11,7,16,3,11,7,16,3,11,7,16,3,11,7,16,3,11,7,16,3,11,7,16,3,1
HP1502401_C18,16,2,20,13,16,2,20,13,16,2,20,13,16,2,20,13,16,2,20,13,16,2,20,13,16,2,20,13,16,2,20,13,16,2,20,13,16,2,20,13,16,2,20,13,16,2,20,13,16,2,20,13,16,2,20,13,16,2,20,13,16,2,20,13,16,2,20,13,16,2,20,13,16,2,20,13,16,2,20,13,16,2,20,1
HP1502401_C2,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19
HP1502401_C20,13,10,6,12,13,10,6,12,13,10,6,12,13,10,6,12,13,10,6,12,13,10,6,12,13,10,6,12,13,10,6,12,13,10,6,12,13,10,6,12,13,10,6,12,13,10,6,12,13,10,6,12,13,10,6,12,13,10,6,12,13,10,6,12,13,10,6,12,13,10,6,12,13,10,6,12,13,10,6,12,13,10,6,12
HP1502401_C21,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3
HP1502401_C22,18,5,22,6,18,5,22,6,18,5,22,6,18,5,22,6,18,5,22,6,18,5,22,6,18,5,22,6,18,5,22,6,18,5,22,6,18,5,22,6,18,5,22,6,18,5,22,6,18,5,22,6,18,5,22,6,18,5,22,6,18,5,22,6,18,5,22,6,18,5,22,6,18,5,22,6,18,5,22,6,18,5,22,6
HP1502401_C4,7,23,3,24,7,23,3,24,7,23,3,24,7,23,3,24,7,23,3,24,7,23,3,24,7,23,3,24,7,23,3,24,7,23,3,24,7,23,3,24,7,23,3,24,7,23,3,24,7,23,3,24,7,23,3,24,7,23,3,24,7,23,3,24,7,23,3,24,7,23,3,24,7,23,3,24,7,23,3,24,7,23,3,24
HP1502401_C5,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,14,13,10,6,1
HP1502401_C6,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10,16,2,20,10
HP1502401_C7,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3,16,2,20,3
HP1502401_C8,13,10,6,15,13,10,6,15,13,10,6,15,13,10,6,15,13,10,6,15,13,10,6,15,13,10,6,15,13,10,6,15,13,10,6,15,13,10,6,15,13,10,6,15,13,10,6,15,13,10,6,15,13,10,6,15,13,10,6,15,13,10,6,15,13,10,6,15,13,10,6,15,13,10,6,15,13,10,6,15,13,10,6,15
HP1502401_D10,12,8,18,1,12,8,18,1,12,8,18,1,12,8,18,1,12,8,18,1,12,8,18,1,12,8,18,1,12,8,18,1,12,8,18,1,12,8,18,1,12,8,18,1,12,8,18,1,12,8,18,1,12,8,18,1,12,8,18,1,12,8,18,1,12,8,18,1,12,8,4,1,11,8,4,1,11,8,4,1,3,8,4,1
HP1502401_D12,13,10,6,19,13,10,6,19,13,10,6,19,13,10,6,19,13,10,6,19,13,10,6,19,13,10,6,19,13,10,6,19,13,10,6,19,13,10,6,19,13,10,6,19,13,10,6,19,13,10,6,19,13,10,6,19,13,10,6,19,13,10,6,19,13,10,6,19,13,10,6,19,13,10,6,19,13,10,6,19,13,10,6,19
HP1502401_D13,16,2,20,7,16,2,20,7,16,2,20,7,16,2,20,7,16,2,20,7,16,2,20,7,16,2,20,7,16,2,20,7,16,2,20,7,16,2,20,7,16,2,20,7,16,2,20,7,16,2,20,7,16,2,20,7,16,2,20,7,16,2,20,7,16,2,20,7,16,2,20,7,16,2,20,7,16,2,20,7,16,2,20,1
HP1502401_D16,7,23,3,3,7,23,3,3,7,23,3,3,7,23,3,3,7,23,3,3,7,23,3,3,7,23,3,3,7,23,3,3,7,23,3,3,7,23,3,3,7,23,3,3,7,23,3,3,7,23,3,3,7,23,3,3,7,23,3,3,7,23,3,3,7,23,3,3,7,23,3,3,7,23,3,3,7,23,3,3,7,23,3,3
HP1502401_D17,13,10,6,23,13,10,6,23,13,10,6,23,13,10,6,23,13,10,6,23,13,10,6,23,13,10,6,23,13,10,6,23,13,10,6,23,13,10,6,23,13,10,6,23,13,10,6,23,13,10,6,23,13,10,6,23,13,10,6,23,13,10,6,23,13,10,6,23,13,10,6,23,13,10,6,23,13,10,6,23,13,10,6,1
HP1502401_D18,2,1,11,7,2,1,11,7,2,1,11,7,2,1,11,7,2,1,7,7,2,1,7,7,2,1,7,7,2,1,7,7,2,1,7,7,2,1,7,7,2,1,7,7,2,1,7,7,2,1,7,7,2,1,7,7,2,1,7,7,2,1,7,7,2,1,7,7,2,1,7,7,2,1,7,7,2,1,7,7,2,1,7,1
HP1502401_D2,12,8,18,12,12,8,18,12,12,8,18,12,12,8,18,12,12,8,18,12,12,8,18,12,12,8,18,12,12,8,18,12,12,8,18,12,12,8,18,12,12,8,18,12,12,8,18,12,12,8,18,12,12,8,18,12,12,8,18,12,12,8,18,12,12,8,18,12,12,8,4,12,11,8,4,12,11,8,4,12,3,8,4,12
HP1502401_D20,7,5,3,2,7,5,3,2,7,5,3,2,7,5,3,2,7,5,3,2,7,5,3,2,7,5,3,2,7,5,3,2,7,5,3,2,7,5,3,2,7,5,3,2,7,5,3,2,7,5,3,2,7,5,3,2,7,5,3,2,7,5,3,2,7,5,3,2,7,5,3,2,7,5,3,2,7,5,3,2,7,5,3,2
HP1502401_D22,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2
HP1502401_D23,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19
HP1502401_D24,7,14,3,2,7,14,3,2,7,14,3,2,7,14,3,2,7,14,3,2,7,14,3,2,7,14,3,2,7,14,3,2,7,14,3,2,7,14,3,2,7,14,3,2,7,14,3,2,7,14,3,2,7,14,3,2,7,14,3,2,7,14,3,2,7,14,3,2,7,14,3,2,7,14,3,2,7,14,3,2,7,14,3,2
HP1502401_D3,16,2,20,11,16,2,20,11,16,2,20,11,16,2,20,11,16,2,20,11,16,2,20,11,16,2,20,11,16,2,20,11,16,2,20,11,16,2,20,11,16,2,20,11,16,2,20,11,16,2,20,11,16,2,20,11,16,2,20,11,16,2,20,11,16,2,20,11,16,2,20,11,16,2,20,11,16,2,20,11,16,2,20,1
HP1502401_D4,2,1,7,23,2,1,7,23,2,1,7,23,2,1,7,23,2,1,7,23,2,1,7,23,2,1,7,23,2,1,7,23,2,1,7,23,2,1,7,23,2,1,7,23,2,1,7,23,2,1,7,23,2,1,7,23,2,1,7,23,2,1,7,23,2,1,7,23,2,1,7,23,2,1,7,23,2,1,7,23,2,1,7,1
HP1502401_D5,7,5,3,23,7,5,3,23,7,5,3,23,7,5,3,23,7,5,3,23,7,5,3,23,7,5,3,23,7,5,3,23,7,5,3,23,7,5,3,23,7,5,3,23,7,5,3,23,7,5,3,23,7,5,3,23,7,5,3,23,7,5,3,23,7,5,3,23,7,5,3,23,7,5,3,23,7,5,3,23,7,5,3,1
HP1502401_D6,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2,16,2,20,2
HP1502401_D7,16,2,20,9,16,2,20,9,16,2,20,9,16,2,20,9,16,2,20,9,16,2,20,9,16,2,20,9,16,2,20,9,16,2,20,9,16,2,20,9,16,2,20,9,16,2,20,9,16,2,20,9,16,2,20,9,16,2,20,9,16,2,20,9,16,2,20,9,16,2,20,9,16,2,20,9,16,2,20,9,16,2,20,1
HP1502401_D8,18,18,3,16,18,18,3,16,18,18,3,16,18,18,3,16,18,18,3,16,18,18,3,16,18,18,3,16,18,18,3,16,18,18,3,16,18,18,3,16,18,18,3,16,18,18,3,16,18,18,3,16,18,18,3,16,18,18,3,16,18,18,3,16,18,18,3,16,18,18,3,16,18,18,3,16,18,18,3,16,18,18,3,16
HP1502401_E10,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8,16,2,20,8
HP1502401_E11,7,5,3,21,7,5,3,21,7,5,3,21,7,5,3,21,7,5,3,21,7,5,3,21,7,5,3,21,7,5,3,21,7,5,3,21,7,5,3,21,7,5,3,21,7,5,3,21,7,5,3,21,7,5,3,21,7,5,3,21,7,5,3,21,7,5,3,21,7,5,3,21,7,5,3,21,7,5,3,21,7,5,3,21
HP1502401_E14,7,3,24,6,7,3,24,6,7,3,24,6,7,3,24,6,7,3,24,6,7,3,24,6,7,3,24,6,7,3,24,6,7,3,24,6,7,3,24,6,7,3,24,6,7,3,24,6,7,3,24,6,7,3,24,6,7,3,24,6,7,3,13,6,7,3,13,6,7,3,13,6,7,3,13,6,7,3,13,6,7,3,13,6
HP1502401_E16,7,23,3,16,7,23,3,16,7,23,3,16,7,23,3,16,7,23,3,16,7,23,3,16,7,23,3,16,7,23,3,16,7,23,3,16,7,23,3,16,7,23,3,16,7,23,3,16,7,23,3,16,7,23,3,16,7,23,3,16,7,23,3,16,7,23,3,16,7,23,3,16,7,23,3,16,7,23,3,16,7,23,3,16
HP1502401_E17,16,2,20,16,16,2,20,16,16,2,20,16,16,2,20,16,16,2,20,16,16,2,20,16,16,2,20,16,16,2,20,16,16,2,20,16,16,2,20,16,16,2,20,16,16,2,20,16,16,2,20,16,16,2,20,16,16,2,20,16,16,2,20,16,16,2,20,16,16,2,20,16,16,2,20,16,16,2,20,16,16,2,20,16
HP1502401_E18,18,5,22,21,18,5,22,21,18,5,22,21,18,5,22,21,18,5,22,21,18,5,22,21,18,5,22,21,18,5,22,21,18,5,22,21,18,5,22,21,18,5,22,21,18,5,22,21,18,5,22,21,18,5,22,21,18,5,22,21,18,5,22,21,18,5,22,21,18,5,22,21,18,5,22,21,18,5,22,21,18,5,22,21
HP1502401_E19,16,2,20,25,16,2,20,25,16,2,20,25,16,2,20,25,16,2,20,25,16,2,20,25,16,2,20,25,16,2,20,25,16,2,20,25,16,2,20,25,16,2,20,25,16,2,20,25,16,2,20,25,16,2,20,25,16,2,20,25,16,2,20,25,16,2,20,25,16,2,20,25,16,2,20,25,16,2,20,25,16,2,20,1
HP1502401_E2,12,8,18,19,12,8,18,19,12,8,18,19,12,8,18,19,12,8,18,19,12,8,18,19,12,8,18,19,12,8,18,19,12,8,18,19,12,8,18,19,12,8,18,19,12,8,18,19,12,8,18,19,12,8,18,19,12,8,18,19,12,8,18,19,12,8,18,19,12,8,4,19,11,8,4,19,11,8,4,19,3,8,4,19
HP1502401_E20,12,8,18,22,12,8,18,22,12,8,18,22,12,8,18,22,12,8,18,22,12,8,18,22,12,8,18,22,12,8,18,22,12,8,18,22,12,8,18,22,12,8,18,22,12,8,18,22,12,8,18,22,12,8,18,22,12,8,18,22,12,8,18,22,12,8,18,22,12,8,4,22,11,8,4,22,11,8,4,22,3,8,4,1
