cells,sc3-00,Monocle-00,Seurat-00,Garbage1-00,Garbage2-00,Garbage3-00,sc3-05,Monocle-05,Seurat-05,Garbage1-05,Garbage2-05,Garbage3-05,sc3-10,Monocle-10,Seurat-10,Garbage1-10,Garbage2-10,Garbage3-10,sc3-15,Monocle-15,Seurat-15,Garbage1-15,Garbage2-15,Garbage3-15,sc3-20,Monocle-20,Seurat-20,Garbage1-20,Garbage2-20,Garbage3-20,sc3-25,Monocle-25,Seurat-25,Garbage1-25,Garbage2-25,Garbage3-25,sc3-30,Monocle-30,Seurat-30,Garbage1-30,Garbage2-30,Garbage3-30,sc3-35,Monocle-35,Seurat-35,Garbage1-35,Garbage2-35,Garbage3-35,sc3-40,Monocle-40,Seurat-40,Garbage1-40,Garbage2-40,Garbage3-40,sc3-45,Monocle-45,Seurat-45,Garbage1-45,Garbage2-45,Garbage3-45,sc3-50,Monocle-50,Seurat-50,Garbage1-50,Garbage2-50,Garbage3-50,sc3-55,Monocle-55,Seurat-55,Garbage1-55,Garbage2-55,Garbage3-55,sc3-60,Monocle-60,Seurat-60,Garbage1-60,Garbage2-60,Garbage3-60,sc3-65,Monocle-65,Seurat-65,Garbage1-65,Garbage2-65,Garbage3-65,sc3-70,Monocle-70,Seurat-70,Garbage1-70,Garbage2-70,Garbage3-70,sc3-75,Monocle-75,Seurat-75,Garbage1-75,Garbage2-75,Garbage3-75,sc3-80,Monocle-80,Seurat-80,Garbage1-80,Garbage2-80,Garbage3-80,sc3-85,Monocle-85,Seurat-85,Garbage1-85,Garbage2-85,Garbage3-85,sc3-90,Monocle-90,Seurat-90,Garbage1-90,Garbage2-90,Garbage3-90,sc3-95,Monocle-95,Seurat-95,Garbage1-95,Garbage2-95,Garbage3-95,sc3-100,Monocle-100,Seurat-100,Garbage1-100,Garbage2-100,Garbage3-100
HP1502401_A24,17,20,7,18,28,17,17,20,7,18,28,17,17,20,7,18,28,17,17,20,7,18,28,17,17,20,7,18,28,17,17,20,7,18,28,17,17,20,7,18,28,17,17,20,7,18,28,17,17,20,7,18,28,17,17,20,7,18,28,17,17,20,7,18,28,17,17,20,7,18,28,17,17,20,7,18,28,17,17,20,7,18,28,17,17,20,7,18,28,17,17,20,7,18,28,17,17,20,7,18,28,17,17,20,7,18,28,17,17,20,7,18,28,17,17,20,7,18,28,17,17,20,7,1,28,17
HP1502401_A4,16,9,3,16,1,11,16,9,3,16,1,11,16,9,3,16,1,11,16,9,3,16,1,11,16,9,3,16,1,11,16,9,3,16,1,11,16,9,3,16,1,11,16,9,3,16,1,11,16,9,3,16,1,11,16,9,3,16,1,11,16,9,3,16,1,11,16,9,3,16,1,11,16,9,3,16,1,11,16,9,3,16,1,11,16,9,3,16,1,11,16,9,3,16,1,11,16,9,3,16,1,11,16,9,3,16,1,11,16,9,3,16,1,3,16,9,3,16,1,1,10,9,3,16,1,1
HP1502401_A6,28,6,11,28,11,28,28,6,11,28,11,28,28,6,11,28,11,28,28,6,11,28,11,28,28,6,11,28,11,28,28,6,11,28,11,28,28,6,11,28,11,28,28,6,11,28,11,28,28,6,11,28,11,28,28,6,11,28,11,28,2,6,11,28,11,28,2,6,11,28,11,28,2,6,11,28,11,28,2,6,11,28,6,28,2,6,11,28,6,28,2,6,11,28,6,28,2,6,11,3,6,28,2,6,11,3,6,28,2,6,11,3,4,28,2,6,11,3,4,28,2,6,11,1,2,1
HP1502401_A7,28,6,11,24,21,9,28,6,11,24,21,9,28,6,11,24,21,9,28,6,11,24,21,9,28,6,11,24,21,9,28,6,11,24,21,9,28,6,11,24,21,9,28,6,11,24,21,9,28,6,11,24,21,9,28,6,11,24,21,9,2,6,11,24,21,9,2,6,11,24,21,9,2,6,11,24,21,9,2,6,11,24,21,9,2,6,11,24,21,9,2,6,11,24,21,9,2,6,11,24,21,9,2,6,11,24,21,9,2,6,11,24,21,9,2,6,11,24,21,9,2,6,11,24,21,9
HP1502401_B1,28,6,11,29,16,35,28,6,11,29,16,35,28,6,11,29,16,35,28,6,11,29,16,35,28,6,11,29,16,35,28,6,11,29,16,35,28,6,11,29,16,35,28,6,11,29,16,35,28,6,11,29,16,35,28,6,11,29,16,35,2,6,11,29,16,35,2,6,11,29,16,35,2,6,11,29,16,35,2,6,11,29,16,35,2,6,11,29,16,35,2,6,11,29,16,35,2,6,11,29,16,35,2,6,11,29,16,35,2,6,11,29,16,35,2,6,11,29,16,35,2,6,11,29,16,35
HP1502401_B10,31,10,14,12,15,32,31,10,14,12,15,32,31,10,14,12,15,32,31,10,14,12,15,32,31,10,14,12,15,32,31,10,14,12,15,32,31,10,14,12,15,32,31,10,14,12,15,32,31,10,14,12,15,32,31,10,14,12,15,32,31,10,14,12,15,32,31,10,8,12,15,32,31,10,8,12,15,32,31,10,8,12,15,32,31,10,8,3,15,32,31,10,8,3,15,32,31,10,8,3,15,32,31,10,8,3,6,32,31,10,8,3,4,32,31,10,8,3,4,32,31,10,8,1,2,32
HP1502401_B11,13,3,6,7,8,12,13,2,6,7,8,12,13,2,6,7,8,12,13,2,6,7,8,12,13,2,6,7,8,12,13,2,6,7,8,12,13,2,6,7,8,12,13,2,6,7,8,12,13,2,6,7,8,12,13,2,6,7,8,12,13,2,6,7,8,12,13,2,6,7,8,12,13,2,6,7,8,12,13,2,6,7,8,12,13,2,6,3,8,12,13,2,6,3,8,12,13,2,6,3,8,12,13,2,6,3,8,12,13,2,6,3,8,12,13,2,6,3,4,12,12,2,6,1,2,12
HP1502401_B14,28,6,11,20,25,17,28,6,11,20,25,17,28,6,11,20,25,17,28,6,11,20,25,17,28,6,11,20,25,17,28,6,11,20,25,17,28,6,11,20,25,17,28,6,11,20,25,17,28,6,11,20,25,17,28,6,11,20,25,17,2,6,11,20,25,17,2,6,11,20,25,17,2,6,11,20,25,17,2,6,11,20,25,17,2,6,11,3,25,17,2,6,11,3,25,17,2,6,11,3,25,17,2,6,11,3,25,17,2,6,11,3,25,17,2,6,11,3,4,17,2,6,11,1,2,17
HP1502401_B15,13,3,6,4,2,18,13,2,6,4,2,18,13,2,6,4,2,18,13,2,6,4,2,18,13,2,6,4,2,18,13,2,6,4,2,18,13,2,6,4,2,18,13,2,6,4,2,18,13,2,6,4,2,18,13,2,6,4,2,18,13,2,6,4,2,18,13,2,6,4,2,18,13,2,6,4,2,18,13,2,6,4,2,18,13,2,6,4,2,18,13,2,6,3,2,18,13,2,6,3,2,18,13,2,6,3,2,3,13,2,6,3,2,3,13,2,6,3,2,1,12,2,6,1,2,1
HP1502401_B16,16,4,1,34,31,33,16,4,1,34,31,33,16,4,1,34,31,33,16,4,1,34,31,33,16,4,1,34,31,33,16,4,1,34,31,33,16,4,1,34,31,33,16,4,1,34,31,33,16,4,1,34,31,33,16,4,1,34,31,33,16,4,1,34,31,33,16,4,1,34,31,33,16,4,1,34,31,33,16,4,1,34,31,33,16,4,1,34,31,33,16,4,1,34,31,33,16,4,1,34,31,33,16,4,1,34,31,33,16,4,1,34,31,3,16,4,1,34,31,1,10,4,1,34,2,1
HP1502401_B17,19,8,14,33,25,14,19,8,14,33,25,14,19,8,14,33,25,14,19,8,14,33,25,14,19,8,14,33,25,14,19,8,14,33,25,14,19,8,14,33,25,14,19,8,14,33,25,14,19,8,14,33,25,14,19,8,14,33,25,14,19,8,14,33,25,14,19,8,8,33,25,14,19,8,8,33,25,14,19,8,8,33,25,14,19,8,8,33,25,14,19,8,8,33,25,14,19,8,8,33,25,14,19,8,8,33,25,3,19,8,8,33,25,3,19,8,8,33,4,1,19,8,8,1,2,1
HP1502401_B18,13,2,6,7,19,18,13,2,6,7,19,18,13,2,6,7,19,18,13,2,6,7,19,18,13,2,6,7,19,18,13,2,6,7,19,18,13,2,6,7,19,18,13,2,6,7,19,18,13,2,6,7,19,18,13,2,6,7,19,18,13,2,6,7,19,18,13,2,6,7,19,18,13,2,6,7,19,18,13,2,6,7,6,18,13,2,6,3,6,18,13,2,6,3,6,18,13,2,6,3,6,18,13,2,6,3,6,3,13,2,6,3,4,3,13,2,6,3,4,1,12,2,6,1,2,1
HP1502401_B20,16,10,10,28,16,24,16,10,10,28,16,24,16,10,10,28,16,24,16,10,10,28,16,24,16,10,10,28,16,24,16,10,10,28,16,24,16,10,10,28,16,24,16,10,10,28,16,24,16,10,10,28,16,24,16,10,10,28,16,24,16,10,10,28,16,24,16,10,10,28,16,24,16,10,10,28,16,24,16,10,10,28,16,24,16,10,10,28,16,24,16,10,10,28,16,24,16,10,10,3,16,24,16,10,10,3,16,24,16,10,10,3,16,24,16,10,10,3,16,24,10,10,10,1,16,24
HP1502401_B21,28,6,11,26,14,2,28,6,11,26,14,2,28,6,11,26,14,2,28,6,11,26,14,2,28,6,11,26,14,2,28,6,11,26,14,2,28,6,11,26,14,2,28,6,11,26,14,2,28,6,11,26,14,2,28,6,11,26,14,2,2,6,11,26,14,2,2,6,11,26,14,2,2,6,11,26,14,2,2,6,11,26,14,2,2,6,11,26,6,2,2,6,11,26,6,2,2,6,11,26,6,2,2,6,11,26,6,2,2,6,11,26,4,2,2,6,11,26,4,2,2,6,11,26,2,1
HP1502401_B22,32,6,13,32,11,34,32,6,13,32,11,34,32,6,13,32,11,34,32,6,13,32,11,34,32,6,13,32,11,34,32,6,13,32,11,34,32,6,13,32,11,34,32,6,13,32,11,34,32,6,13,32,11,34,32,6,13,32,11,34,32,6,13,32,11,34,32,6,13,32,11,34,32,6,13,32,11,34,32,6,13,32,6,34,32,6,13,32,6,34,32,6,13,32,6,34,32,6,13,32,6,34,32,6,13,32,6,34,32,6,13,32,4,34,32,6,13,32,4,1,32,6,13,1,2,1
HP1502401_B23,28,6,11,1,32,11,28,6,11,1,32,11,28,6,11,1,32,11,28,6,11,1,32,11,28,6,11,1,32,11,28,6,11,1,32,11,28,6,11,1,32,11,28,6,11,1,32,11,28,6,11,1,32,11,28,6,11,1,32,11,2,6,11,1,32,11,2,6,11,1,32,11,2,6,11,1,32,11,2,6,11,1,32,11,2,6,11,1,32,11,2,6,11,1,32,11,2,6,11,1,32,11,2,6,11,1,32,11,2,6,11,1,32,3,2,6,11,1,32,1,2,6,11,1,2,1
HP1502401_B24,28,6,11,30,2,20,28,6,11,30,2,20,28,6,11,30,2,20,28,6,11,30,2,20,28,6,11,30,2,20,28,6,11,30,2,20,28,6,11,30,2,20,28,6,11,30,2,20,28,6,11,30,2,20,28,6,11,30,2,20,2,6,11,30,2,20,2,6,11,30,2,20,2,6,11,30,2,20,2,6,11,30,2,20,2,6,11,30,2,20,2,6,11,30,2,20,2,6,11,30,2,20,2,6,11,30,2,3,2,6,11,30,2,3,2,6,11,30,2,1,2,6,11,30,2,1
HP1502401_B5,16,17,1,20,30,1,16,17,1,20,30,1,16,17,1,20,30,1,16,17,1,20,30,1,16,17,1,20,30,1,16,17,1,20,30,1,16,17,1,20,30,1,16,17,1,20,30,1,16,17,1,20,30,1,16,17,1,20,30,1,16,17,1,20,30,1,16,17,1,20,30,1,16,17,1,20,30,1,16,17,1,20,6,1,16,17,1,3,6,1,16,17,1,3,6,1,16,17,1,3,6,1,16,17,1,3,6,1,16,17,1,3,4,1,16,17,1,3,4,1,10,17,1,1,2,1
HP1502401_B7,28,6,11,14,13,20,28,6,11,14,13,20,28,6,11,14,13,20,28,6,11,14,13,20,28,6,11,14,13,20,28,6,11,14,13,20,28,6,11,14,13,20,28,6,11,14,13,20,28,6,11,14,13,20,28,6,11,14,13,20,2,6,11,14,13,20,2,6,11,14,13,20,2,6,11,14,13,20,2,6,11,14,13,20,2,6,11,3,13,20,2,6,11,3,13,20,2,6,11,3,13,20,2,6,11,3,13,3,2,6,11,3,13,3,2,6,11,3,13,1,2,6,11,1,2,1
HP1502401_B8,17,20,7,34,31,26,17,20,7,34,31,26,17,20,7,34,31,26,17,20,7,34,31,26,17,20,7,34,31,26,17,20,7,34,31,26,17,20,7,34,31,26,17,20,7,34,31,26,17,20,7,34,31,26,17,20,7,34,31,26,17,20,7,34,31,26,17,20,7,34,31,26,17,20,7,34,31,26,17,20,7,34,31,26,17,20,7,34,31,26,17,20,7,34,31,26,17,20,7,34,31,26,17,20,7,34,31,26,17,20,7,34,31,26,17,20,7,34,31,26,17,20,7,34,2,26
HP1502401_C1,19,8,14,27,26,17,19,8,14,27,26,17,19,8,14,27,26,17,19,8,14,27,26,17,19,8,14,27,26,17,19,8,14,27,26,17,19,8,14,27,26,17,19,8,14,27,26,17,19,8,14,27,26,17,19,8,14,27,26,17,19,8,14,27,26,17,19,8,8,27,26,17,19,8,8,27,26,17,19,8,8,27,6,17,19,8,8,27,6,17,19,8,8,27,6,17,19,8,8,27,6,17,19,8,8,27,6,17,19,8,8,27,4,17,19,8,8,27,4,17,19,8,8,27,2,17
HP1502401_C10,28,6,11,17,10,28,28,6,11,17,10,28,28,6,11,17,10,28,28,6,11,17,10,28,28,6,11,17,10,28,28,6,11,17,10,28,28,6,11,17,10,28,28,6,11,17,10,28,28,6,11,17,10,28,28,6,11,17,10,28,2,6,11,17,10,28,2,6,11,17,10,28,2,6,11,17,10,28,2,6,11,17,10,28,2,6,11,17,10,28,2,6,11,17,10,28,2,6,11,17,10,28,2,6,11,17,10,28,2,6,11,17,10,28,2,6,11,3,10,28,2,6,11,1,10,1
HP1502401_C12,9,1,2,17,6,4,9,1,2,17,6,4,9,1,2,17,6,4,9,1,2,17,6,4,9,1,2,17,6,4,9,1,2,17,6,4,9,1,2,17,6,4,9,1,2,17,6,4,9,1,2,17,6,4,9,1,2,17,6,4,9,1,2,17,6,4,9,1,2,17,6,4,9,1,2,17,6,4,9,1,2,17,6,4,9,1,2,17,6,4,4,1,2,17,6,4,4,1,2,17,6,4,4,1,2,17,6,3,4,1,2,17,4,3,4,1,2,3,4,1,4,1,2,1,2,1
HP1502401_C14,16,4,1,32,11,24,16,4,1,32,11,24,16,4,1,32,11,24,16,4,1,32,11,24,16,4,1,32,11,24,16,4,1,32,11,24,16,4,1,32,11,24,16,4,1,32,11,24,16,4,1,32,11,24,16,4,1,32,11,24,16,4,1,32,11,24,16,4,1,32,11,24,16,4,1,32,11,24,16,4,1,32,6,24,16,4,1,32,6,24,16,4,1,32,6,24,16,4,1,32,6,24,16,4,1,32,6,24,16,4,1,32,4,24,16,4,1,32,4,24,10,4,1,1,2,24
HP1502401_C16,16,17,1,16,29,29,16,17,1,16,29,29,16,17,1,16,29,29,16,17,1,16,29,29,16,17,1,16,29,29,16,17,1,16,29,29,16,17,1,16,29,29,16,17,1,16,29,29,16,17,1,16,29,29,16,17,1,16,29,29,16,17,1,16,29,29,16,17,1,16,29,29,16,17,1,16,29,29,16,17,1,16,29,29,16,17,1,16,29,29,16,17,1,16,29,29,16,17,1,16,29,29,16,17,1,16,29,29,16,17,1,16,29,29,16,17,1,16,29,29,10,17,1,16,29,29
HP1502401_C18,28,6,11,28,15,8,28,6,11,28,15,8,28,6,11,28,15,8,28,6,11,28,15,8,28,6,11,28,15,8,28,6,11,28,15,8,28,6,11,28,15,8,28,6,11,28,15,8,28,6,11,28,15,8,28,6,11,28,15,8,2,6,11,28,15,8,2,6,11,28,15,8,2,6,11,28,15,8,2,6,11,28,15,8,2,6,11,28,15,8,2,6,11,28,15,8,2,6,11,3,15,8,2,6,11,3,6,3,2,6,11,3,4,3,2,6,11,3,4,1,2,6,11,1,2,1
HP1502401_C2,32,5,13,24,29,10,32,5,13,24,29,10,32,5,13,24,29,10,32,5,13,24,29,10,32,5,13,24,29,10,32,5,13,24,29,10,32,5,13,24,29,10,32,5,13,24,29,10,32,5,13,24,29,10,32,5,13,24,29,10,32,5,13,24,29,10,32,5,13,24,29,10,32,5,13,24,29,10,32,5,13,24,29,10,32,5,13,24,29,10,32,5,13,24,29,10,32,5,13,24,29,10,32,5,13,24,29,3,32,5,13,24,29,3,32,5,13,24,29,1,32,5,13,24,29,1
HP1502401_C20,17,20,7,35,7,11,17,20,7,35,7,11,17,20,7,35,7,11,17,20,7,35,7,11,17,20,7,35,7,11,17,20,7,35,7,11,17,20,7,35,7,11,17,20,7,35,7,11,17,20,7,35,7,11,17,20,7,35,7,11,17,20,7,35,7,11,17,20,7,35,7,11,17,20,7,35,7,11,17,20,7,35,7,11,17,20,7,35,7,11,17,20,7,35,7,11,17,20,7,35,7,11,17,20,7,35,7,11,17,20,7,35,7,3,17,20,7,35,7,1,17,20,7,35,7,1
HP1502401_C21,28,6,11,14,3,35,28,6,11,14,3,35,28,6,11,14,3,35,28,6,11,14,3,35,28,6,11,14,3,35,28,6,11,14,3,35,28,6,11,14,3,35,28,6,11,14,3,35,28,6,11,14,3,35,28,6,11,14,3,35,2,6,11,14,3,35,2,6,11,14,3,35,2,6,11,14,3,35,2,6,11,14,3,35,2,6,11,3,3,35,2,6,11,3,3,35,2,6,11,3,3,35,2,6,11,3,3,35,2,6,11,3,3,35,2,6,11,3,3,35,2,6,11,1,3,35
HP1502401_C22,32,5,13,23,10,12,32,5,13,23,10,12,32,5,13,23,10,12,32,5,13,23,10,12,32,5,13,23,10,12,32,5,13,23,10,12,32,5,13,23,10,12,32,5,13,23,10,12,32,5,13,23,10,12,32,5,13,23,10,12,32,5,13,23,10,12,32,5,13,23,10,12,32,5,13,23,10,12,32,5,13,23,10,12,32,5,13,23,10,12,32,5,13,23,10,12,32,5,13,3,10,12,32,5,13,3,10,12,32,5,13,3,10,12,32,5,13,3,10,12,32,5,13,1,10,12
HP1502401_C4,16,11,1,26,7,19,16,11,1,26,7,19,16,11,1,26,7,19,16,11,1,26,7,19,16,11,1,26,7,19,16,11,1,26,7,19,16,11,1,26,7,19,16,11,1,26,7,19,16,11,1,26,7,19,16,11,1,26,7,19,16,11,1,26,7,19,16,11,1,26,7,19,16,11,1,26,7,19,16,11,1,26,7,19,16,11,1,26,7,19,16,11,1,26,7,19,16,11,1,26,7,19,16,11,1,26,7,19,16,11,1,26,7,3,16,11,1,26,7,1,10,11,1,26,7,1
HP1502401_C5,17,20,7,25,23,25,17,20,7,25,23,25,17,20,7,25,23,25,17,20,7,25,23,25,17,20,7,25,23,25,17,20,7,25,23,25,17,20,7,25,23,25,17,20,7,25,23,25,17,20,7,25,23,25,17,20,7,25,23,25,17,20,7,25,23,25,17,20,7,25,23,25,17,20,7,25,23,25,17,20,7,25,23,25,17,20,7,3,23,25,17,20,7,3,23,25,17,20,7,3,23,25,17,20,7,3,23,25,17,20,7,3,23,25,17,20,7,3,23,1,17,20,7,1,23,1
HP1502401_C6,28,6,11,17,26,33,28,6,11,17,26,33,28,6,11,17,26,33,28,6,11,17,26,33,28,6,11,17,26,33,28,6,11,17,26,33,28,6,11,17,26,33,28,6,11,17,26,33,28,6,11,17,26,33,28,6,11,17,26,33,2,6,11,17,26,33,2,6,11,17,26,33,2,6,11,17,26,33,2,6,11,17,6,33,2,6,11,17,6,33,2,6,11,17,6,33,2,6,11,17,6,33,2,6,11,17,6,33,2,6,11,17,4,3,2,6,11,3,4,1,2,6,11,1,2,1
HP1502401_C7,28,6,11,22,32,11,28,6,11,22,32,11,28,6,11,22,32,11,28,6,11,22,32,11,28,6,11,22,32,11,28,6,11,22,32,11,28,6,11,22,32,11,28,6,11,22,32,11,28,6,11,22,32,11,28,6,11,22,32,11,2,6,11,22,32,11,2,6,11,22,32,11,2,6,11,22,32,11,2,6,11,22,32,11,2,6,11,22,32,11,2,6,11,22,32,11,2,6,11,22,32,11,2,6,11,22,32,11,2,6,11,22,32,3,2,6,11,22,32,1,2,6,11,22,2,1
HP1502401_C8,17,20,7,21,4,29,17,20,7,21,4,29,17,20,7,21,4,29,17,20,7,21,4,29,17,20,7,21,4,29,17,20,7,21,4,29,17,20,7,21,4,29,17,20,7,21,4,29,17,20,7,21,4,29,17,20,7,21,4,29,17,20,7,21,4,29,17,20,7,21,4,29,17,20,7,21,4,29,17,20,7,21,4,29,17,20,7,21,4,29,17,20,7,21,4,29,17,20,7,21,4,29,17,20,7,21,4,29,17,20,7,21,4,29,17,20,7,3,4,29,17,20,7,1,2,29
