cells,sc3-Initial,Monocle-Initial,Seurat-Initial,garbage-Initial,sc3-33,Monocle-33,Seurat-33,garbage-33,sc3-66,Monocle-66,Seurat-66,garbage-66,sc3-90,Monocle-90,Seurat-90,garbage-90,sc3-Final,Monocle-Final,Seurat-Final,garbage-Final
human1_lib1.final_cell_0106,7,2,3,7,7,2,3,7,7,2,3,7,7,2,3,7,7,2,3,7
human1_lib1.final_cell_0107,21,20,17,10,21,20,17,10,21,20,17,10,21,20,17,10,21,20,17,10
human1_lib1.final_cell_0108,7,20,3,17,7,20,3,17,7,20,3,17,7,20,3,17,7,20,3,1
human1_lib1.final_cell_0109,28,13,2,20,28,13,2,20,28,13,2,20,27,13,2,20,27,13,2,20
human1_lib1.final_cell_0110,26,4,5,7,26,4,5,7,26,4,5,7,26,4,5,7,26,4,5,7
human1_lib1.final_cell_0111,7,23,3,17,7,23,3,17,7,23,3,17,7,23,3,17,7,23,3,1
human1_lib1.final_cell_0112,21,1,17,18,21,1,17,18,21,1,17,18,21,1,17,18,21,1,17,1
human1_lib1.final_cell_0113,26,4,5,26,26,4,5,26,26,4,5,26,26,4,5,26,26,4,5,26
human1_lib1.final_cell_0114,7,21,3,19,7,21,3,19,7,21,3,19,7,21,3,19,7,16,3,19
human1_lib1.final_cell_0115,7,21,3,3,7,21,3,3,7,21,3,3,7,21,3,3,7,16,3,1
human1_lib1.final_cell_0116,7,21,3,9,7,21,3,9,7,21,3,9,7,21,3,9,7,16,3,9
human1_lib1.final_cell_0117,26,4,5,17,26,4,5,17,26,4,5,17,26,4,5,17,26,4,5,1
human1_lib1.final_cell_0118,7,21,3,4,7,21,3,4,7,21,3,4,7,21,3,4,7,16,3,4
human1_lib1.final_cell_0119,26,4,5,17,26,4,5,17,26,4,5,17,26,4,5,17,26,4,5,1
human1_lib1.final_cell_0120,8,2,3,8,8,2,3,8,8,2,3,8,8,2,3,8,8,2,3,1
human1_lib1.final_cell_0121,7,2,3,23,7,2,3,23,7,2,3,23,7,2,3,23,7,2,3,23
human1_lib1.final_cell_0122,7,20,3,15,7,20,3,15,7,20,3,15,7,20,3,15,7,20,3,15
human1_lib1.final_cell_0123,26,4,5,3,26,4,5,3,26,4,5,3,26,4,5,3,26,4,5,1
human1_lib1.final_cell_0124,7,21,3,23,7,21,3,23,7,21,3,23,7,21,3,23,7,16,3,23
human1_lib1.final_cell_0125,7,20,3,15,7,20,3,15,7,20,3,15,7,20,3,15,7,20,3,15
human1_lib1.final_cell_0126,7,2,3,6,7,2,3,6,7,2,3,6,7,2,3,6,7,2,3,6
human1_lib1.final_cell_0127,6,12,1,11,6,12,1,11,6,12,1,11,4,12,1,11,2,12,1,11
human1_lib1.final_cell_0128,7,2,3,4,7,2,3,4,7,2,3,4,7,2,3,4,7,2,3,4
human1_lib1.final_cell_0129,26,4,5,25,26,4,5,25,26,4,5,25,26,4,5,25,26,4,5,1
human1_lib1.final_cell_0130,7,2,3,18,7,2,3,18,7,2,3,18,7,2,3,18,7,2,3,1
human1_lib1.final_cell_0131,1,18,7,6,1,12,7,6,1,12,4,6,1,12,4,6,1,12,4,6
human1_lib1.final_cell_0132,6,12,7,8,6,12,7,8,6,12,4,8,4,12,4,8,2,12,4,1
human1_lib1.final_cell_0133,7,2,3,19,7,2,3,19,7,2,3,19,7,2,3,19,7,2,3,19
human1_lib1.final_cell_0134,28,13,14,1,28,13,14,1,28,13,14,1,27,13,14,1,27,13,14,1
human1_lib1.final_cell_0135,6,12,7,14,6,12,7,14,6,12,4,14,4,12,4,14,2,12,4,1
human1_lib1.final_cell_0136,7,2,3,10,7,2,3,10,7,2,3,10,7,2,3,10,7,2,3,10
human1_lib1.final_cell_0137,7,21,3,10,7,21,3,10,7,21,3,10,7,21,3,10,7,16,3,10
human1_lib1.final_cell_0138,3,14,7,14,3,14,7,14,3,7,4,14,1,7,4,14,1,7,4,1
human1_lib1.final_cell_0139,7,2,3,8,7,2,3,8,7,2,3,8,7,2,3,8,7,2,3,1
human1_lib1.final_cell_0140,26,4,5,19,26,4,5,19,26,4,5,19,26,4,5,19,26,4,5,19
human1_lib1.final_cell_0141,21,1,17,13,21,1,17,13,21,1,17,13,21,1,17,13,21,1,17,1
human1_lib1.final_cell_0142,7,2,3,24,7,2,3,24,7,2,3,24,7,2,3,24,7,2,3,1
human1_lib1.final_cell_0143,7,2,3,8,7,2,3,8,7,2,3,8,7,2,3,8,7,2,3,1
human1_lib1.final_cell_0144,8,20,3,22,8,20,3,22,8,20,3,22,8,20,3,22,8,20,3,1
human1_lib1.final_cell_0145,7,2,3,8,7,2,3,8,7,2,3,8,7,2,3,8,7,2,3,1
human1_lib1.final_cell_0146,25,6,5,19,25,6,5,19,25,6,5,19,25,6,5,19,25,6,5,19
human1_lib1.final_cell_0147,8,1,3,14,8,1,3,14,8,1,3,14,8,1,3,14,8,1,3,1
human1_lib1.final_cell_0148,16,22,9,14,16,22,9,14,16,22,9,14,16,22,9,14,16,22,9,1
human1_lib1.final_cell_0149,16,15,11,26,16,15,11,26,16,15,11,26,16,15,11,26,16,15,11,26
human1_lib1.final_cell_0150,7,20,3,10,7,20,3,10,7,20,3,10,7,20,3,10,7,20,3,10
human1_lib1.final_cell_0151,21,20,17,26,21,20,17,26,21,20,17,26,21,20,17,26,21,20,17,26
human1_lib1.final_cell_0152,7,2,3,2,7,2,3,2,7,2,3,2,7,2,3,2,7,2,3,2
human1_lib1.final_cell_0153,7,2,3,10,7,2,3,10,7,2,3,10,7,2,3,10,7,2,3,10
human1_lib1.final_cell_0154,26,4,5,14,26,4,5,14,26,4,5,14,26,4,5,14,26,4,5,1
human1_lib1.final_cell_0155,7,2,3,4,7,2,3,4,7,2,3,4,7,2,3,4,7,2,3,4
human1_lib1.final_cell_0156,23,9,8,16,23,9,8,16,23,9,8,16,23,9,8,16,23,9,8,16
human1_lib1.final_cell_0157,7,23,3,4,7,23,3,4,7,23,3,4,7,23,3,4,7,23,3,4
human1_lib1.final_cell_0158,7,19,3,10,7,19,3,10,7,19,3,10,7,19,3,10,7,19,3,10
human1_lib1.final_cell_0159,6,12,7,28,6,12,7,28,6,12,4,28,4,12,4,28,2,12,4,28
human1_lib1.final_cell_0160,7,20,3,20,7,20,3,20,7,20,3,20,7,20,3,20,7,20,3,20
human1_lib1.final_cell_0161,3,18,7,25,3,12,7,25,3,12,4,25,1,12,4,25,1,12,4,1
human1_lib1.final_cell_0162,7,2,3,23,7,2,3,23,7,2,3,23,7,2,3,23,7,2,3,23
human1_lib1.final_cell_0163,18,24,16,17,18,24,16,17,18,24,16,17,18,24,16,17,18,24,16,1
human1_lib1.final_cell_0164,7,20,3,22,7,20,3,22,7,20,3,22,7,20,3,22,7,20,3,1
human1_lib1.final_cell_0165,7,21,3,20,7,21,3,20,7,21,3,20,7,21,3,20,7,16,3,20
human1_lib1.final_cell_0166,21,20,17,23,21,20,17,23,21,20,17,23,21,20,17,23,21,20,17,23
human1_lib1.final_cell_0167,21,1,17,23,21,1,17,23,21,1,17,23,21,1,17,23,21,1,17,23
human1_lib1.final_cell_0168,7,2,3,20,7,2,3,20,7,2,3,20,7,2,3,20,7,2,3,20
human1_lib1.final_cell_0169,7,2,3,25,7,2,3,25,7,2,3,25,7,2,3,25,7,2,3,1
human1_lib1.final_cell_0170,7,20,3,8,7,20,3,8,7,20,3,8,7,20,3,8,7,20,3,1
human1_lib1.final_cell_0171,28,13,14,12,28,13,14,12,28,13,14,12,27,13,14,12,27,13,14,12
human1_lib1.final_cell_0172,21,1,17,4,21,1,17,4,21,1,17,4,21,1,17,4,21,1,17,4
human1_lib1.final_cell_0173,28,13,14,23,28,13,14,23,28,13,14,23,27,13,14,23,27,13,14,23
human1_lib1.final_cell_0174,7,2,3,21,7,2,3,21,7,2,3,21,7,2,3,21,7,2,3,21
human1_lib1.final_cell_0175,7,2,3,26,7,2,3,26,7,2,3,26,7,2,3,26,7,2,3,26
human1_lib1.final_cell_0176,7,21,3,1,7,21,3,1,7,21,3,1,7,21,3,1,7,16,3,1
human1_lib1.final_cell_0177,28,13,14,2,28,13,14,2,28,13,14,2,27,13,14,2,27,13,14,2
human1_lib1.final_cell_0178,26,4,5,21,26,4,5,21,26,4,5,21,26,4,5,21,26,4,5,21
human1_lib1.final_cell_0179,7,2,3,4,7,2,3,4,7,2,3,4,7,2,3,4,7,2,3,4
human1_lib1.final_cell_0180,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,1
human1_lib1.final_cell_0181,7,23,3,19,7,23,3,19,7,23,3,19,7,23,3,19,7,23,3,19
human1_lib1.final_cell_0182,28,13,14,20,28,13,14,20,28,13,14,20,27,13,14,20,27,13,14,20
human1_lib1.final_cell_0183,6,12,7,4,6,12,7,4,6,12,4,4,4,12,4,4,2,12,4,4
human1_lib1.final_cell_0184,7,2,3,2,7,2,3,2,7,2,3,2,7,2,3,2,7,2,3,2
human1_lib1.final_cell_0185,6,12,7,14,6,12,7,14,6,12,4,14,4,12,4,14,2,12,4,1
human1_lib1.final_cell_0186,7,2,3,20,7,2,3,20,7,2,3,20,7,2,3,20,7,2,3,20
human1_lib1.final_cell_0187,3,18,7,9,3,12,7,9,3,12,4,9,1,12,4,9,1,12,4,9
human1_lib1.final_cell_0188,22,3,15,25,22,3,15,25,22,3,15,25,22,3,15,25,22,3,15,1
human1_lib1.final_cell_0189,8,1,3,13,8,1,3,13,8,1,3,13,8,1,3,13,8,1,3,1
human1_lib1.final_cell_0190,7,2,3,25,7,2,3,25,7,2,3,25,7,2,3,25,7,2,3,1
human1_lib1.final_cell_0191,3,14,7,7,3,14,7,7,3,7,4,7,1,7,4,7,1,7,4,7
human1_lib1.final_cell_0192,26,4,5,16,26,4,5,16,26,4,5,16,26,4,5,16,26,4,5,16
human1_lib1.final_cell_0193,7,2,3,16,7,2,3,16,7,2,3,16,7,2,3,16,7,2,3,16
human1_lib1.final_cell_0194,7,2,3,2,7,2,3,2,7,2,3,2,7,2,3,2,7,2,3,2
human1_lib1.final_cell_0195,26,4,5,11,26,4,5,11,26,4,5,11,26,4,5,11,26,4,5,11
human1_lib1.final_cell_0196,7,2,3,21,7,2,3,21,7,2,3,21,7,2,3,21,7,2,3,21
human1_lib1.final_cell_0197,18,24,16,15,18,24,16,15,18,24,16,15,18,24,16,15,18,24,16,15
human1_lib1.final_cell_0198,6,12,7,23,6,12,7,23,6,12,4,23,4,12,4,23,2,12,4,23
human1_lib1.final_cell_0199,7,2,3,4,7,2,3,4,7,2,3,4,7,2,3,4,7,2,3,4
human1_lib1.final_cell_0200,7,2,3,25,7,2,3,25,7,2,3,25,7,2,3,25,7,2,3,1
human1_lib1.final_cell_0201,26,4,5,4,26,4,5,4,26,4,5,4,26,4,5,4,26,4,5,4
human1_lib1.final_cell_0202,6,12,7,19,6,12,7,19,6,12,4,19,4,12,4,19,2,12,4,19
human1_lib1.final_cell_0203,17,22,9,23,17,22,9,23,17,22,9,23,17,22,9,23,17,22,9,23
human1_lib1.final_cell_0204,7,21,3,14,7,21,3,14,7,21,3,14,7,21,3,14,7,16,3,1
human1_lib1.final_cell_0205,6,12,7,16,6,12,7,16,6,12,4,16,4,12,4,16,2,12,4,16
human1_lib1.final_cell_0206,7,2,3,5,7,2,3,5,7,2,3,5,7,2,3,5,7,2,3,1
human1_lib1.final_cell_0207,17,22,9,8,17,22,9,8,17,22,9,8,17,22,9,8,17,22,9,1
human1_lib1.final_cell_0208,6,12,7,27,6,12,7,27,6,12,4,27,4,12,4,27,2,12,4,1
human1_lib1.final_cell_0209,17,22,9,5,17,22,9,5,17,22,9,5,17,22,9,5,17,22,9,1
human1_lib1.final_cell_0210,7,2,6,12,7,2,6,12,7,2,6,12,7,2,6,12,7,2,6,12
human1_lib1.final_cell_0211,7,23,3,18,7,23,3,18,7,23,3,18,7,23,3,18,7,23,3,1
human1_lib1.final_cell_0212,3,18,7,24,3,12,7,24,3,12,4,24,1,12,4,24,1,12,4,1
human1_lib1.final_cell_0213,7,2,3,2,7,2,3,2,7,2,3,2,7,2,3,2,7,2,3,2
human1_lib1.final_cell_0214,7,2,3,6,7,2,3,6,7,2,3,6,7,2,3,6,7,2,3,6
human1_lib1.final_cell_0215,25,10,8,18,25,10,8,18,25,10,8,18,25,9,8,18,25,9,8,1
human1_lib1.final_cell_0216,17,22,9,16,17,22,9,16,17,22,9,16,17,22,9,16,17,22,9,16
human1_lib1.final_cell_0217,25,15,11,10,25,15,11,10,25,15,11,10,25,15,11,10,25,15,11,10
human1_lib1.final_cell_0218,25,10,8,12,25,10,8,12,25,10,8,12,25,9,8,12,25,9,8,12
human1_lib1.final_cell_0219,23,9,8,9,23,9,8,9,23,9,8,9,23,9,8,9,23,9,8,9
human1_lib1.final_cell_0220,7,2,3,17,7,2,3,17,7,2,3,17,7,2,3,17,7,2,3,1
human1_lib1.final_cell_0221,26,4,5,17,26,4,5,17,26,4,5,17,26,4,5,17,26,4,5,1
human1_lib1.final_cell_0222,18,24,16,9,18,24,16,9,18,24,16,9,18,24,16,9,18,24,16,9
human1_lib1.final_cell_0223,7,2,3,16,7,2,3,16,7,2,3,16,7,2,3,16,7,2,3,16
human1_lib1.final_cell_0224,7,20,3,19,7,20,3,19,7,20,3,19,7,20,3,19,7,20,3,19
human1_lib1.final_cell_0225,7,2,3,22,7,2,3,22,7,2,3,22,7,2,3,22,7,2,3,1
human1_lib1.final_cell_0226,3,18,7,18,3,12,7,18,3,12,4,18,1,12,4,18,1,12,4,1
human1_lib1.final_cell_0227,7,23,3,17,7,23,3,17,7,23,3,17,7,23,3,17,7,23,3,1
human1_lib1.final_cell_0228,7,2,3,13,7,2,3,13,7,2,3,13,7,2,3,13,7,2,3,1
human1_lib1.final_cell_0229,26,4,5,20,26,4,5,20,26,4,5,20,26,4,5,20,26,4,5,20
human1_lib1.final_cell_0230,16,15,11,17,16,15,11,17,16,15,11,17,16,15,11,17,16,15,11,1
human1_lib1.final_cell_0231,7,21,3,24,7,21,3,24,7,21,3,24,7,21,3,24,7,16,3,1
human1_lib1.final_cell_0232,26,4,5,6,26,4,5,6,26,4,5,6,26,4,5,6,26,4,5,6
human1_lib1.final_cell_0233,26,4,5,6,26,4,5,6,26,4,5,6,26,4,5,6,26,4,5,6
human1_lib1.final_cell_0234,7,16,3,3,7,16,3,3,7,16,3,3,7,16,3,3,7,16,3,1
human1_lib1.final_cell_0235,26,4,5,5,26,4,5,5,26,4,5,5,26,4,5,5,26,4,5,1
human1_lib1.final_cell_0236,7,20,3,5,7,20,3,5,7,20,3,5,7,20,3,5,7,20,3,1
human1_lib1.final_cell_0237,23,9,8,7,23,9,8,7,23,9,8,7,23,9,8,7,23,9,8,7
human1_lib1.final_cell_0238,7,20,3,23,7,20,3,23,7,20,3,23,7,20,3,23,7,20,3,23
human1_lib1.final_cell_0239,7,2,3,28,7,2,3,28,7,2,3,28,7,2,3,28,7,2,3,28
human1_lib1.final_cell_0240,26,4,5,19,26,4,5,19,26,4,5,19,26,4,5,19,26,4,5,19
human1_lib1.final_cell_0241,7,2,3,18,7,2,3,18,7,2,3,18,7,2,3,18,7,2,3,1
human1_lib1.final_cell_0242,25,10,8,10,25,10,8,10,25,10,8,10,25,9,8,10,25,9,8,10
human1_lib1.final_cell_0243,7,23,3,19,7,23,3,19,7,23,3,19,7,23,3,19,7,23,3,19
human1_lib1.final_cell_0244,28,13,14,20,28,13,14,20,28,13,14,20,27,13,14,20,27,13,14,20
human1_lib1.final_cell_0245,3,18,7,10,3,12,7,10,3,12,4,10,1,12,4,10,1,12,4,10
human1_lib1.final_cell_0246,26,4,5,10,26,4,5,10,26,4,5,10,26,4,5,10,26,4,5,10
human1_lib1.final_cell_0247,7,2,3,24,7,2,3,24,7,2,3,24,7,2,3,24,7,2,3,1
human1_lib1.final_cell_0248,6,12,7,14,6,12,7,14,6,12,4,14,4,12,4,14,2,12,4,1
human1_lib1.final_cell_0249,7,2,3,3,7,2,3,3,7,2,3,3,7,2,3,3,7,2,3,1
