cells,sc3-00,Monocle-00,Seurat-00,Garbage1-00,sc3-05,Monocle-05,Seurat-05,Garbage1-05,sc3-10,Monocle-10,Seurat-10,Garbage1-10,sc3-15,Monocle-15,Seurat-15,Garbage1-15,sc3-20,Monocle-20,Seurat-20,Garbage1-20,sc3-25,Monocle-25,Seurat-25,Garbage1-25,sc3-30,Monocle-30,Seurat-30,Garbage1-30,sc3-35,Monocle-35,Seurat-35,Garbage1-35,sc3-40,Monocle-40,Seurat-40,Garbage1-40,sc3-45,Monocle-45,Seurat-45,Garbage1-45,sc3-50,Monocle-50,Seurat-50,Garbage1-50,sc3-55,Monocle-55,Seurat-55,Garbage1-55,sc3-60,Monocle-60,Seurat-60,Garbage1-60,sc3-65,Monocle-65,Seurat-65,Garbage1-65,sc3-70,Monocle-70,Seurat-70,Garbage1-70,sc3-75,Monocle-75,Seurat-75,Garbage1-75,sc3-80,Monocle-80,Seurat-80,Garbage1-80,sc3-85,Monocle-85,Seurat-85,Garbage1-85,sc3-90,Monocle-90,Seurat-90,Garbage1-90,sc3-95,Monocle-95,Seurat-95,Garbage1-95,sc3-100,Monocle-100,Seurat-100,Garbage1-100
human1_lib1.final_cell_0011,18,16,20,26,18,16,20,26,18,16,20,26,18,15,20,26,18,15,20,26,18,15,20,26,18,15,20,26,18,15,20,26,18,15,20,26,18,15,20,26,18,15,20,26,18,15,20,26,18,15,20,26,18,15,20,26,7,15,2,26,7,15,2,26,7,15,2,26,7,15,2,26,7,15,2,26,7,15,2,26,7,15,2,4
human1_lib1.final_cell_0012,18,15,20,6,18,15,20,6,18,15,20,6,18,15,20,6,18,15,20,6,18,15,20,6,18,15,20,6,18,15,20,6,18,15,20,6,18,15,20,6,18,15,20,6,18,15,20,6,18,15,20,6,18,15,20,6,7,15,2,6,7,15,2,6,7,15,2,6,7,15,2,6,7,15,2,6,7,15,2,6,7,15,2,4
human1_lib1.final_cell_0013,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17
human1_lib1.final_cell_0014,5,3,6,38,5,3,6,38,5,3,6,38,5,3,6,38,5,3,6,38,5,3,6,38,5,3,6,38,5,3,6,38,5,3,6,38,5,3,6,38,5,3,6,38,5,3,6,38,5,3,6,38,5,3,6,38,5,3,6,38,5,3,6,38,5,3,6,38,5,3,6,38,5,3,6,38,5,3,6,38,5,3,6,38
human1_lib1.final_cell_0015,28,19,19,15,28,19,19,15,28,19,19,15,28,19,19,15,28,19,19,15,28,19,19,15,28,19,19,15,28,19,19,15,28,19,19,15,28,19,19,15,28,19,19,15,28,19,19,15,28,19,19,15,28,19,19,15,28,19,19,15,28,19,19,15,28,19,19,15,28,19,19,15,28,19,19,15,28,19,19,15,28,19,19,15
human1_lib1.final_cell_0016,19,12,13,16,19,12,13,16,19,12,13,16,19,12,13,16,19,12,13,16,19,12,13,16,19,12,13,16,19,12,13,16,19,12,13,16,19,12,13,16,19,12,13,16,19,12,13,16,19,12,13,16,19,12,13,16,19,12,13,16,19,12,13,16,19,12,13,16,19,12,13,16,19,12,13,16,19,12,13,16,19,12,13,16
human1_lib1.final_cell_0017,38,23,3,4,38,23,3,4,38,23,3,4,38,23,3,4,38,23,3,4,38,23,3,4,38,23,3,4,38,23,3,4,38,23,3,4,38,23,3,4,38,23,3,4,38,23,3,4,38,23,3,4,38,23,3,4,38,23,3,4,38,23,3,4,38,23,3,4,38,23,3,4,38,23,3,4,38,23,3,4,38,23,3,4
human1_lib1.final_cell_0018,18,16,20,31,18,16,20,31,18,16,20,31,18,15,20,31,18,15,20,31,18,15,20,31,18,15,20,31,18,15,20,31,18,15,20,31,18,15,20,31,18,15,20,31,18,15,20,31,18,15,20,31,18,15,20,31,7,15,2,31,7,15,2,31,7,15,2,31,7,15,2,31,7,15,2,31,7,15,2,31,7,15,2,4
human1_lib1.final_cell_0019,11,10,10,25,11,10,10,25,11,10,10,25,11,10,10,25,11,10,10,25,11,10,10,25,11,10,10,25,11,10,10,25,11,10,10,25,11,10,10,25,11,10,10,25,11,10,10,25,11,10,10,25,11,10,10,25,11,10,10,25,11,10,10,25,11,10,10,25,11,10,10,25,11,10,10,25,11,10,10,25,11,10,10,25
human1_lib1.final_cell_0020,38,1,3,7,38,1,3,7,38,1,3,7,38,1,3,7,38,1,3,7,38,1,3,7,38,1,3,7,38,1,3,7,38,1,3,7,38,1,3,7,38,1,3,7,38,1,3,7,38,1,3,7,38,1,3,7,38,1,3,7,38,1,3,7,38,1,3,7,38,1,3,7,38,1,3,7,38,1,3,7,38,1,3,4
human1_lib1.final_cell_0021,38,1,3,31,38,1,3,31,38,1,3,31,38,1,3,31,38,1,3,31,38,1,3,31,38,1,3,31,38,1,3,31,38,1,3,31,38,1,3,31,38,1,3,31,38,1,3,31,38,1,3,31,38,1,3,31,38,1,3,31,38,1,3,31,38,1,3,31,38,1,3,31,38,1,3,31,38,1,3,31,38,1,3,4
human1_lib1.final_cell_0022,13,18,17,23,13,18,17,23,13,18,17,23,13,18,17,23,13,18,17,23,13,18,17,23,13,18,17,23,13,18,17,23,13,18,17,23,13,18,17,23,13,13,17,23,13,13,17,23,13,13,17,23,13,13,17,23,13,13,17,23,13,13,17,23,9,13,1,23,9,13,1,23,9,13,1,23,9,13,1,23,9,13,1,23
human1_lib1.final_cell_0023,38,10,7,3,38,10,7,3,38,10,7,3,38,10,7,3,38,10,7,3,38,10,7,3,38,10,7,3,38,10,7,3,38,10,7,3,38,10,7,3,38,10,7,3,38,10,7,3,38,10,7,3,38,10,7,3,38,10,7,3,38,10,7,3,38,10,7,3,38,10,7,3,38,10,7,3,38,10,7,3,38,10,7,3
human1_lib1.final_cell_0024,38,6,3,5,38,6,3,5,38,6,3,5,38,6,3,5,38,6,3,5,38,6,3,5,38,6,3,5,38,6,3,5,38,6,3,5,38,6,3,5,38,6,3,5,38,6,3,5,38,6,3,5,38,6,3,5,38,6,3,5,38,6,3,5,38,6,3,5,38,6,3,5,38,6,3,5,38,6,3,5,38,6,3,5
human1_lib1.final_cell_0025,5,3,6,31,5,3,6,31,5,3,6,31,5,3,6,31,5,3,6,31,5,3,6,31,5,3,6,31,5,3,6,31,5,3,6,31,5,3,6,31,5,3,6,31,5,3,6,31,5,3,6,31,5,3,6,31,5,3,6,31,5,3,6,31,5,3,6,31,5,3,6,31,5,3,6,31,5,3,6,31,5,3,6,4
human1_lib1.final_cell_0026,12,18,17,27,12,18,17,27,12,18,17,27,12,18,17,27,12,18,17,27,12,18,17,27,12,18,17,27,12,18,17,27,12,18,17,27,12,18,17,27,12,13,17,27,12,13,17,27,12,13,17,27,12,13,17,27,12,13,17,27,12,13,17,27,12,13,1,27,12,13,1,27,12,13,1,27,12,13,1,27,9,13,1,4
human1_lib1.final_cell_0027,38,2,3,4,38,2,3,4,38,2,3,4,38,2,3,4,38,2,3,4,38,2,3,4,38,2,3,4,38,2,3,4,38,2,3,4,38,2,3,4,38,2,3,4,38,2,3,4,38,2,3,4,38,2,3,4,38,2,3,4,38,2,3,4,38,2,3,4,38,2,3,4,38,2,3,4,38,2,3,4,38,2,3,4
human1_lib1.final_cell_0028,8,16,2,21,7,16,2,21,7,16,2,21,7,15,2,21,7,15,2,21,7,15,2,21,7,15,2,21,7,15,2,21,7,15,2,21,7,15,2,21,7,15,2,21,7,15,2,21,7,15,2,21,7,15,2,21,7,15,2,21,7,15,2,21,7,15,2,21,7,15,2,21,7,15,2,21,7,15,2,21,7,15,2,4
human1_lib1.final_cell_0029,18,16,20,15,18,16,20,15,18,16,20,15,18,15,20,15,18,15,20,15,18,15,20,15,18,15,20,15,18,15,20,15,18,15,20,15,18,15,20,15,18,15,20,15,18,15,20,15,18,15,20,15,18,15,20,15,7,15,2,15,7,15,2,15,7,15,2,15,7,15,2,15,7,15,2,15,7,15,2,15,7,15,2,15
human1_lib1.final_cell_0030,38,6,3,2,38,6,3,2,38,6,3,2,38,6,3,2,38,6,3,2,38,6,3,2,38,6,3,2,38,6,3,2,38,6,3,2,38,6,3,2,38,6,3,2,38,6,3,2,38,6,3,2,38,6,3,2,38,6,3,2,38,6,3,2,38,6,3,2,38,6,3,2,38,6,3,2,38,6,3,2,38,6,3,2
human1_lib1.final_cell_0031,5,3,6,27,5,3,6,27,5,3,6,27,5,3,6,27,5,3,6,27,5,3,6,27,5,3,6,27,5,3,6,27,5,3,6,27,5,3,6,27,5,3,6,27,5,3,6,27,5,3,6,27,5,3,6,27,5,3,6,27,5,3,6,27,5,3,6,27,5,3,6,27,5,3,6,27,5,3,6,27,5,3,6,4
human1_lib1.final_cell_0032,5,3,6,18,5,3,6,18,5,3,6,18,5,3,6,18,5,3,6,18,5,3,6,18,5,3,6,18,5,3,6,18,5,3,6,18,5,3,6,18,5,3,6,18,5,3,6,18,5,3,6,18,5,3,6,18,5,3,6,18,5,3,6,18,5,3,6,18,5,3,6,18,5,3,6,18,5,3,6,18,5,3,6,4
human1_lib1.final_cell_0033,5,3,6,37,5,3,6,37,5,3,6,37,5,3,6,37,5,3,6,37,5,3,6,37,5,3,6,37,5,3,6,37,5,3,6,37,5,3,6,37,5,3,6,37,5,3,6,37,5,3,6,37,5,3,6,37,5,3,6,37,5,3,6,37,5,3,6,37,5,3,6,37,5,3,6,37,5,3,6,37,5,3,6,4
human1_lib1.final_cell_0034,5,3,6,36,5,3,6,36,5,3,6,36,5,3,6,36,5,3,6,36,5,3,6,36,5,3,6,36,5,3,6,36,5,3,6,36,5,3,6,36,5,3,6,36,5,3,6,36,5,3,6,36,5,3,6,36,5,3,6,36,5,3,6,36,5,3,6,36,5,3,6,36,5,3,6,36,5,3,6,36,5,3,6,36
human1_lib1.final_cell_0035,38,1,3,25,38,1,3,25,38,1,3,25,38,1,3,25,38,1,3,25,38,1,3,25,38,1,3,25,38,1,3,25,38,1,3,25,38,1,3,25,38,1,3,25,38,1,3,25,38,1,3,25,38,1,3,25,38,1,3,25,38,1,3,25,38,1,3,25,38,1,3,25,38,1,3,25,38,1,3,25,38,1,3,25
human1_lib1.final_cell_0036,18,16,20,2,18,16,20,2,18,16,20,2,18,15,20,2,18,15,20,2,18,15,20,2,18,15,20,2,18,15,20,2,18,15,20,2,18,15,20,2,18,15,20,2,18,15,20,2,18,15,20,2,18,15,20,2,7,15,2,2,7,15,2,2,7,15,2,2,7,15,2,2,7,15,2,2,7,15,2,2,7,15,2,2
human1_lib1.final_cell_0037,38,11,3,31,38,11,3,31,38,11,3,31,38,11,3,31,38,11,3,31,38,11,3,31,38,11,3,31,38,11,3,31,38,11,3,31,38,11,3,31,38,11,3,31,38,11,3,31,38,11,3,31,38,11,3,31,38,11,3,31,38,11,3,31,38,11,3,31,38,11,3,31,38,11,3,31,38,11,3,31,38,11,3,4
human1_lib1.final_cell_0038,38,2,3,10,38,2,3,10,38,2,3,10,38,2,3,10,38,2,3,10,38,2,3,10,38,2,3,10,38,2,3,10,38,2,3,10,38,2,3,10,38,2,3,10,38,2,3,10,38,2,3,10,38,2,3,10,38,2,3,10,38,2,3,10,38,2,3,10,38,2,3,10,38,2,3,10,38,2,3,10,38,2,3,4
human1_lib1.final_cell_0039,28,23,19,13,28,23,19,13,28,23,19,13,28,23,19,13,28,23,19,13,28,23,19,13,28,23,19,13,28,23,19,13,28,23,19,13,28,23,19,13,28,23,19,13,28,23,19,13,28,23,19,13,28,23,19,13,28,23,19,13,28,23,19,13,28,23,19,13,28,23,19,13,28,23,19,13,28,23,19,13,28,23,19,13
human1_lib1.final_cell_0040,5,3,6,35,5,3,6,35,5,3,6,35,5,3,6,35,5,3,6,35,5,3,6,35,5,3,6,35,5,3,6,35,5,3,6,35,5,3,6,35,5,3,6,35,5,3,6,35,5,3,6,35,5,3,6,35,5,3,6,35,5,3,6,35,5,3,6,35,5,3,6,35,5,3,6,35,5,3,6,35,5,3,6,35
human1_lib1.final_cell_0041,19,12,13,7,19,12,13,7,19,12,13,7,19,12,13,7,19,12,13,7,19,12,13,7,19,12,13,7,19,12,13,7,19,12,13,7,19,12,13,7,19,12,13,7,19,12,13,7,19,12,13,7,19,12,13,7,19,12,13,7,19,12,13,7,19,12,13,7,19,12,13,7,19,12,13,7,19,12,13,7,19,12,13,4
human1_lib1.final_cell_0042,38,1,3,1,38,1,3,1,38,1,3,1,38,1,3,1,38,1,3,1,38,1,3,1,38,1,3,1,38,1,3,1,38,1,3,1,38,1,3,1,38,1,3,1,38,1,3,1,38,1,3,1,38,1,3,1,38,1,3,1,38,1,3,1,38,1,3,1,38,1,3,1,38,1,3,1,38,1,3,1,38,1,3,1
human1_lib1.final_cell_0043,5,7,6,17,5,7,6,17,5,7,6,17,5,7,6,17,5,7,6,17,5,7,6,17,5,7,6,17,5,7,6,17,5,7,6,17,5,7,6,17,5,7,6,17,5,7,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17,5,3,6,17
human1_lib1.final_cell_0044,19,12,13,11,19,12,13,11,19,12,13,11,19,12,13,11,19,12,13,11,19,12,13,11,19,12,13,11,19,12,13,11,19,12,13,11,19,12,13,11,19,12,13,11,19,12,13,11,19,12,13,11,19,12,13,11,19,12,13,11,19,12,13,11,19,12,13,11,19,12,13,11,19,12,13,11,19,12,13,11,19,12,13,11
human1_lib1.final_cell_0045,19,12,13,33,19,12,13,33,19,12,13,33,19,12,13,33,19,12,13,33,19,12,13,33,19,12,13,33,19,12,13,33,19,12,13,33,19,12,13,33,19,12,13,33,19,12,13,33,19,12,13,33,19,12,13,33,19,12,13,33,19,12,13,33,19,12,13,33,19,12,13,33,19,12,13,33,19,12,13,33,19,12,13,4
human1_lib1.final_cell_0046,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,4
human1_lib1.final_cell_0047,18,16,20,4,18,16,20,4,18,16,20,4,18,15,20,4,18,15,20,4,18,15,20,4,18,15,20,4,18,15,20,4,18,15,20,4,18,15,20,4,18,15,20,4,18,15,20,4,18,15,20,4,18,15,20,4,7,15,2,4,7,15,2,4,7,15,2,4,7,15,2,4,7,15,2,4,7,15,2,4,7,15,2,4
human1_lib1.final_cell_0048,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,31,19,12,13,4
human1_lib1.final_cell_0049,5,3,6,15,5,3,6,15,5,3,6,15,5,3,6,15,5,3,6,15,5,3,6,15,5,3,6,15,5,3,6,15,5,3,6,15,5,3,6,15,5,3,6,15,5,3,6,15,5,3,6,15,5,3,6,15,5,3,6,15,5,3,6,15,5,3,6,15,5,3,6,15,5,3,6,15,5,3,6,15,5,3,6,15
human1_lib1.final_cell_0050,38,1,3,9,38,1,3,9,38,1,3,9,38,1,3,9,38,1,3,9,38,1,3,9,38,1,3,9,38,1,3,9,38,1,3,9,38,1,3,9,38,1,3,9,38,1,3,9,38,1,3,9,38,1,3,9,38,1,3,9,38,1,3,9,38,1,3,9,38,1,3,9,38,1,3,9,38,1,3,9,38,1,3,4
human1_lib1.final_cell_0051,5,3,6,5,5,3,6,5,5,3,6,5,5,3,6,5,5,3,6,5,5,3,6,5,5,3,6,5,5,3,6,5,5,3,6,5,5,3,6,5,5,3,6,5,5,3,6,5,5,3,6,5,5,3,6,5,5,3,6,5,5,3,6,5,5,3,6,5,5,3,6,5,5,3,6,5,5,3,6,5,5,3,6,5
human1_lib1.final_cell_0052,38,6,3,18,38,6,3,18,38,6,3,18,38,6,3,18,38,6,3,18,38,6,3,18,38,6,3,18,38,6,3,18,38,6,3,18,38,6,3,18,38,6,3,18,38,6,3,18,38,6,3,18,38,6,3,18,38,6,3,18,38,6,3,18,38,6,3,18,38,6,3,18,38,6,3,18,38,6,3,18,38,6,3,4
human1_lib1.final_cell_0053,18,16,20,35,18,16,20,35,18,16,20,35,18,15,20,35,18,15,20,35,18,15,20,35,18,15,20,35,18,15,20,35,18,15,20,35,18,15,20,35,18,15,20,35,18,15,20,35,18,15,20,35,18,15,20,35,7,15,2,35,7,15,2,35,7,15,2,35,7,15,2,35,7,15,2,35,7,15,2,35,7,15,2,35
human1_lib1.final_cell_0054,38,1,3,12,38,1,3,12,38,1,3,12,38,1,3,12,38,1,3,12,38,1,3,12,38,1,3,12,38,1,3,12,38,1,3,12,38,1,3,12,38,1,3,12,38,1,3,12,38,1,3,12,38,1,3,12,38,1,3,12,38,1,3,12,38,1,3,12,38,1,3,12,38,1,3,12,38,1,3,12,38,1,3,12
human1_lib1.final_cell_0055,38,23,3,6,38,23,3,6,38,23,3,6,38,23,3,6,38,23,3,6,38,23,3,6,38,23,3,6,38,23,3,6,38,23,3,6,38,23,3,6,38,23,3,6,38,23,3,6,38,23,3,6,38,23,3,6,38,23,3,6,38,23,3,6,38,23,3,6,38,23,3,6,38,23,3,6,38,23,3,6,38,23,3,4
human1_lib1.final_cell_0056,19,12,13,22,19,12,13,22,19,12,13,22,19,12,13,22,19,12,13,22,19,12,13,22,19,12,13,22,19,12,13,22,19,12,13,22,19,12,13,22,19,12,13,22,19,12,13,22,19,12,13,22,19,12,13,22,19,12,13,22,19,12,13,22,19,12,13,22,19,12,13,22,19,12,13,22,19,12,13,22,19,12,13,22
human1_lib1.final_cell_0057,38,1,3,13,38,1,3,13,38,1,3,13,38,1,3,13,38,1,3,13,38,1,3,13,38,1,3,13,38,1,3,13,38,1,3,13,38,1,3,13,38,1,3,13,38,1,3,13,38,1,3,13,38,1,3,13,38,1,3,13,38,1,3,13,38,1,3,13,38,1,3,13,38,1,3,13,38,1,3,13,38,1,3,13
human1_lib1.final_cell_0058,38,1,3,17,38,1,3,17,38,1,3,17,38,1,3,17,38,1,3,17,38,1,3,17,38,1,3,17,38,1,3,17,38,1,3,17,38,1,3,17,38,1,3,17,38,1,3,17,38,1,3,17,38,1,3,17,38,1,3,17,38,1,3,17,38,1,3,17,38,1,3,17,38,1,3,17,38,1,3,17,38,1,3,17
human1_lib1.final_cell_0059,38,23,3,19,38,23,3,19,38,23,3,19,38,23,3,19,38,23,3,19,38,23,3,19,38,23,3,19,38,23,3,19,38,23,3,19,38,23,3,19,38,23,3,19,38,23,3,19,38,23,3,19,38,23,3,19,38,23,3,19,38,23,3,19,38,23,3,19,38,23,3,19,38,23,3,19,38,23,3,19,38,23,3,19
human1_lib1.final_cell_0060,28,19,19,18,28,19,19,18,28,19,19,18,28,19,19,18,28,19,19,18,28,19,19,18,28,19,19,18,28,19,19,18,28,19,19,18,28,19,19,18,28,19,19,18,28,19,19,18,28,19,19,18,28,19,19,18,28,19,19,18,28,19,19,18,28,19,19,18,28,19,19,18,28,19,19,18,28,19,19,18,28,19,19,4
human1_lib1.final_cell_0061,17,8,7,25,17,8,7,25,17,8,7,25,17,8,7,25,17,8,7,25,17,8,7,25,17,8,7,25,17,8,7,25,17,8,7,25,17,8,7,25,17,8,7,25,17,8,7,25,17,8,7,25,17,8,7,25,17,8,7,25,17,8,7,25,17,8,7,25,17,8,7,25,17,8,7,25,17,8,7,25,17,8,7,25
human1_lib1.final_cell_0062,12,25,17,2,12,25,17,2,12,25,17,2,12,25,17,2,12,25,17,2,12,25,17,2,12,25,17,2,12,25,17,2,12,25,17,2,12,25,17,2,12,25,17,2,12,25,17,2,12,25,17,2,12,25,17,2,12,25,17,2,12,25,17,2,12,25,1,2,12,25,1,2,12,25,1,2,12,25,1,2,9,25,1,2
human1_lib1.final_cell_0063,28,19,19,27,28,19,19,27,28,19,19,27,28,19,19,27,28,19,19,27,28,19,19,27,28,19,19,27,28,19,19,27,28,19,19,27,28,19,19,27,28,19,19,27,28,19,19,27,28,19,19,27,28,19,19,27,28,19,19,27,28,19,19,27,28,19,19,27,28,19,19,27,28,19,19,27,28,19,19,27,28,19,19,4
human1_lib1.final_cell_0064,17,10,7,34,17,10,7,34,17,10,7,34,17,10,7,34,17,10,7,34,17,10,7,34,17,10,7,34,17,10,7,34,17,10,7,34,17,10,7,34,17,10,7,34,17,10,7,34,17,10,7,34,17,10,7,34,17,10,7,34,17,10,7,34,17,10,7,34,17,10,7,34,17,10,7,34,17,10,7,34,17,10,7,4
human1_lib1.final_cell_0065,24,26,3,37,24,26,3,37,24,26,3,37,24,26,3,37,24,26,3,37,24,26,3,37,24,26,3,37,24,26,3,37,24,26,3,37,24,26,3,37,24,26,3,37,24,26,3,37,24,26,3,37,24,26,3,37,24,26,3,37,24,26,3,37,24,26,3,37,24,26,3,37,24,8,3,37,24,8,3,37,24,8,3,4
human1_lib1.final_cell_0066,18,16,20,5,18,16,20,5,18,16,20,5,18,15,20,5,18,15,20,5,18,15,20,5,18,15,20,5,18,15,20,5,18,15,20,5,18,15,20,5,18,15,20,5,18,15,20,5,18,15,20,5,18,15,20,5,7,15,2,5,7,15,2,5,7,15,2,5,7,15,2,5,7,15,2,5,7,15,2,5,7,15,2,5
human1_lib1.final_cell_0067,13,18,17,24,13,18,17,24,13,18,17,24,13,18,17,24,13,18,17,24,13,18,17,24,13,18,17,24,13,18,17,24,13,18,17,24,13,18,17,24,13,13,17,24,13,13,17,24,13,13,17,24,13,13,17,24,13,13,17,24,13,13,17,24,9,13,1,24,9,13,1,24,9,13,1,24,9,13,1,24,9,13,1,24
human1_lib1.final_cell_0068,38,2,3,2,38,2,3,2,38,2,3,2,38,2,3,2,38,2,3,2,38,2,3,2,38,2,3,2,38,2,3,2,38,2,3,2,38,2,3,2,38,2,3,2,38,2,3,2,38,2,3,2,38,2,3,2,38,2,3,2,38,2,3,2,38,2,3,2,38,2,3,2,38,2,3,2,38,2,3,2,38,2,3,2
human1_lib1.final_cell_0069,5,3,6,9,5,3,6,9,5,3,6,9,5,3,6,9,5,3,6,9,5,3,6,9,5,3,6,9,5,3,6,9,5,3,6,9,5,3,6,9,5,3,6,9,5,3,6,9,5,3,6,9,5,3,6,9,5,3,6,9,5,3,6,9,5,3,6,9,5,3,6,9,5,3,6,9,5,3,6,9,5,3,6,4
human1_lib1.final_cell_0070,13,13,17,35,13,13,17,35,13,13,17,35,13,13,17,35,13,13,17,35,13,13,17,35,13,13,17,35,13,13,17,35,13,13,17,35,13,13,17,35,13,13,17,35,13,13,17,35,13,13,17,35,13,13,17,35,13,13,17,35,13,13,17,35,9,13,1,35,9,13,1,35,9,13,1,35,9,13,1,35,9,13,1,35
