cells,sc3-00,Monocle-00,Seurat-00,Garbage1-00,sc3-05,Monocle-05,Seurat-05,Garbage1-05,sc3-10,Monocle-10,Seurat-10,Garbage1-10,sc3-15,Monocle-15,Seurat-15,Garbage1-15,sc3-20,Monocle-20,Seurat-20,Garbage1-20,sc3-25,Monocle-25,Seurat-25,Garbage1-25,sc3-30,Monocle-30,Seurat-30,Garbage1-30,sc3-35,Monocle-35,Seurat-35,Garbage1-35,sc3-40,Monocle-40,Seurat-40,Garbage1-40,sc3-45,Monocle-45,Seurat-45,Garbage1-45,sc3-50,Monocle-50,Seurat-50,Garbage1-50,sc3-55,Monocle-55,Seurat-55,Garbage1-55,sc3-60,Monocle-60,Seurat-60,Garbage1-60,sc3-65,Monocle-65,Seurat-65,Garbage1-65,sc3-70,Monocle-70,Seurat-70,Garbage1-70,sc3-75,Monocle-75,Seurat-75,Garbage1-75,sc3-80,Monocle-80,Seurat-80,Garbage1-80,sc3-85,Monocle-85,Seurat-85,Garbage1-85,sc3-90,Monocle-90,Seurat-90,Garbage1-90,sc3-95,Monocle-95,Seurat-95,Garbage1-95,sc3-100,Monocle-100,Seurat-100,Garbage1-100
HP1502401_A23,32,5,13,19,32,5,13,19,32,5,13,19,32,5,13,19,32,5,13,19,32,5,13,19,32,5,13,19,32,5,13,19,32,5,13,19,32,5,13,19,32,5,13,19,32,5,13,19,32,5,13,19,32,5,13,19,32,5,13,19,32,5,13,19,32,5,13,19,32,5,13,19,32,5,13,19,32,4,13,2,32,4,13,2
HP1502401_A24,17,20,7,21,17,20,7,21,17,20,7,21,17,20,7,21,17,20,7,21,17,20,7,21,17,20,7,21,17,20,7,21,17,20,7,21,17,20,7,21,17,20,7,21,17,20,7,21,17,20,7,21,17,20,7,21,17,20,7,21,17,20,7,21,17,20,7,21,17,20,7,21,17,20,7,21,17,20,7,21,17,20,7,21
HP1502401_A4,16,9,3,4,16,9,3,4,16,9,3,4,16,9,3,4,16,9,3,4,16,9,3,4,16,9,3,4,16,9,3,4,16,9,3,4,16,9,3,4,16,9,3,4,16,9,3,4,16,9,3,4,16,9,3,4,16,9,3,4,16,9,3,4,16,9,3,4,16,9,3,4,16,9,3,4,10,9,3,4,10,9,3,4
HP1502401_A6,28,6,11,16,28,6,11,16,28,6,11,16,28,6,11,16,28,6,11,16,28,6,11,16,28,6,11,16,28,6,11,16,28,6,11,16,28,6,11,16,28,6,11,16,28,6,11,16,28,6,11,16,28,6,11,16,28,6,11,16,28,6,11,16,2,6,11,16,2,6,11,16,2,6,11,16,2,6,11,16,2,6,11,16
HP1502401_A7,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,2,6,11,11,2,6,11,11,2,6,11,11,2,6,11,11,2,6,11,11
HP1502401_B1,28,6,11,1,28,6,11,1,28,6,11,1,28,6,11,1,28,6,11,1,28,6,11,1,28,6,11,1,28,6,11,1,28,6,11,1,28,6,11,1,28,6,11,1,28,6,11,1,28,6,11,1,28,6,11,1,28,6,11,1,28,6,11,1,2,6,11,1,2,6,11,1,2,6,11,1,2,6,11,1,2,6,11,1
HP1502401_B10,31,10,14,2,31,10,14,2,31,10,14,2,31,10,14,2,31,10,14,2,31,10,14,2,31,10,14,2,31,10,14,2,31,10,14,2,31,10,14,2,31,10,14,2,31,10,14,2,31,10,14,2,31,10,14,2,31,10,14,2,31,10,8,2,31,10,8,2,31,10,8,2,31,10,8,2,31,10,8,2,31,10,8,2
HP1502401_B11,13,3,6,23,13,2,6,23,13,2,6,23,13,2,6,23,13,2,6,23,13,2,6,23,13,2,6,23,13,2,6,23,13,2,6,23,13,2,6,23,13,2,6,23,13,2,6,23,13,2,6,23,13,2,6,23,13,2,6,23,13,2,6,23,13,2,6,23,12,2,6,23,12,2,6,23,12,2,6,23,12,2,6,23
HP1502401_B14,28,6,11,5,28,6,11,5,28,6,11,5,28,6,11,5,28,6,11,5,28,6,11,5,28,6,11,5,28,6,11,5,28,6,11,5,28,6,11,5,28,6,11,5,28,6,11,5,28,6,11,5,28,6,11,5,28,6,11,5,28,6,11,5,2,6,11,5,2,6,11,5,2,6,11,2,2,6,11,2,2,6,11,2
HP1502401_B15,13,3,6,24,13,2,6,24,13,2,6,24,13,2,6,24,13,2,6,24,13,2,6,24,13,2,6,24,13,2,6,24,13,2,6,24,13,2,6,24,13,2,6,24,13,2,6,24,13,2,6,24,13,2,6,24,13,2,6,24,13,2,6,24,13,2,6,24,12,2,6,24,12,2,6,24,12,2,6,24,12,2,6,24
HP1502401_B16,16,4,1,10,16,4,1,10,16,4,1,10,16,4,1,10,16,4,1,10,16,4,1,10,16,4,1,10,16,4,1,10,16,4,1,10,16,4,1,10,16,4,1,10,16,4,1,10,16,4,1,10,16,4,1,10,16,4,1,10,16,4,1,10,16,4,1,10,16,4,1,10,16,4,1,10,10,4,1,10,10,4,1,10
HP1502401_B17,19,8,14,26,19,8,14,26,19,8,14,26,19,8,14,26,19,8,14,26,19,8,14,26,19,8,14,26,19,8,14,26,19,8,14,26,19,8,14,26,19,8,14,26,19,8,14,26,19,8,14,26,19,8,14,26,19,8,14,26,19,8,8,26,19,8,8,26,19,8,8,26,19,8,8,26,19,8,8,26,19,8,8,26
HP1502401_B18,13,2,6,26,13,2,6,26,13,2,6,26,13,2,6,26,13,2,6,26,13,2,6,26,13,2,6,26,13,2,6,26,13,2,6,26,13,2,6,26,13,2,6,26,13,2,6,26,13,2,6,26,13,2,6,26,13,2,6,26,13,2,6,26,13,2,6,26,12,2,6,26,12,2,6,26,12,2,6,26,12,2,6,26
HP1502401_B20,16,10,10,14,16,10,10,14,16,10,10,14,16,10,10,14,16,10,10,14,16,10,10,14,16,10,10,14,16,10,10,14,16,10,10,14,16,10,10,14,16,10,10,14,16,10,10,14,16,10,10,14,16,10,10,14,16,10,10,14,16,10,10,14,16,10,10,14,16,10,10,14,16,10,10,14,10,10,10,14,10,10,10,14
HP1502401_B21,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,2,6,11,11,2,6,11,11,2,6,11,11,2,6,11,11,2,6,11,11
HP1502401_B22,32,6,13,28,32,6,13,28,32,6,13,28,32,6,13,28,32,6,13,28,32,6,13,28,32,6,13,28,32,6,13,28,32,6,13,28,32,6,13,28,32,6,13,28,32,6,13,28,32,6,13,28,32,6,13,28,32,6,13,28,32,6,13,28,32,6,13,28,32,6,13,28,32,6,13,28,32,6,13,28,32,6,13,28
HP1502401_B23,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,2,6,11,14,2,6,11,14,2,6,11,14,2,6,11,14,2,6,11,14
HP1502401_B24,28,6,11,3,28,6,11,3,28,6,11,3,28,6,11,3,28,6,11,3,28,6,11,3,28,6,11,3,28,6,11,3,28,6,11,3,28,6,11,3,28,6,11,3,28,6,11,3,28,6,11,3,28,6,11,3,28,6,11,3,28,6,11,3,2,6,11,3,2,6,11,3,2,6,11,3,2,6,11,3,2,6,11,3
HP1502401_B5,16,17,1,35,16,17,1,35,16,17,1,35,16,17,1,35,16,17,1,35,16,17,1,35,16,17,1,35,16,17,1,35,16,17,1,35,16,17,1,35,16,17,1,35,16,17,1,35,16,17,1,35,16,17,1,35,16,17,1,35,16,17,1,35,16,17,1,35,16,17,1,35,16,17,1,35,10,17,1,35,10,17,1,35
HP1502401_B7,28,6,11,21,28,6,11,21,28,6,11,21,28,6,11,21,28,6,11,21,28,6,11,21,28,6,11,21,28,6,11,21,28,6,11,21,28,6,11,21,28,6,11,21,28,6,11,21,28,6,11,21,28,6,11,21,28,6,11,21,28,6,11,21,2,6,11,21,2,6,11,21,2,6,11,21,2,6,11,21,2,6,11,21
HP1502401_B8,17,20,7,6,17,20,7,6,17,20,7,6,17,20,7,6,17,20,7,6,17,20,7,6,17,20,7,6,17,20,7,6,17,20,7,6,17,20,7,6,17,20,7,6,17,20,7,6,17,20,7,6,17,20,7,6,17,20,7,6,17,20,7,6,17,20,7,6,17,20,7,6,17,20,7,2,17,20,7,2,17,20,7,2
HP1502401_C1,19,8,14,10,19,8,14,10,19,8,14,10,19,8,14,10,19,8,14,10,19,8,14,10,19,8,14,10,19,8,14,10,19,8,14,10,19,8,14,10,19,8,14,10,19,8,14,10,19,8,14,10,19,8,14,10,19,8,14,10,19,8,8,10,19,8,8,10,19,8,8,10,19,8,8,10,19,8,8,10,19,8,8,10
HP1502401_C10,28,6,11,23,28,6,11,23,28,6,11,23,28,6,11,23,28,6,11,23,28,6,11,23,28,6,11,23,28,6,11,23,28,6,11,23,28,6,11,23,28,6,11,23,28,6,11,23,28,6,11,23,28,6,11,23,28,6,11,23,28,6,11,23,2,6,11,23,2,6,11,23,2,6,11,23,2,6,11,23,2,6,11,23
HP1502401_C12,9,1,2,34,9,1,2,34,9,1,2,34,9,1,2,34,9,1,2,34,9,1,2,34,9,1,2,34,9,1,2,34,9,1,2,34,9,1,2,34,9,1,2,34,9,1,2,34,9,1,2,34,9,1,2,34,9,1,2,34,9,1,2,34,9,1,2,34,9,1,2,34,9,1,2,2,4,1,2,2,4,1,2,2
HP1502401_C14,16,4,1,22,16,4,1,22,16,4,1,22,16,4,1,22,16,4,1,22,16,4,1,22,16,4,1,22,16,4,1,22,16,4,1,22,16,4,1,22,16,4,1,22,16,4,1,22,16,4,1,22,16,4,1,22,16,4,1,22,16,4,1,22,16,4,1,22,16,4,1,22,16,4,1,22,10,4,1,22,10,4,1,22
HP1502401_C16,16,17,1,19,16,17,1,19,16,17,1,19,16,17,1,19,16,17,1,19,16,17,1,19,16,17,1,19,16,17,1,19,16,17,1,19,16,17,1,19,16,17,1,19,16,17,1,19,16,17,1,19,16,17,1,19,16,17,1,19,16,17,1,19,16,17,1,19,16,17,1,19,16,17,1,19,10,17,1,2,10,17,1,2
HP1502401_C18,28,6,11,8,28,6,11,8,28,6,11,8,28,6,11,8,28,6,11,8,28,6,11,8,28,6,11,8,28,6,11,8,28,6,11,8,28,6,11,8,28,6,11,8,28,6,11,8,28,6,11,8,28,6,11,8,28,6,11,8,28,6,11,8,2,6,11,8,2,6,11,8,2,6,11,2,2,6,11,2,2,6,11,2
HP1502401_C2,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,4,13,17,32,4,13,17
HP1502401_C20,17,20,7,22,17,20,7,22,17,20,7,22,17,20,7,22,17,20,7,22,17,20,7,22,17,20,7,22,17,20,7,22,17,20,7,22,17,20,7,22,17,20,7,22,17,20,7,22,17,20,7,22,17,20,7,22,17,20,7,22,17,20,7,22,17,20,7,22,17,20,7,22,17,20,7,22,17,20,7,22,17,20,7,22
HP1502401_C21,28,6,11,13,28,6,11,13,28,6,11,13,28,6,11,13,28,6,11,13,28,6,11,13,28,6,11,13,28,6,11,13,28,6,11,13,28,6,11,13,28,6,11,13,28,6,11,13,28,6,11,13,28,6,11,13,28,6,11,13,28,6,11,13,2,6,11,13,2,6,11,13,2,6,11,2,2,6,11,2,2,6,11,2
HP1502401_C22,32,5,13,7,32,5,13,7,32,5,13,7,32,5,13,7,32,5,13,7,32,5,13,7,32,5,13,7,32,5,13,7,32,5,13,7,32,5,13,7,32,5,13,7,32,5,13,7,32,5,13,7,32,5,13,7,32,5,13,7,32,5,13,7,32,5,13,7,32,5,13,7,32,5,13,7,32,4,13,7,32,4,13,7
HP1502401_C4,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,10,11,1,2,10,11,1,2
HP1502401_C5,17,20,7,25,17,20,7,25,17,20,7,25,17,20,7,25,17,20,7,25,17,20,7,25,17,20,7,25,17,20,7,25,17,20,7,25,17,20,7,25,17,20,7,25,17,20,7,25,17,20,7,25,17,20,7,25,17,20,7,25,17,20,7,25,17,20,7,25,17,20,7,25,17,20,7,25,17,20,7,25,17,20,7,25
HP1502401_C6,28,6,11,18,28,6,11,18,28,6,11,18,28,6,11,18,28,6,11,18,28,6,11,18,28,6,11,18,28,6,11,18,28,6,11,18,28,6,11,18,28,6,11,18,28,6,11,18,28,6,11,18,28,6,11,18,28,6,11,18,28,6,11,18,2,6,11,18,2,6,11,18,2,6,11,18,2,6,11,18,2,6,11,18
HP1502401_C7,28,6,11,20,28,6,11,20,28,6,11,20,28,6,11,20,28,6,11,20,28,6,11,20,28,6,11,20,28,6,11,20,28,6,11,20,28,6,11,20,28,6,11,20,28,6,11,20,28,6,11,20,28,6,11,20,28,6,11,20,28,6,11,20,2,6,11,20,2,6,11,20,2,6,11,20,2,6,11,20,2,6,11,20
HP1502401_C8,17,20,7,28,17,20,7,28,17,20,7,28,17,20,7,28,17,20,7,28,17,20,7,28,17,20,7,28,17,20,7,28,17,20,7,28,17,20,7,28,17,20,7,28,17,20,7,28,17,20,7,28,17,20,7,28,17,20,7,28,17,20,7,28,17,20,7,28,17,20,7,28,17,20,7,28,17,20,7,28,17,20,7,28
HP1502401_D10,19,8,14,4,19,8,14,4,19,8,14,4,19,8,14,4,19,8,14,4,19,8,14,4,19,8,14,4,19,8,14,4,19,8,14,4,19,8,14,4,19,8,14,4,19,8,14,4,19,8,14,4,19,8,14,4,19,8,14,4,19,8,8,4,19,8,8,4,19,8,8,4,19,8,8,4,19,8,8,4,19,8,8,4
HP1502401_D12,17,20,7,5,17,20,7,5,17,20,7,5,17,20,7,5,17,20,7,5,17,20,7,5,17,20,7,5,17,20,7,5,17,20,7,5,17,20,7,5,17,20,7,5,17,20,7,5,17,20,7,5,17,20,7,5,17,20,7,5,17,20,7,5,17,20,7,5,17,20,7,5,17,20,7,2,17,20,7,2,17,20,7,2
HP1502401_D13,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,2,6,11,4,2,6,11,4,2,6,11,4,2,6,11,4,2,6,11,4
HP1502401_D16,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,16,11,1,2,10,11,1,2,10,11,1,2
HP1502401_D17,17,20,7,32,17,20,7,32,17,20,7,32,17,20,7,32,17,20,7,32,17,20,7,32,17,20,7,32,17,20,7,32,17,20,7,32,17,20,7,32,17,20,7,32,17,20,7,32,17,20,7,32,17,20,7,32,17,20,7,32,17,20,7,32,17,20,7,32,17,20,7,2,17,20,7,2,17,20,7,2,17,20,7,2
HP1502401_D18,9,1,2,6,9,1,2,6,9,1,2,6,9,1,2,6,9,1,2,6,9,1,2,6,9,1,2,6,9,1,2,6,9,1,2,6,9,1,2,6,9,1,2,6,9,1,2,6,9,1,2,6,9,1,2,6,9,1,2,6,9,1,2,6,9,1,2,6,9,1,2,6,9,1,2,2,4,1,2,2,4,1,2,2
HP1502401_D2,19,8,14,7,19,8,14,7,19,8,14,7,19,8,14,7,19,8,14,7,19,8,14,7,19,8,14,7,19,8,14,7,19,8,14,7,19,8,14,7,19,8,14,7,19,8,14,7,19,8,14,7,19,8,14,7,19,8,14,7,19,8,8,7,19,8,8,7,19,8,8,7,19,8,8,7,19,8,8,7,19,8,8,7
HP1502401_D20,16,4,1,33,16,4,1,33,16,4,1,33,16,4,1,33,16,4,1,33,16,4,1,33,16,4,1,33,16,4,1,33,16,4,1,33,16,4,1,33,16,4,1,33,16,4,1,33,16,4,1,33,16,4,1,33,16,4,1,33,16,4,1,33,16,4,1,33,16,4,1,2,16,4,1,2,10,4,1,2,10,4,1,2
HP1502401_D22,28,6,11,26,28,6,11,26,28,6,11,26,28,6,11,26,28,6,11,26,28,6,11,26,28,6,11,26,28,6,11,26,28,6,11,26,28,6,11,26,28,6,11,26,28,6,11,26,28,6,11,26,28,6,11,26,28,6,11,26,28,6,11,26,2,6,11,26,2,6,11,26,2,6,11,26,2,6,11,26,2,6,11,26
HP1502401_D23,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,5,13,17,32,4,13,17,32,4,13,17
HP1502401_D24,16,9,10,27,16,9,10,27,16,9,10,27,16,9,10,27,16,9,10,27,16,9,10,27,16,9,10,27,16,9,10,27,16,9,10,27,16,9,10,27,16,9,10,27,16,9,10,27,16,9,10,27,16,9,10,27,16,9,10,27,16,9,10,27,16,9,10,27,16,9,10,27,16,9,10,2,10,9,10,2,10,9,10,2
HP1502401_D3,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,28,6,11,14,2,6,11,14,2,6,11,14,2,6,11,14,2,6,11,14,2,6,11,14
HP1502401_D4,9,1,2,1,9,1,2,1,9,1,2,1,9,1,2,1,9,1,2,1,9,1,2,1,9,1,2,1,9,1,2,1,9,1,2,1,9,1,2,1,9,1,2,1,9,1,2,1,9,1,2,1,9,1,2,1,9,1,2,1,9,1,2,1,9,1,2,1,9,1,2,1,9,1,2,1,4,1,2,1,4,1,2,1
HP1502401_D5,16,4,1,8,16,4,1,8,16,4,1,8,16,4,1,8,16,4,1,8,16,4,1,8,16,4,1,8,16,4,1,8,16,4,1,8,16,4,1,8,16,4,1,8,16,4,1,8,16,4,1,8,16,4,1,8,16,4,1,8,16,4,1,8,16,4,1,8,16,4,1,8,16,4,1,2,10,4,1,2,10,4,1,2
HP1502401_D6,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,28,6,11,11,2,6,11,11,2,6,11,11,2,6,11,11,2,6,11,11,2,6,11,11
HP1502401_D7,28,6,11,7,28,6,11,7,28,6,11,7,28,6,11,7,28,6,11,7,28,6,11,7,28,6,11,7,28,6,11,7,28,6,11,7,28,6,11,7,28,6,11,7,28,6,11,7,28,6,11,7,28,6,11,7,28,6,11,7,28,6,11,7,2,6,11,7,2,6,11,7,2,6,11,7,2,6,11,7,2,6,11,7
HP1502401_D8,32,16,1,1,32,16,1,1,32,16,1,1,32,16,1,1,32,16,1,1,32,16,1,1,32,16,1,1,32,16,1,1,32,16,1,1,32,16,1,1,32,16,1,1,32,16,1,1,32,16,1,1,32,16,1,1,32,16,1,1,32,16,1,1,32,16,1,1,32,16,1,1,32,16,1,1,32,1,1,1,32,1,1,1
HP1502401_E10,28,6,11,34,28,6,11,34,28,6,11,34,28,6,11,34,28,6,11,34,28,6,11,34,28,6,11,34,28,6,11,34,28,6,11,34,28,6,11,34,28,6,11,34,28,6,11,34,28,6,11,34,28,6,11,34,28,6,11,34,28,6,11,34,2,6,11,34,2,6,11,34,2,6,11,2,2,6,11,2,2,6,11,2
HP1502401_E11,16,4,1,2,16,4,1,2,16,4,1,2,16,4,1,2,16,4,1,2,16,4,1,2,16,4,1,2,16,4,1,2,16,4,1,2,16,4,1,2,16,4,1,2,16,4,1,2,16,4,1,2,16,4,1,2,16,4,1,2,16,4,1,2,16,4,1,2,16,4,1,2,16,4,1,2,10,4,1,2,10,4,1,2
HP1502401_E14,16,2,13,20,16,2,13,20,16,2,13,20,16,2,13,20,16,2,13,20,16,2,13,20,16,2,13,20,16,2,13,20,16,2,13,20,16,2,13,20,16,2,13,20,16,2,13,20,16,2,13,20,16,2,13,20,16,2,13,20,16,2,13,20,16,2,13,20,16,2,13,20,16,2,13,20,10,2,13,20,10,2,13,20
HP1502401_E16,16,11,1,20,16,11,1,20,16,11,1,20,16,11,1,20,16,11,1,20,16,11,1,20,16,11,1,20,16,11,1,20,16,11,1,20,16,11,1,20,16,11,1,20,16,11,1,20,16,11,1,20,16,11,1,20,16,11,1,20,16,11,1,20,16,11,1,20,16,11,1,20,16,11,1,20,10,11,1,20,10,11,1,20
HP1502401_E17,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,28,6,11,4,2,6,11,4,2,6,11,4,2,6,11,4,2,6,11,4,2,6,11,4
HP1502401_E18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,4,13,18,32,4,13,18
HP1502401_E19,28,6,11,9,28,6,11,9,28,6,11,9,28,6,11,9,28,6,11,9,28,6,11,9,28,6,11,9,28,6,11,9,28,6,11,9,28,6,11,9,28,6,11,9,28,6,11,9,28,6,11,9,28,6,11,9,28,6,11,9,28,6,11,9,2,6,11,9,2,6,11,9,2,6,11,9,2,6,11,9,2,6,11,9
HP1502401_E2,19,8,14,30,19,8,14,30,19,8,14,30,19,8,14,30,19,8,14,30,19,8,14,30,19,8,14,30,19,8,14,30,19,8,14,30,19,8,14,30,19,8,14,30,19,8,14,30,19,8,14,30,19,8,14,30,19,8,14,30,19,8,8,30,19,8,8,30,19,8,8,30,19,8,8,30,19,8,8,30,19,8,8,30
HP1502401_E20,19,8,14,25,19,8,14,25,19,8,14,25,19,8,14,25,19,8,14,25,19,8,14,25,19,8,14,25,19,8,14,25,19,8,14,25,19,8,14,25,19,8,14,25,19,8,14,25,19,8,14,25,19,8,14,25,19,8,14,25,19,8,8,25,19,8,8,25,19,8,8,25,19,8,8,25,19,8,8,25,19,8,8,25
