cells,sc3-00,Monocle-00,Seurat-00,Garbage1-00,Garbage2-00,sc3-05,Monocle-05,Seurat-05,Garbage1-05,Garbage2-05,sc3-10,Monocle-10,Seurat-10,Garbage1-10,Garbage2-10,sc3-15,Monocle-15,Seurat-15,Garbage1-15,Garbage2-15,sc3-20,Monocle-20,Seurat-20,Garbage1-20,Garbage2-20,sc3-25,Monocle-25,Seurat-25,Garbage1-25,Garbage2-25,sc3-30,Monocle-30,Seurat-30,Garbage1-30,Garbage2-30,sc3-35,Monocle-35,Seurat-35,Garbage1-35,Garbage2-35,sc3-40,Monocle-40,Seurat-40,Garbage1-40,Garbage2-40,sc3-45,Monocle-45,Seurat-45,Garbage1-45,Garbage2-45,sc3-50,Monocle-50,Seurat-50,Garbage1-50,Garbage2-50,sc3-55,Monocle-55,Seurat-55,Garbage1-55,Garbage2-55,sc3-60,Monocle-60,Seurat-60,Garbage1-60,Garbage2-60,sc3-65,Monocle-65,Seurat-65,Garbage1-65,Garbage2-65,sc3-70,Monocle-70,Seurat-70,Garbage1-70,Garbage2-70,sc3-75,Monocle-75,Seurat-75,Garbage1-75,Garbage2-75,sc3-80,Monocle-80,Seurat-80,Garbage1-80,Garbage2-80,sc3-85,Monocle-85,Seurat-85,Garbage1-85,Garbage2-85,sc3-90,Monocle-90,Seurat-90,Garbage1-90,Garbage2-90,sc3-95,Monocle-95,Seurat-95,Garbage1-95,Garbage2-95,sc3-100,Monocle-100,Seurat-100,Garbage1-100,Garbage2-100
HP1502401_B22,18,4,14,19,21,18,4,14,19,21,18,4,14,19,21,18,4,14,19,21,18,4,14,19,21,18,4,14,19,21,18,4,14,19,21,18,4,14,19,21,18,4,14,19,21,18,4,14,19,21,18,4,14,19,21,18,4,14,19,21,18,4,14,19,21,18,4,14,19,21,18,4,14,19,21,18,4,14,19,21,18,4,14,19,21,18,4,14,19,21,18,4,14,19,21,18,4,14,1,21,18,4,14,1,3
HP1502401_B23,16,4,11,22,4,16,4,11,22,4,16,4,11,22,4,16,4,11,22,4,16,4,11,22,4,16,4,11,22,4,16,4,11,22,4,16,4,11,22,4,16,4,11,22,4,16,4,11,22,4,16,4,11,22,4,16,4,11,22,4,16,4,11,22,4,16,4,11,22,4,16,4,11,22,4,16,4,11,22,4,14,4,11,22,4,14,4,11,22,4,14,4,11,22,4,14,4,11,1,4,14,4,11,1,3
HP1502401_B24,16,4,11,21,10,16,4,11,21,10,16,4,11,21,10,16,4,11,21,10,16,4,11,21,10,16,4,11,21,10,16,4,11,21,10,16,4,11,21,10,16,4,11,21,10,16,4,11,21,10,16,4,11,21,10,16,4,11,21,10,16,4,11,21,10,16,4,11,21,10,16,4,11,21,10,16,4,11,21,10,14,4,11,21,10,14,4,11,21,10,14,4,11,21,10,14,4,11,21,10,14,4,11,1,10
HP1502401_B5,7,10,1,19,15,6,10,1,19,15,6,10,1,19,15,6,10,1,19,15,6,10,1,19,15,6,10,1,19,15,6,10,1,19,15,6,10,1,19,15,6,10,1,19,15,6,10,1,19,15,6,10,1,19,15,6,10,1,19,15,6,10,1,19,15,6,10,1,19,15,6,10,1,19,15,6,10,1,19,15,6,10,1,19,15,6,10,1,19,15,6,10,1,19,15,6,10,1,1,15,6,10,1,1,15
HP1502401_B7,16,4,11,25,22,16,4,11,25,22,16,4,11,25,22,16,4,11,25,22,16,4,11,25,22,16,4,11,25,22,16,4,11,25,22,16,4,11,25,22,16,4,11,25,22,16,4,11,25,22,16,4,11,25,22,16,4,11,25,22,16,4,11,25,22,16,4,11,25,22,16,4,11,25,22,16,4,11,25,22,14,4,11,25,4,14,4,11,25,4,14,4,11,25,4,14,4,11,1,4,14,4,11,1,3
HP1502401_B8,13,13,7,8,20,13,13,7,8,20,13,13,7,8,20,13,13,7,8,20,13,13,7,8,20,13,13,7,8,20,13,13,7,8,20,13,13,7,8,20,13,13,7,8,20,13,13,7,8,20,13,13,7,8,20,13,13,7,8,20,13,13,7,8,20,13,13,7,8,20,13,13,7,8,20,13,13,7,8,20,13,13,7,8,20,13,13,7,8,20,13,13,7,8,20,13,13,7,8,20,13,13,7,1,3
HP1502401_C1,12,8,12,20,3,12,8,12,20,3,12,8,12,20,3,12,8,12,20,3,12,8,12,20,3,12,8,12,20,3,12,8,12,20,3,12,8,12,20,3,12,8,12,20,3,12,8,12,20,3,12,8,12,20,3,12,8,12,20,3,11,8,12,20,3,11,8,8,20,3,11,8,8,20,3,11,8,8,20,3,11,8,8,20,3,11,8,8,20,3,11,8,8,20,3,11,8,8,20,3,3,8,8,1,3
HP1502401_C10,16,4,11,5,19,16,4,11,5,19,16,4,11,5,19,16,4,11,5,19,16,4,11,5,19,16,4,11,5,19,16,4,11,5,19,16,4,11,5,19,16,4,11,5,19,16,4,11,5,19,16,4,11,5,19,16,4,11,5,19,16,4,11,5,19,16,4,11,5,19,16,4,11,5,19,16,4,11,5,19,14,4,11,5,19,14,4,11,5,19,14,4,11,5,19,14,4,11,1,19,14,4,11,1,19
HP1502401_C12,2,7,2,4,20,2,7,2,4,20,2,7,2,4,20,2,6,2,4,20,2,6,2,4,20,2,6,2,4,20,2,6,2,4,20,2,6,2,4,20,2,6,2,4,20,2,6,2,4,20,2,6,2,4,20,1,6,2,4,20,1,6,2,4,20,1,6,2,4,20,1,6,2,4,20,1,6,2,4,20,1,6,2,4,20,1,6,2,4,20,1,6,2,4,20,1,6,2,4,20,1,6,2,4,3
HP1502401_C14,7,12,1,10,19,6,12,1,10,19,6,12,1,10,19,6,12,1,10,19,6,12,1,10,19,6,12,1,10,19,6,12,1,10,19,6,12,1,10,19,6,12,1,10,19,6,12,1,10,19,6,12,1,10,19,6,12,1,10,19,6,12,1,10,19,6,12,1,10,19,6,12,1,10,19,6,12,1,10,19,6,12,1,10,19,6,12,1,10,19,6,12,1,10,19,6,12,1,1,19,6,12,1,1,19
HP1502401_C16,7,10,1,23,12,6,10,1,23,12,6,10,1,23,12,6,10,1,23,12,6,10,1,23,12,6,10,1,23,12,6,10,1,23,12,6,10,1,23,12,6,10,1,23,12,6,10,1,23,12,6,10,1,23,12,6,10,1,23,12,6,10,1,23,12,6,10,1,23,12,6,10,1,23,12,6,10,1,23,12,6,10,1,23,12,6,10,1,23,12,6,10,1,23,12,6,10,1,23,12,6,10,1,23,12
HP1502401_C18,16,4,11,17,5,16,4,11,17,5,16,4,11,17,5,16,4,11,17,5,16,4,11,17,5,16,4,11,17,5,16,4,11,17,5,16,4,11,17,5,16,4,11,17,5,16,4,11,17,5,16,4,11,17,5,16,4,11,17,5,16,4,11,17,5,16,4,11,17,5,16,4,11,17,5,16,4,11,17,5,14,4,11,17,4,14,4,11,17,4,14,4,11,17,4,14,4,11,17,4,14,4,11,17,3
HP1502401_C2,18,12,14,19,18,18,12,14,19,18,18,12,14,19,18,18,12,14,19,18,18,12,14,19,18,18,12,14,19,18,18,12,14,19,18,18,12,14,19,18,18,12,14,19,18,18,12,14,19,18,18,12,14,19,18,18,12,14,19,18,18,12,14,19,18,18,12,14,19,18,18,12,14,19,18,18,12,14,19,18,18,12,14,19,18,18,12,14,19,18,18,12,14,19,18,18,12,14,1,18,18,12,14,1,3
HP1502401_C20,13,13,7,8,1,13,13,7,8,1,13,13,7,8,1,13,13,7,8,1,13,13,7,8,1,13,13,7,8,1,13,13,7,8,1,13,13,7,8,1,13,13,7,8,1,13,13,7,8,1,13,13,7,8,1,13,13,7,8,1,13,13,7,8,1,13,13,7,8,1,13,13,7,8,1,13,13,7,8,1,13,13,7,8,1,13,13,7,8,1,13,13,7,8,1,13,13,7,8,1,13,13,7,1,1
HP1502401_C21,16,4,11,13,16,16,4,11,13,16,16,4,11,13,16,16,4,11,13,16,16,4,11,13,16,16,4,11,13,16,16,4,11,13,16,16,4,11,13,16,16,4,11,13,16,16,4,11,13,16,16,4,11,13,16,16,4,11,13,16,16,4,11,13,16,16,4,11,13,16,16,4,11,13,16,16,4,11,13,16,14,4,11,13,16,14,4,11,13,16,14,4,11,13,4,14,4,11,1,4,14,4,11,1,3
HP1502401_C22,18,12,14,16,14,18,12,14,16,14,18,12,14,16,14,18,12,14,16,14,18,12,14,16,14,18,12,14,16,14,18,12,14,16,14,18,12,14,16,14,18,12,14,16,14,18,12,14,16,14,18,12,14,16,14,18,12,14,16,14,18,12,14,16,14,18,12,14,16,14,18,12,14,16,14,18,12,14,16,14,18,12,14,16,14,18,12,14,16,14,18,12,14,16,14,18,12,14,16,14,18,12,14,16,14
HP1502401_C4,7,9,1,16,23,6,9,1,16,23,6,9,1,16,23,6,9,1,16,23,6,9,1,16,23,6,9,1,16,23,6,9,1,16,23,6,9,1,16,23,6,9,1,16,23,6,9,1,16,23,6,9,1,16,23,6,9,1,16,23,6,9,1,16,23,6,9,1,16,23,6,9,1,16,23,6,9,1,16,23,6,9,1,16,23,6,9,1,16,23,6,9,1,16,23,6,9,1,16,23,6,9,1,16,23
HP1502401_C5,13,13,7,24,18,13,13,7,24,18,13,13,7,24,18,13,13,7,24,18,13,13,7,24,18,13,13,7,24,18,13,13,7,24,18,13,13,7,24,18,13,13,7,24,18,13,13,7,24,18,13,13,7,24,18,13,13,7,24,18,13,13,7,24,18,13,13,7,24,18,13,13,7,24,18,13,13,7,24,18,13,13,7,24,18,13,13,7,24,18,13,13,7,24,18,13,13,7,24,18,13,13,7,24,3
HP1502401_C6,16,4,11,2,8,16,4,11,2,8,16,4,11,2,8,16,4,11,2,8,16,4,11,2,8,16,4,11,2,8,16,4,11,2,8,16,4,11,2,8,16,4,11,2,8,16,4,11,2,8,16,4,11,2,8,16,4,11,2,8,16,4,11,2,8,16,4,11,2,8,16,4,11,2,8,16,4,11,2,8,14,4,11,2,8,14,4,11,2,8,14,4,11,2,8,14,4,11,2,8,14,4,11,2,8
HP1502401_C7,16,4,11,11,7,16,4,11,11,7,16,4,11,11,7,16,4,11,11,7,16,4,11,11,7,16,4,11,11,7,16,4,11,11,7,16,4,11,11,7,16,4,11,11,7,16,4,11,11,7,16,4,11,11,7,16,4,11,11,7,16,4,11,11,7,16,4,11,11,7,16,4,11,11,7,16,4,11,11,7,14,4,11,11,7,14,4,11,11,7,14,4,11,11,7,14,4,11,11,7,14,4,11,11,7
HP1502401_C8,13,13,7,17,24,13,13,7,17,24,13,13,7,17,24,13,13,7,17,24,13,13,7,17,24,13,13,7,17,24,13,13,7,17,24,13,13,7,17,24,13,13,7,17,24,13,13,7,17,24,13,13,7,17,24,13,13,7,17,24,13,13,7,17,24,13,13,7,17,24,13,13,7,17,24,13,13,7,17,24,13,13,7,17,4,13,13,7,17,4,13,13,7,17,4,13,13,7,17,4,13,13,7,17,3
HP1502401_D10,12,8,12,10,4,12,8,12,10,4,12,8,12,10,4,12,8,12,10,4,12,8,12,10,4,12,8,12,10,4,12,8,12,10,4,12,8,12,10,4,12,8,12,10,4,12,8,12,10,4,12,8,12,10,4,12,8,12,10,4,11,8,12,10,4,11,8,8,10,4,11,8,8,10,4,11,8,8,10,4,11,8,8,10,4,11,8,8,10,4,11,8,8,10,4,11,8,8,1,4,3,8,8,1,3
HP1502401_D12,13,13,7,6,15,13,13,7,6,15,13,13,7,6,15,13,13,7,6,15,13,13,7,6,15,13,13,7,6,15,13,13,7,6,15,13,13,7,6,15,13,13,7,6,15,13,13,7,6,15,13,13,7,6,15,13,13,7,6,15,13,13,7,6,15,13,13,7,6,15,13,13,7,6,15,13,13,7,6,15,13,13,7,6,15,13,13,7,6,15,13,13,7,6,15,13,13,7,6,15,13,13,7,6,15
HP1502401_D13,16,4,11,20,18,16,4,11,20,18,16,4,11,20,18,16,4,11,20,18,16,4,11,20,18,16,4,11,20,18,16,4,11,20,18,16,4,11,20,18,16,4,11,20,18,16,4,11,20,18,16,4,11,20,18,16,4,11,20,18,16,4,11,20,18,16,4,11,20,18,16,4,11,20,18,16,4,11,20,18,14,4,11,20,18,14,4,11,20,18,14,4,11,20,18,14,4,11,20,18,14,4,11,1,3
HP1502401_D16,7,9,1,4,15,6,9,1,4,15,6,9,1,4,15,6,9,1,4,15,6,9,1,4,15,6,9,1,4,15,6,9,1,4,15,6,9,1,4,15,6,9,1,4,15,6,9,1,4,15,6,9,1,4,15,6,9,1,4,15,6,9,1,4,15,6,9,1,4,15,6,9,1,4,15,6,9,1,4,15,6,9,1,4,15,6,9,1,4,15,6,9,1,4,15,6,9,1,4,15,6,9,1,4,15
HP1502401_D17,13,13,7,15,23,13,13,7,15,23,13,13,7,15,23,13,13,7,15,23,13,13,7,15,23,13,13,7,15,23,13,13,7,15,23,13,13,7,15,23,13,13,7,15,23,13,13,7,15,23,13,13,7,15,23,13,13,7,15,23,13,13,7,15,23,13,13,7,15,23,13,13,7,15,23,13,13,7,15,23,13,13,7,15,23,13,13,7,15,23,13,13,7,15,23,13,13,7,15,23,13,13,7,15,23
HP1502401_D18,2,7,2,9,9,2,7,2,9,9,2,7,2,9,9,2,6,2,9,9,2,6,2,9,9,2,6,2,9,9,2,6,2,9,9,2,6,2,9,9,2,6,2,9,9,2,6,2,9,9,2,6,2,9,9,1,6,2,9,9,1,6,2,9,9,1,6,2,9,9,1,6,2,9,9,1,6,2,9,9,1,6,2,9,9,1,6,2,9,9,1,6,2,5,9,1,6,2,1,4,1,6,2,1,3
HP1502401_D2,12,8,12,5,17,12,8,12,5,17,12,8,12,5,17,12,8,12,5,17,12,8,12,5,17,12,8,12,5,17,12,8,12,5,17,12,8,12,5,17,12,8,12,5,17,12,8,12,5,17,12,8,12,5,17,12,8,12,5,17,11,8,12,5,17,11,8,8,5,17,11,8,8,5,17,11,8,8,5,17,11,8,8,5,4,11,8,8,5,4,11,8,8,5,4,11,8,8,1,4,3,8,8,1,3
HP1502401_D20,7,12,1,12,13,6,12,1,12,13,6,12,1,12,13,6,12,1,12,13,6,12,1,12,13,6,12,1,12,13,6,12,1,12,13,6,12,1,12,13,6,12,1,12,13,6,12,1,12,13,6,12,1,12,13,6,12,1,12,13,6,12,1,12,13,6,12,1,12,13,6,12,1,12,13,6,12,1,12,13,6,12,1,12,4,6,12,1,12,4,6,12,1,12,4,6,12,1,12,4,6,12,1,1,3
HP1502401_D22,16,4,11,16,17,16,4,11,16,17,16,4,11,16,17,16,4,11,16,17,16,4,11,16,17,16,4,11,16,17,16,4,11,16,17,16,4,11,16,17,16,4,11,16,17,16,4,11,16,17,16,4,11,16,17,16,4,11,16,17,16,4,11,16,17,16,4,11,16,17,16,4,11,16,17,16,4,11,16,17,14,4,11,16,4,14,4,11,16,4,14,4,11,16,4,14,4,11,16,4,14,4,11,16,3
HP1502401_D23,18,12,14,20,23,18,12,14,20,23,18,12,14,20,23,18,12,14,20,23,18,12,14,20,23,18,12,14,20,23,18,12,14,20,23,18,12,14,20,23,18,12,14,20,23,18,12,14,20,23,18,12,14,20,23,18,12,14,20,23,18,12,14,20,23,18,12,14,20,23,18,12,14,20,23,18,12,14,20,23,18,12,14,20,23,18,12,14,20,23,18,12,14,20,23,18,12,14,20,23,18,12,14,1,23
