"","k_2","k_3","k_4","k_5","k_6","k_7","k_8","k_9","k_10","k_15","k_20","k_25","k_30","k_35","k_40","k_45","k_50","k_55","k_60","k_65","k_70","k_75","k_80","k_85","k_90","k_95","k_100","cells"
"55",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_E4"
"56",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_E5"
"57",111,88,36,32,52,49,34,37,32,36,13,32,29,26,8,10,17,22,14,12,11,9,18,15,15,15,1,"AZ_E6"
"58",3,2,3,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_E7"
"59",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_E8"
"60",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_E9"
"61",3,2,3,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_F1"
"62",7,80,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_F10"
"63",210,100,17,45,41,56,53,10,2,1,13,3,11,13,27,13,9,10,10,2,1,1,3,2,2,15,1,"AZ_F11"
"64",7,80,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_F12"
"65",3,2,3,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_F2"
"66",210,100,17,45,41,56,53,10,2,1,13,3,11,13,27,13,9,10,10,2,1,1,3,2,2,15,1,"AZ_F3"
"67",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_F4"
"68",126,99,89,73,58,44,41,43,42,22,25,24,13,14,10,11,5,6,5,7,8,5,6,5,5,4,7,"AZ_F5"
"69",4,4,1,2,1,2,6,8,7,4,1,1,15,24,13,19,12,8,8,9,10,10,10,10,10,11,11,"AZ_F6"
"70",7,80,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_F7"
"71",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_F8"
"72",4,4,1,2,1,2,6,8,7,4,1,1,15,24,13,19,12,8,8,9,10,10,10,10,10,11,11,"AZ_F9"
"73",7,80,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_G1"
"74",7,80,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_G10"
"75",111,88,36,32,52,49,34,37,32,36,13,32,29,26,8,10,17,22,14,12,11,9,18,15,15,15,1,"AZ_G11"
"76",210,100,17,45,41,56,53,10,2,1,13,3,11,13,27,13,9,10,10,2,1,1,3,2,2,15,1,"AZ_G12"
"77",5,3,3,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_G2"
"78",7,80,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_G3"
"79",7,80,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_G4"
"80",148,67,17,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_G5"
"81",7,80,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_G6"
"82",239,95,75,68,59,39,46,49,51,3,5,19,11,13,27,13,9,10,10,2,1,1,3,2,2,15,1,"AZ_G7"
"83",7,80,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_G8"
"84",210,100,17,45,41,56,53,10,2,1,13,3,11,13,27,13,9,10,10,2,1,1,3,2,2,15,1,"AZ_G9"
"85",1,67,17,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_H1"
"86",4,4,1,2,1,2,6,8,7,4,1,1,15,24,13,19,12,8,8,9,10,10,10,10,10,11,11,"AZ_H10"
"87",5,3,3,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_H11"
"88",148,67,17,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_H12"
"89",5,3,3,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_H2"
"90",6,67,17,45,16,56,53,10,2,1,2,28,21,23,27,13,9,10,10,15,13,15,14,1,1,1,4,"AZ_H3"
"91",124,69,91,53,68,61,40,42,40,30,25,24,13,14,10,11,5,6,5,7,8,5,6,5,5,4,7,"AZ_H4"
"92",148,67,17,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_H5"
"93",5,3,3,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_H6"
"94",239,95,75,68,59,39,46,49,51,3,5,19,11,13,27,13,9,10,10,2,1,1,3,2,2,15,1,"AZ_H7"
"95",210,100,17,45,41,56,53,10,2,1,13,3,11,13,27,13,9,10,10,2,1,1,3,2,2,15,1,"AZ_H8"
"96",7,80,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_H9"
"97",29,14,8,5,6,8,7,5,6,5,6,2,2,2,2,2,3,2,2,13,2,2,1,3,3,2,2,"HP1502401_A1"
"98",17,5,4,4,5,5,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_A10"
"99",56,66,88,23,51,36,46,51,11,3,5,19,11,13,27,13,9,10,10,2,1,1,3,2,2,15,1,"HP1502401_A11"
"100",18,10,9,6,7,6,5,6,6,5,6,2,2,2,2,2,3,2,2,13,2,2,1,3,3,2,2,"HP1502401_A12"
"101",53,19,10,10,3,2,6,8,7,4,1,1,15,24,13,19,12,8,8,9,10,10,10,10,10,11,11,"HP1502401_A14"
"102",29,14,8,5,6,8,7,5,6,5,6,2,2,2,2,2,3,2,2,13,2,2,1,3,3,2,2,"HP1502401_A15"
"103",160,62,61,47,51,37,35,38,22,15,3,9,19,21,7,7,10,18,16,16,15,8,11,11,11,10,12,"HP1502401_A16"
"104",29,14,8,7,6,8,7,5,6,5,6,2,2,2,2,2,3,2,2,13,2,2,1,3,3,2,2,"HP1502401_A17"
"105",35,16,11,36,34,3,3,4,3,35,22,5,14,22,5,5,8,4,4,4,4,12,9,9,9,13,14,"HP1502401_A18"
"106",31,18,49,47,51,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_A19"
"107",28,13,11,36,34,3,3,4,3,35,22,5,14,22,5,5,8,4,4,4,4,12,9,9,9,13,14,"HP1502401_A2"
"108",100,18,49,47,51,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_A20"
"109",31,18,49,47,51,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_A21"
"110",53,19,10,10,3,2,6,8,7,4,1,1,15,24,13,19,12,8,8,9,10,10,10,10,10,11,11,"HP1502401_A22"
"111",220,89,76,64,62,50,45,49,43,41,33,32,29,26,8,25,17,22,14,12,11,9,18,15,15,15,1,"HP1502401_A23"
"112",28,13,11,36,34,3,3,4,3,35,22,5,14,22,5,5,8,4,4,4,4,12,9,9,9,13,14,"HP1502401_A24"
"113",119,85,64,57,37,32,31,23,24,17,15,23,17,26,8,10,17,22,14,12,11,9,18,15,15,15,1,"HP1502401_A3"
"114",10,14,8,5,6,8,7,5,6,5,6,2,2,2,2,2,3,2,2,13,2,2,1,3,3,2,2,"HP1502401_A4"
"115",56,66,88,23,41,36,46,51,11,3,5,19,11,13,27,13,9,10,10,2,1,1,3,2,2,15,1,"HP1502401_A5"
"116",47,23,14,8,8,7,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_A6"
"117",17,5,4,4,5,5,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_A7"
"118",44,17,39,11,10,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_A8"
"119",220,89,76,64,62,50,45,49,43,41,33,32,29,26,8,25,17,22,14,12,11,9,18,15,15,15,1,"HP1502401_A9"
"120",17,5,4,4,5,5,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_B1"
"121",27,12,9,6,7,6,5,6,6,5,6,2,2,2,2,2,3,2,2,13,2,2,1,3,3,2,2,"HP1502401_B10"
"122",13,6,7,3,4,4,2,3,4,20,9,7,3,3,15,17,1,5,19,19,18,13,13,14,14,5,6,"HP1502401_B11"
"123",180,17,39,11,10,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_B12"
"124",12,9,6,10,3,2,6,8,7,4,1,1,15,24,13,19,12,8,8,9,10,10,10,10,10,11,11,"HP1502401_B13"
"125",25,11,5,8,8,7,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_B14"
"126",13,6,7,3,4,4,2,3,4,20,9,7,3,3,15,17,1,5,19,19,18,13,13,14,14,5,6,"HP1502401_B15"
"127",26,14,8,5,6,8,7,5,6,5,6,2,2,2,2,2,3,2,2,13,2,2,1,3,3,2,2,"HP1502401_B16"
"128",53,19,10,10,3,2,6,8,7,4,1,1,15,24,13,19,12,8,8,9,10,10,10,10,10,11,11,"HP1502401_B17"
"129",13,6,7,3,4,4,2,3,4,20,9,7,3,3,15,17,1,5,19,19,18,13,13,14,14,5,6,"HP1502401_B18"
"130",180,17,39,11,10,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_B19"
"131",44,17,39,11,10,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_B2"
"132",116,12,9,6,7,6,5,6,6,5,6,2,2,2,2,2,3,2,2,13,2,2,1,3,3,2,2,"HP1502401_B20"
"133",47,23,14,8,8,7,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_B21"
"134",210,100,17,45,41,56,53,10,2,1,13,3,11,13,27,13,9,10,10,2,1,1,3,2,2,15,1,"HP1502401_B22"
"135",11,5,4,4,5,5,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_B23"
"136",11,5,4,4,5,5,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_B24"
"137",44,17,39,11,10,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_B3"
"138",9,66,88,23,41,36,46,51,11,3,5,19,11,13,27,13,9,10,10,2,1,1,3,2,2,15,1,"HP1502401_B4"
"139",18,10,9,6,7,6,5,6,6,5,6,2,2,2,2,2,3,2,2,13,2,2,1,3,3,2,2,"HP1502401_B5"
"140",51,27,18,9,9,9,16,51,11,3,5,19,11,13,27,13,9,10,10,2,1,1,3,2,2,15,1,"HP1502401_B6"
"141",8,7,4,4,5,5,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_B7"
"142",28,13,11,36,34,3,3,4,3,35,22,5,14,22,5,5,8,4,4,4,4,12,9,9,9,13,14,"HP1502401_B8"
"143",214,119,80,70,66,62,55,53,51,28,7,6,24,18,26,25,17,10,10,2,1,9,3,2,2,15,1,"HP1502401_B9"
"144",53,19,10,10,3,2,6,8,7,4,1,1,15,24,13,19,12,8,8,9,10,10,10,10,10,11,11,"HP1502401_C1"
"145",47,23,14,8,8,7,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_C10"
"146",31,18,49,47,51,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_C11"
"147",14,8,53,44,43,14,37,31,34,23,27,27,20,20,14,16,15,13,12,6,6,7,2,8,8,8,10,"HP1502401_C12"
"148",29,14,8,7,6,8,7,5,6,5,6,2,2,2,2,2,3,2,2,13,2,2,1,3,3,2,2,"HP1502401_C14"
"149",235,91,65,32,52,49,34,37,32,36,13,32,29,26,8,10,17,22,14,12,11,9,18,15,15,15,1,"HP1502401_C15"
"150",26,14,8,5,6,8,7,5,6,5,6,2,2,2,2,2,3,2,2,13,2,2,1,3,3,2,2,"HP1502401_C16"
"151",180,17,39,11,10,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_C17"
"152",23,7,4,4,5,5,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_C18"
"153",44,17,39,11,10,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_C19"
"154",160,17,39,11,10,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_C2"
"155",28,13,11,36,34,3,3,4,3,35,22,5,14,22,5,5,8,4,4,4,4,12,9,9,9,13,14,"HP1502401_C20"
"156",8,7,4,4,5,5,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_C21"
"157",51,27,18,9,9,9,16,51,11,3,5,19,11,13,27,13,9,10,10,2,1,1,3,2,2,15,1,"HP1502401_C22"
"158",160,17,39,11,10,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_C23"
"159",44,17,39,11,10,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_C24"
"160",44,17,39,11,10,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_C3"
"161",116,12,9,6,7,6,5,6,6,5,6,2,2,2,2,2,3,2,2,13,2,2,1,3,3,2,2,"HP1502401_C4"
"162",35,16,11,36,34,3,3,4,3,35,22,5,14,22,5,5,8,4,4,4,4,12,9,9,9,13,14,"HP1502401_C5"
"163",47,23,14,8,8,7,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_C6"
"164",25,11,5,8,8,7,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_C7"
"165",37,16,11,36,34,3,3,4,3,35,22,5,14,22,5,5,8,4,4,4,4,12,9,9,9,13,14,"HP1502401_C8"
"166",180,17,39,11,10,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_C9"
"167",235,91,65,32,52,49,34,37,32,36,13,32,29,26,8,10,17,22,14,12,11,9,18,15,15,15,1,"HP1502401_D1"
"168",12,9,6,10,3,2,6,8,7,4,1,1,15,24,13,19,12,8,8,9,10,10,10,10,10,11,11,"HP1502401_D10"
"169",12,9,6,10,3,2,6,8,7,4,1,1,15,24,13,19,12,8,8,9,10,10,10,10,10,11,11,"HP1502401_D11"
"170",28,13,11,36,34,3,3,4,3,35,22,5,14,22,5,5,8,4,4,4,4,12,9,9,9,13,14,"HP1502401_D12"
"171",47,23,14,8,8,7,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_D13"
"172",44,17,39,11,10,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_D14"
"173",44,17,39,11,10,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_D15"
"174",27,12,9,6,7,6,5,6,6,5,6,2,2,2,2,2,3,2,2,13,2,2,1,3,3,2,2,"HP1502401_D16"
"175",28,13,11,36,34,3,3,4,3,35,22,5,14,22,5,5,8,4,4,4,4,12,9,9,9,13,14,"HP1502401_D17"
"176",15,8,53,44,43,14,37,31,34,23,27,27,20,20,14,16,15,13,12,6,6,7,2,8,8,8,10,"HP1502401_D18"
"177",239,95,88,23,41,36,46,51,11,3,5,19,11,13,27,13,9,10,10,2,1,1,3,2,2,15,1,"HP1502401_D19"
"178",53,19,10,10,3,2,6,8,7,4,1,1,15,24,13,19,12,8,8,9,10,10,10,10,10,11,11,"HP1502401_D2"
"179",21,12,9,6,7,6,5,6,6,5,6,2,2,2,2,2,3,2,2,13,2,2,1,3,3,2,2,"HP1502401_D20"
"180",31,18,49,47,51,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_D21"
"181",25,11,5,8,8,7,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_D22"
"182",160,17,39,11,10,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_D23"
"183",116,12,9,6,7,6,5,6,6,5,6,2,2,2,2,2,3,2,2,13,2,2,1,3,3,2,2,"HP1502401_D24"
"184",8,7,4,4,5,5,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_D3"
"185",34,71,53,44,43,14,37,31,34,23,27,27,20,20,14,16,15,13,12,6,6,7,2,8,8,8,10,"HP1502401_D4"
"186",29,14,8,5,6,8,7,5,6,5,6,2,2,2,2,2,3,2,2,13,2,2,1,3,3,2,2,"HP1502401_D5"
"187",25,11,5,8,8,7,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_D6"
"188",11,5,4,4,5,5,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_D7"
"189",115,21,40,34,33,11,10,7,29,24,24,22,18,19,17,18,16,14,13,14,12,14,9,9,9,9,9,"HP1502401_D8"
"190",226,95,75,68,51,37,46,38,31,28,3,9,19,21,18,15,14,10,10,2,1,1,11,2,2,15,1,"HP1502401_D9"
"191",137,63,20,20,22,20,36,18,17,12,14,13,12,7,11,12,7,11,7,5,5,4,5,7,7,7,8,"HP1502401_E1"
"192",25,11,5,8,8,7,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_E10"
"193",22,10,9,6,7,6,5,6,6,5,6,2,2,2,2,2,3,2,2,13,2,2,1,3,3,2,2,"HP1502401_E11"
"194",44,17,39,11,10,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_E12"
"195",13,6,7,3,4,4,2,3,4,20,9,7,3,3,15,17,1,5,19,19,18,13,13,14,14,5,6,"HP1502401_E14"
"196",180,17,39,11,10,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_E15"
"197",27,12,9,6,7,6,5,6,6,5,6,2,2,2,2,2,3,2,2,13,2,2,1,3,3,2,2,"HP1502401_E16"
"198",17,5,4,4,5,5,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_E17"
"199",180,17,39,11,10,10,8,35,31,26,3,9,19,21,18,15,14,18,16,16,15,8,11,11,11,10,12,"HP1502401_E18"
"200",25,11,5,8,8,7,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_E19"
"201",12,9,6,10,3,2,6,8,7,4,1,1,15,24,13,19,12,8,8,9,10,10,10,10,10,11,11,"HP1502401_E2"
"202",53,19,10,10,3,2,6,8,7,4,1,1,15,24,13,19,12,8,8,9,10,10,10,10,10,11,11,"HP1502401_E20"
"203",29,14,8,5,6,8,7,5,6,5,6,2,2,2,2,2,3,2,2,13,2,2,1,3,3,2,2,"HP1502401_E21"
"204",11,5,4,4,5,5,4,2,5,2,4,4,1,1,1,1,2,1,1,1,13,15,14,1,1,1,4,"HP1502401_E22"
"205",53,19,10,10,3,2,6,8,7,4,1,1,15,24,13,19,12,8,8,9,10,10,10,10,10,11,11,"HP1502401_E23"
