cells,sc3-00,Monocle-00,Seurat-00,sc3-05,Monocle-05,Seurat-05,sc3-10,Monocle-10,Seurat-10,sc3-15,Monocle-15,Seurat-15,sc3-20,Monocle-20,Seurat-20,sc3-25,Monocle-25,Seurat-25,sc3-30,Monocle-30,Seurat-30,sc3-35,Monocle-35,Seurat-35,sc3-40,Monocle-40,Seurat-40,sc3-45,Monocle-45,Seurat-45,sc3-50,Monocle-50,Seurat-50,sc3-55,Monocle-55,Seurat-55,sc3-60,Monocle-60,Seurat-60,sc3-65,Monocle-65,Seurat-65,sc3-70,Monocle-70,Seurat-70,sc3-75,Monocle-75,Seurat-75,sc3-80,Monocle-80,Seurat-80,sc3-85,Monocle-85,Seurat-85,sc3-90,Monocle-90,Seurat-90,sc3-95,Monocle-95,Seurat-95,sc3-100,Monocle-100,Seurat-100
HP1502401_A24,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6
HP1502401_A4,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3
HP1502401_A6,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_A7,16,2,19,16,2,19,16,2,19,16,2,19,16,2,19,16,2,19,16,2,19,16,2,19,16,2,19,16,2,19,16,2,19,16,2,19,16,2,19,16,2,19,16,2,19,16,2,19,16,2,19,16,2,19,16,2,19,16,2,19,16,2,19
HP1502401_B1,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_B10,7,22,27,7,22,27,7,22,27,7,22,27,7,22,27,7,22,27,7,22,27,7,22,27,7,22,27,7,22,27,7,22,27,7,22,27,7,22,27,7,22,27,7,22,27,7,22,27,7,22,27,7,22,27,7,22,27,7,22,27,7,22,1
HP1502401_B11,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13
HP1502401_B14,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_B15,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13
HP1502401_B16,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3
HP1502401_B17,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,11,8,4,11,8,4,11,8,4,11,8,4,3,8,4
HP1502401_B18,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13
HP1502401_B20,7,22,3,7,22,3,7,22,3,7,22,3,7,22,3,7,22,3,7,22,3,7,22,3,7,22,3,7,22,3,7,22,3,7,22,3,7,22,3,7,22,3,7,22,3,7,22,3,7,22,3,7,22,3,7,22,3,7,22,3,7,22,3
HP1502401_B21,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_B22,18,2,22,18,2,22,18,2,22,18,2,22,18,2,22,18,2,22,18,2,22,18,2,22,18,2,22,18,2,22,18,2,22,18,2,22,18,2,22,18,2,22,18,2,22,18,2,22,18,2,22,18,2,22,18,2,22,18,2,22,18,2,22
HP1502401_B23,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_B24,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_B5,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3
HP1502401_B7,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_B8,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6
HP1502401_C1,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,11,8,4,11,8,4,11,8,4,11,8,4,3,8,4
HP1502401_C10,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_C12,2,1,26,2,1,26,2,1,26,2,1,26,2,1,26,2,1,26,2,1,26,2,1,26,2,1,26,2,1,26,2,1,26,2,1,26,2,1,26,2,1,26,2,1,26,2,1,26,2,1,26,2,1,26,1,1,26,1,1,26,1,1,7
HP1502401_C14,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3
HP1502401_C16,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3,7,16,3
HP1502401_C18,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_C2,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22
HP1502401_C20,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6
HP1502401_C21,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_C22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22
HP1502401_C4,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3
HP1502401_C5,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6
HP1502401_C6,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_C7,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_C8,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6
HP1502401_D10,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,11,8,4,11,8,4,11,8,4,11,8,4,3,8,4
HP1502401_D12,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6
HP1502401_D13,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_D16,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3
HP1502401_D17,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6
HP1502401_D18,2,1,11,2,1,11,2,1,11,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,1,1,7,1,1,7,1,1,7
HP1502401_D2,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,11,8,4,11,8,4,11,8,4,11,8,4,3,8,4
HP1502401_D20,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3
HP1502401_D22,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_D23,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22
HP1502401_D24,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3
HP1502401_D3,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_D4,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,1,1,7,1,1,7,1,1,7
HP1502401_D5,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3
HP1502401_D6,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_D7,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_D8,18,18,3,18,18,3,18,18,3,18,18,3,18,18,3,18,18,3,18,18,3,18,18,3,18,18,3,18,18,3,18,18,3,18,18,3,18,18,3,18,18,3,18,18,3,18,18,3,18,18,3,18,18,3,18,1,3,18,1,3,18,1,3
HP1502401_E10,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_E11,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3
HP1502401_E14,7,3,24,7,3,24,7,3,24,7,3,24,7,3,24,7,3,24,7,3,24,7,3,24,7,3,24,7,3,24,7,3,24,7,3,24,7,3,24,7,3,24,7,3,13,7,3,13,7,3,13,7,3,13,7,3,13,7,3,13,7,3,13
HP1502401_E16,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3,7,23,3
HP1502401_E17,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_E18,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22,18,5,22
HP1502401_E19,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_E2,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,11,8,4,11,8,4,11,8,4,11,8,4,3,8,4
HP1502401_E20,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,11,8,4,11,8,4,11,8,4,11,8,4,3,8,4
HP1502401_E21,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3
HP1502401_E22,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_E23,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,11,8,4,11,8,4,11,8,4,11,8,4,3,8,4
HP1502401_E24,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,11,8,4,11,8,4,11,8,4,11,8,4,3,8,4
HP1502401_E3,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6
HP1502401_E5,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13
HP1502401_E6,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3
HP1502401_E7,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13
HP1502401_E9,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6
HP1502401_F10,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3
HP1502401_F11,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6,13,10,6
HP1502401_F12,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3
HP1502401_F13,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,12,8,18,11,8,4,11,8,4,11,8,4,11,8,4,3,8,4
HP1502401_F15,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13
HP1502401_F16,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_F17,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13
HP1502401_F18,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,6,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13,9,3,13
HP1502401_F19,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3
HP1502401_F20,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3
HP1502401_F21,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_F22,16,2,23,16,2,23,16,2,23,16,2,23,16,2,23,16,2,23,16,2,23,16,2,23,16,2,23,16,2,23,16,2,23,16,2,23,16,2,23,16,2,23,16,2,23,16,2,23,16,2,23,16,2,23,16,2,20,16,2,20,16,2,20
HP1502401_F23,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3,7,14,3
HP1502401_F24,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
HP1502401_F4,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3,7,5,3
HP1502401_F9,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20,16,2,20
